[00:00:31] 嗯。
[00:29:32] 职责任务明晰，
[00:29:34] 它当然是一个对策，
[00:29:35] 职责任务明晰，
[00:29:37] 就是理清界限，
[00:29:38] 职责任务明晰。
[00:29:40] 就是说的上墙，
[00:29:41] 就是说的盖章，
[00:29:42] 那么如何放得下，
[00:29:44] 管得住，
[00:29:45] 关键还怎么全程管控？
[00:29:47] 大家看这句话，
[00:29:48] 它是给我们提出来了，
[00:29:50] 也是在说一个过渡句，
[00:29:52] 也是在说承上启下。
[00:29:54] 但是全程管控说的太虚了，
[00:29:57] 我们到下面找一找有没有专门就是针对全程管控做的对策，
[00:30:03] 你就顺延一句。
[00:30:05] 再来看一下第二句话，
[00:30:07] 第二句话当中，
[00:30:09] 我问大家一下，
[00:30:10] 他是靠什么进行全程管控？
[00:30:13] 哪位同学能否看出来哎？
[00:30:15] 它是靠什么进行全程管控？
[00:30:17] 第二句话出了这么多的词，
[00:30:20] 那我觉得它是靠数字化进行一个管控吧。
[00:30:23] 所以大家就把数字化一起写下来，
[00:30:27] 这样的话，
[00:30:27] 我们请问有了数字化，
[00:30:29] 能不能让我们驾轻车？
[00:30:31] 驾轻车能不能代表我们要进行数字化？
[00:30:35] 你想想数字化就是人工智能全给你搞定了，
[00:30:39] 当然你就不用搞了，
[00:30:40] 好吧好了，
[00:30:41] 再带着大家往下走。
[00:30:43] 基层负担轻，
[00:30:44] 群众奔波少。
[00:30:46] 干部拍手叫好，
[00:30:47] 请问大家下这个算不算是驾轻车？
[00:30:51] 如果你刚才没有理解的话。
[00:30:55] 这个地方又来了一个清车，
[00:30:57] 这不就是清车吗？
[00:30:59] 请问基层负担轻，
[00:31:00] 群众奔波少，
[00:31:02] 干部拍手好。
[00:31:03] 这几个词如果写在我们的大作文里面，
[00:31:06] 可以作为哪个要素？
[00:31:07] 哪位同学可以告诉我是不是可以作为我们分论点的影响啊？
[00:31:12] 好，
[00:31:13] 我们又把它写在这了，
[00:31:15] 别着急，
[00:31:15] 再接着往下走啊，
[00:31:17] 来看一下我们刚才就是花了眼没有看到的第六个资产段。
[00:31:22] 第六个自然段，
[00:31:23] 大家看驾轻车，
[00:31:25] 我们已经找完了驾轻车，
[00:31:27] 就指的是一个基层减负已经找完了，
[00:31:30] 不用管。
[00:31:30] 好了，
[00:31:31] 后面要找的是一个拉大车，
[00:31:34] 要找的是一个这个小马怎么撞马？
[00:31:38] 撞马的话呢，
[00:31:39] 大家给老师看一下，
[00:31:41] 断首句好了，
[00:31:43] 在断首句当中和撞马。
[00:31:46] 能够。
[00:31:47] 就是直接相关的，
[00:31:49] 大家觉得应该是哪一个词最为重要？
[00:31:53] 你会发现出现了一个按照还是找动词吗？
[00:31:57] 出现了一个整合还是找动词吗？
[00:32:00] 出现了一个让出现了一个。
[00:32:02] 了各位让它是指的影响了，
[00:32:06] 也是指的影响，
[00:32:08] 这个时候按照。
[00:32:10] 和整合，
[00:32:10] 如果非要保留一个的话，
[00:32:12] 你觉得应该保留按照还是应该保留整合？
[00:32:16] 他们俩之间是一个递进的关系，
[00:32:19] 如果是我的话，
[00:32:21] 我觉得涉及到就是把我们工作人员的能力加强，
[00:32:25] 就是在说整合网格的事情。
[00:32:28] 好了，
[00:32:28] 先把它搞定，
[00:32:29] 放在这个地方，
[00:32:31] 别着急，
[00:32:31] 再来看一下断尾句，
[00:32:33] 各位断尾句，
[00:32:35] 你觉得和撞马有关的对策，
[00:32:37] 也就是把我们的。
[00:32:39] 基层工作人员能够变得非常厉害，
[00:32:42] 和壮马有关的对策只选一个词，
[00:32:45] 大家觉得选择哪个词比较好？
[00:32:48] 哎，
[00:32:48] 只选一个词作为对策，
[00:32:50] 各位你会发现这个是一个。
[00:32:52] 培训这个是一个培训，
[00:32:54] 所以如果撞马在这个里边，
[00:32:57] 它具体的手段就是指的培训，
[00:33:00] 大家能够清晰吧？
[00:33:01] 好了，
[00:33:02] 别着急，
[00:33:03] 再来看一下第八个自然段，
[00:33:05] 第八个自然段读一下断首句，
[00:33:08] 这个断首句。
[00:33:09] 如果和撞马能够直接关联的词，
[00:33:12] 大家觉得是什么不够，
[00:33:14] 它是一个否定性的说法，
[00:33:17] 直接排除。
[00:33:18] 还得融合多方，
[00:33:19] 共同发力。
[00:33:21] 融合多方，
[00:33:22] 共同发力，
[00:33:23] 你们觉得能不能壮马？
[00:33:25] 融合多方，
[00:33:26] 共同发力，
[00:33:27] 能不能壮马？
[00:33:29] 那我觉得是可以的，
[00:33:31] 好吧，
[00:33:31] 但好了，
[00:33:32] 我就能够壮马了，
[00:33:34] 好了再来看一下。
[00:33:36] 下面的这个断尾句，
[00:33:38] 你会发现他如果非要选择一个词作为对策的话。
[00:33:44] 还是在说各类社会力量，
[00:33:46] 还是在说融合各方共同发力，
[00:33:48] 他说的是一件事情，
[00:33:50] 就不用管了。
[00:33:51] 好了，
[00:33:52] 那么壮马我知道了，
[00:33:54] 大家再写一个词叫融合。
[00:33:59] 各方发力，
[00:34:00] 一起先把它写下来啊，
[00:34:02] 不管对不对，
[00:34:03] 没关系，
[00:34:04] 反正我们就是尊重材料，
[00:34:06] 就只能找到这么多。
[00:34:08] 再来看一下断尾这个断首句，
[00:34:11] 大家觉得这句话当中有没有能够看到和轻车壮马有关的事情？
[00:34:17] 这个智慧社区平台，
[00:34:19] 你们觉得它是轻车还是壮马？
[00:34:21] 这个智慧社区平台的话呢？
[00:34:24] 对于我们来讲的话，
[00:34:25] 它是在说一个具体的例子。
[00:34:28] 不管是轻车还是撞马，
[00:34:29] 他都不用出点，
[00:34:30] 但是非要说的话，
[00:34:32] 大概率就是刚才说的数字化那个词，
[00:34:34] 大家还有印象吗？
[00:34:36] 好了，
[00:34:36] 再来看一下段尾句有没有同学，
[00:34:39] 同学看到段尾句还是在说智慧社区平台，
[00:34:43] 他依然还是在说数字化，
[00:34:45] 我就不管了。
[00:34:46] 数字化都是在说轻奢的范畴好吧，
[00:34:49] 那么再来看一下第十段就是这句话的前后没有出点。
[00:34:53] 好了，
[00:34:54] 那么基本上来讲的话，
[00:34:56] 我们就把词都找出来了。
[00:34:58] 这个词我们先给大家写一下就是。
[00:35:01] 轻车它对应的词是理清职责边界。
[00:35:05] 轻车对应的词是数字化撞马对应的词，
[00:35:10] 是培训撞马对应的词，
[00:35:12] 是整合。
[00:35:13] 大家这几个词，
[00:35:14] 这四个词有没有印象？
[00:35:16] 就是驾轻车干了两件事情，
[00:35:18] 第一件事情是理清边界，
[00:35:21] 看看哪些可以上墙，
[00:35:22] 哪些可以盖章。
[00:35:24] 第二件事情要还要进行数字化的管控，
[00:35:27] 然后撞马也赶了两件事情，
[00:35:29] 整合网格的资源，
[00:35:31] 整合各类的力量。
[00:35:32] 还要进行一个培训，
[00:35:34] 现在听明白了吗？
[00:35:36] 但是。
[00:35:36] 这四个词在我们材料当中，
[00:35:40] 它专门是针对基层治理说的。
[00:35:44] 还是专门是针对执法工作说的，
[00:35:47] 哪位同学可以告诉我？
[00:35:49] 它专门是针对基层治理说的，
[00:35:52] 还是专门是针对执法工作说的？
[00:35:55] 是不是专门的是针对？
[00:35:58] 执法工作说的。
[00:35:59] 是是不是专门的是针对基层治理说的，
[00:36:02] 但是题干是不是要求我们要把这个分论点写成执法工作？
[00:36:07] 所以要不要稍微变化一下要吧，
[00:36:10] 所以你刚才是整合的网格的资源，
[00:36:14] 现在要整合什么资源？
[00:36:16] 现在是不是要整合执法的资源，
[00:36:19] 大家同意吗？
[00:36:20] 那么如果你这个地方想不到执法，
[00:36:23] 我们就直接写。
[00:36:25] 整合资源，
[00:36:26] 大家觉得可以不也是没有问题的，
[00:36:28] 但是你一定要记住了，
[00:36:30] 在这个考试当中，
[00:36:31] 很多同学没有注意审题，
[00:36:33] 就把它写成了基层治理，
[00:36:35] 这个就麻烦了。
[00:36:36] 它一定是执法工作，
[00:36:38] 所以大家来看一下，
[00:36:40] 请问大家一下，
[00:36:41] 这个就是指的a，
[00:36:43] 这个就是指的一个c。
[00:36:45] 然后这个是对a的一个解释。
[00:36:49] 这个就是指的一个b，
[00:36:51] 这个就是指的一个c，
[00:36:53] 这个就是对于b的一个解释。
[00:36:58] 这个就是指的一个a和b的结合，
[00:37:01] 对于一个c的影响，
[00:37:02] 大家现在能够看懂这个逻辑的话，
[00:37:06] 就给老师敲个一一步一步来。
[00:37:08] 我给大家呢，
[00:37:09] 中间的这个怎么推出来的？
[00:37:11] 根据断首句，
[00:37:12] 断尾句都是一个词，
[00:37:13] 一个词给你敲出来的，
[00:37:14] 当然如果大家想顺策的一下，
[00:37:16] 可不可以有的同学老师觉得说老师那其他同学也写成这样怎么办？
[00:37:21] 它永远不会给你写成一样的，
[00:37:24] 因为你后面这些可以变得无穷无尽，
[00:37:27] 别人写松绑减负，
[00:37:28] 你也写松绑减负，
[00:37:30] 别人写赋能增进，
[00:37:31] 你也写赋能增进。
[00:37:32] 别人写良法善治，
[00:37:34] 你也写良法善治，
[00:37:36] 但是我们前面能不能把谋突破，
[00:37:38] 求实教稍微换一下为要？
[00:37:41] 还有维基，
[00:37:42] 还有维E，
[00:37:42] 还有维g，
[00:37:43] 大家觉得可以不这些东西啊，
[00:37:46] 大家只要说的合情合理就行，
[00:37:48] 如如果这两个词。
[00:37:50] 我就不写成，
[00:37:51] 我就和前面假如说真的是重复了，
[00:37:54] 我改后面的这四个词，
[00:37:56] 大家觉得行吗？
[00:37:57] 这四个词怎么样改的和别人不一样？
[00:38:01] 同学们，
[00:38:02] 你们会写成哪四个词？
[00:38:04] 在评论区发散一下，
[00:38:05] 各位就是轻车是为基层。
[00:38:08] 执法工作松绑肩负的根本保证，
[00:38:11] 大家觉得行吧。
[00:38:13] 根本保证好了，
[00:38:14] 除了根本保证，
[00:38:16] 大家还能够想到什么啊？
[00:38:18] 登山之所我都都都会，
[00:38:20] 我就知道了哈，
[00:38:22] 还有一个叫必。
[00:38:23] 经之法，
[00:38:24] 大家觉得可以不？
[00:38:26] 还有什么核心要义，
[00:38:28] 大家觉得可以不？
[00:38:30] 还有什么哪位同学可以告诉我？
[00:38:33] 还有什么还有关键之举可以吧？
[00:38:36] 好，
[00:38:36] 还有什么？
[00:38:38] 关键之举可以了。
[00:38:40] 还有呢，
[00:38:41] 叫客观要求也是可以的，
[00:38:43] 像这种词呢，
[00:38:45] 你永远是有无穷无尽的这种写法的，
[00:38:49] 不要慌张。
[00:38:50] 啊，
[00:38:50] 但是我问大家一下，
[00:38:52] 在考试的时候轻车壮马要不要写到答案里面去？
[00:38:56] 肯定是要的好吧，
[00:38:57] 然后呢？
[00:38:58] 还有对于轻车壮马的解释。
[00:39:00] 尽量的用材料当中的原词原句，
[00:39:03] 比如说理清职责啊，
[00:39:04] 比如说啊数字啊，
[00:39:05] 数字化啊，
[00:39:06] 比如说整合资源啊，
[00:39:07] 比如说培训啊，
[00:39:08] 这些大家把它写进去就行了。
[00:39:10] 你只要有这样的关键的表述，
[00:39:13] 我就没有问题好了，
[00:39:14] 下面我带着大家写一下开头，
[00:39:17] 大家拿到这个开头的时候，
[00:39:19] 如果你觉得这个开头稍微有一点。
[00:39:21] 让你有点紧张的话，
[00:39:23] 你脑袋像这张PPT一样大，
[00:39:25] 面积是空白的话，
[00:39:26] 你告诉我，
[00:39:27] 这个时候我们的开头应该怎么写？
[00:39:30] 他应该想到一个数字，
[00:39:32] 这个数字是什么？
[00:39:33] 是不是一个四啊？
[00:39:35] 第一句话要写名言警句。
[00:39:37] 第二句话要写影响。
[00:39:40] 第三句话要写过渡句，
[00:39:42] 第四句话要写总论点，
[00:39:44] 大家能够同意吧，
[00:39:46] 请问这个名言警句应该指的是什么名言警句？
[00:39:51] 是从题干当中直接找，
[00:39:53] 还是从材料当中直接找，
[00:39:56] 或者是从我们自身的积累去写？
[00:39:59] 各位，
[00:40:00] 这个题目就直接用题干当中的原词，
[00:40:04] 还有一个原句也就可以了。
[00:40:07] 把它抄下来，
[00:40:08] 如果你想再加一句话，
[00:40:10] 去宏观的解释一句话，
[00:40:12] 那么你就直接再加一句话，
[00:40:14] 这句话。
[00:40:14] 它是为我们指明了执法工作的，
[00:40:18] 或者是为我们指明了基层执法工作的加四个字，
[00:40:22] 哪四个字。
[00:40:23] 根本。
[00:40:25] 逻辑大家觉得行不行？
[00:40:27] 如果不想用根本逻辑的话，
[00:40:30] 再给老师换四个字，
[00:40:32] 换哪四个字为我们？
[00:40:33] 指明了基层执法工作的。
[00:40:36] 核心要义，
[00:40:37] 大家觉得行不行，
[00:40:39] 你要自己准备几句，
[00:40:40] 这种比较万能的话，
[00:40:42] 好吧，
[00:40:42] 那么这个时候我请问大家下。
[00:40:45] 你们觉得轻车和撞马要不要去做一个解释？
[00:40:50] 哪位同学可以告诉我？
[00:40:52] 轻车和壮马要不要做一个解释？
[00:40:55] 那我觉得是要的啊，
[00:40:57] 我觉得轻车。
[00:40:58] 它是指什么撞马？
[00:41:00] 我觉得它是指什么？
[00:41:01] 你在这个地方就可以做解释了，
[00:41:04] 好了，
[00:41:04] 那我们带着大家来看一下，
[00:41:06] 我给大家写了一个开头。
[00:41:08] 这个是直接摘抄材料的，
[00:41:10] 没有什么技术含量这一个。
[00:41:13] 是指的轻车和壮马的含义全部都给大家说出来了，
[00:41:17] 我说的相对来讲比较灵活一些，
[00:41:20] 你如果不想。
[00:41:21] 我这样写的话，
[00:41:22] 你就直接写，
[00:41:23] 我们将继续按照轻车鱼装马相结合的原则，
[00:41:26] 持续改进和创新工作模式，
[00:41:28] 努力绘就基层治理新划建。
[00:41:30] 这句话为我们指明了我们基层治理工作和执法工作的核心要义。
[00:41:36] 轻车意味着通过减负松绑释放获利，
[00:41:39] 壮马意味着通过赋能。
[00:41:41] 增进提升效能，
[00:41:42] 你这样写也是可以的，
[00:41:44] 但是我就直接把它两句和一句，
[00:41:47] 因为我字数所限，
[00:41:48] 我不想怕开头写的太长，
[00:41:50] 请问写成这个样子？
[00:41:52] 可以不写成这个样子，
[00:41:53] 你一定要看懂了，
[00:41:55] 减负就是对轻车的解释说明，
[00:41:57] 赋能就是对撞马的解释说明，
[00:41:59] 这就是我们刚才从材料当中得出了对轻车和撞马的一个解释。
[00:42:04] 啊，
[00:42:04] 当然，
[00:42:04] 你后面还想再加一句话，
[00:42:06] 具有深刻的借鉴意义，
[00:42:08] 那么或者对我们的工作指明了方向，
[00:42:11] 或者他道出了我们执法工作的啊，
[00:42:13] 就是根本逻辑都是可以的。
[00:42:16] 记住这个地方，
[00:42:17] 突出了题干，
[00:42:17] 因为我前半句主要还是在说基层治理，
[00:42:20] 但是题干让我们说的对，
[00:42:22] 于执法工作的影响，
[00:42:23] 所以我加了这样一句话也是没有问题的。
[00:42:26] 当然，
[00:42:27] 如果你没有直接加你，
[00:42:28] 就直接在这个地方，
[00:42:30] 就是直接把执法工作塞到这个地方，
[00:42:33] 我觉得也没有问题，
[00:42:34] 这两个都是可以的。
[00:42:36] 大家觉得这一句话可以过了吧？
[00:42:38] 好了，
[00:42:39] 那么写完了第一句话的名言，
[00:42:41] 警句加解释之后，
[00:42:43] 我没有话了，
[00:42:44] 这个时候我要写影响。
[00:42:47] 请问你这个影响要写哪个词的影响？
[00:42:51] 各位，
[00:42:51] 你这个影响是不是一定要写？
[00:42:54] 轻车。
[00:42:56] 还有一个撞马的影响啊，
[00:42:58] 车车和撞马，
[00:42:59] 请问他们的影响，
[00:43:01] 因为题干是让我们写对于执法工作。
[00:43:05] 的意义和启示。
[00:43:07] 我们轻车壮马主要写什么？
[00:43:10] 影响是不是要写？
[00:43:11] 对于执法的影响，
[00:43:13] 执法的影响，
[00:43:14] 我有没有让大家背？
[00:43:16] 我是让大家背着的吧，
[00:43:18] 如果没有背的同学，
[00:43:19] 可以打个汪汪汪了好吧，
[00:43:21] 我再给大家说一下，
[00:43:23] 你记忆力好，
[00:43:24] 你就背个。
[00:43:24] 三组到五组，
[00:43:25] 记忆力差，
[00:43:26] 你先背个一组，
[00:43:27] 慢慢慢的你就会了，
[00:43:29] 你天天不背，
[00:43:29] 天天就在那边闲着，
[00:43:31] 你自己又写不出那么好的，
[00:43:33] 那你说咱们。
[00:43:34] 不就是特别被动的吗？
[00:43:36] 好吧。
[00:43:37] 好了，
[00:43:37] 说到这呢，
[00:43:38] 我给大家解释一句话啊，
[00:43:39] 就有的时候的话呢，
[00:43:41] 我上课吧，
[00:43:41] 我也不知道，
[00:43:42] 就是同学们的点到底在哪里，
[00:43:44] 我有的时候我说好不容易辛辛苦苦99块钱的课给你们研发了这么多的东西。
[00:43:50] 让大家背，
[00:43:51] 结果呢，
[00:43:51] 有的同学就说我给他卖财，
[00:43:53] 然后呢，
[00:43:54] 说我就是呃炫耀我自己多良心，
[00:43:56] 我的妈呀，
[00:43:57] 我是让你背好吗？
[00:43:58] 然后呢？
[00:43:59] 结结果到我你你发现你让你让你好好的去背，
[00:44:03] 让他干一件正事，
[00:44:04] 他干不了，
[00:44:05] 他跟你这种就是。
[00:44:07] 就是到处宣传，
[00:44:08] 就说他这这这种真的不好弄，
[00:44:10] 你知道吗？
[00:44:11] 好好接着给大家看一下，
[00:44:13] 应该怎么把它搞定？
[00:44:15] 这个影响我让有没有让大家背各位，
[00:44:18] 我问大家一下，
[00:44:19] 以轻车壮马破题是涵养政治文明的客观要求，
[00:44:23] 是推动经济繁荣的必要支撑。
[00:44:26] 是维护社会和谐的重要保障，
[00:44:28] 请问一下可不可以那么还有以轻车壮马破骑是推进国家治理现代化的重要保证。
[00:44:36] 是维护群众合法权益的客观要求，
[00:44:39] 是推进法治政府建设的核心要要义。
[00:44:42] 以轻车与壮马破蹄是提升政府公信力，
[00:44:46] 塑造良好形象的重要抓手。
[00:44:48] 是优化营商环境，
[00:44:50] 激活发展动能的关键支撑，
[00:44:52] 是推进社会治理法治化，
[00:44:54] 提升治理效能的根本路径。
[00:44:56] 请问是不是都是可以啊？
[00:44:58] 大家执法类的，
[00:44:59] 只要你们要考国考的那个税务，
[00:45:01] 我跟你说一下你的大嘴，
[00:45:03] 你看东哥是不是肯定给你猜中了？
[00:45:05] 你指法的可以多背个三组，
[00:45:08] 背个背个五组，
[00:45:09] 为什么要背五组？
[00:45:11] 哪位同学可以可以告诉我？
[00:45:14] 为什么执法的影响，
[00:45:15] 我让你们背五组哪位同学可以告诉我来认真的想一下，
[00:45:20] 背五组的话可以开头用一组可以结尾，
[00:45:23] 用一组可以分论点用三组。
[00:45:25] 这个时候你拿到这个五组，
[00:45:27] 这个白白的加个五分，
[00:45:29] 比你数量关系学一年效果还要好的多，
[00:45:32] 好吧，
[00:45:32] 好了也就可以过了。
[00:45:34] 请问大家下，
[00:45:35] 然后我们要写一个过渡句了，
[00:45:38] 这个过渡句应该写成一个什么样的过渡句，
[00:45:41] 哪位同学可以告诉我？
[00:45:43] 是不是大概率要写成一个名言警句啊？
[00:45:46] 那有的同学就给老师写了这样一个名言警句，
[00:45:50] 这个名言警句追风赶月莫停留，
[00:45:52] 平无尽处是春山。
[00:45:53] 请问大家下这个名言警句是行还是不行？
[00:45:57] 哪位同学可以告诉我，
[00:46:00] 首先我告诉你这个名言警句是完全可以的，
[00:46:04] 但是我觉得。
[00:46:05] 你如果作为袁东老师的学生不够好。
[00:46:08] 为什么不够好？
[00:46:09] 因为这个追风赶月莫停留，
[00:46:11] 平无尽处处春山。
[00:46:12] 它针对政治，
[00:46:13] 经济，
[00:46:14] 社会，
[00:46:14] 文化，
[00:46:15] 生态都是可以的。
[00:46:16] 我希望大家这个时候你只要是考国考税务的，
[00:46:20] 他每年的话题税务只会考三个话题，
[00:46:23] 这个后面的课当中我们会给大家讲。
[00:46:26] 国考税务的大指纹的命题是哪三个话题？
[00:46:29] 哪位同学可以告诉我，
[00:46:30] 你只要要参加国考，
[00:46:32] 比如说税务，
[00:46:32] 海关，
[00:46:33] 然后呢，
[00:46:33] 还有铁路，
[00:46:34] 公安等等的，
[00:46:35] 为什么东哥敢拍着胸脯？
[00:46:36] 哎，
[00:46:37] 现在也不是卖克了，
[00:46:38] 现在你们都买了，
[00:46:39] 就跟你们说大概率肯定能够猜中记住了，
[00:46:42] 他一般就考三个话题。
[00:46:43] 是因为它只考这三个话题，
[00:46:46] 所以才敢这样说，
[00:46:47] 第一个话题大家一起写，
[00:46:49] 叫行政执法把它记下来。
[00:46:51] 第一个话题叫行政执法，
[00:46:52] 这个我们后期会给大家准备素材的，
[00:46:55] 你们打卡这个素材都给你准备好了，
[00:46:57] 第二个话题大家一起写。
[00:46:59] 民生服务哎，
[00:47:00] 有的同学总觉得自己考税务，
[00:47:03] 考铁路，
[00:47:03] 公安只要学执法的内容不对，
[00:47:06] 他有的时候现在我们都叫服务型执法。
[00:47:09] 体检是监管服务，
[00:47:11] 也是非常重要的第三个，
[00:47:13] 大家一起写叫基层治理或者是叫。
[00:47:16] 社会治理，
[00:47:17] 你们就看看二七年国考是不是就考这三个话题，
[00:47:20] 如果没考的话呢，
[00:47:22] 到时候直接来直播间骂我也就可以了，
[00:47:24] 好吧，
[00:47:25] 叫行政执法，
[00:47:25] 民生服务，
[00:47:26] 基层治理，
[00:47:27] 社会治理。
[00:47:28] 就这三个话题，
[00:47:29] 那么如果我们能够把这三个话题基本上给大家猜中了的话，
[00:47:34] 请问大家下这个名言警句能不能提前你就背五句？
[00:47:38] 关于行政执法的名言警句，
[00:47:40] 哪位同学能够记得一个关于行政执法比较万能的名言警句，
[00:47:45] 可以敲在评论区。
[00:47:47] 各位，
[00:47:47] 你会发现荀子有云。
[00:47:50] 法者，
[00:47:51] 置之端也。
[00:47:54] 好，
[00:47:54] 直接把它写下来，
[00:47:56] 你会发现韩非子有云，
[00:47:58] 奉法者强则国强，
[00:48:00] 奉法者弱则国弱，
[00:48:02] 你看不也就把它搞定了吗？
[00:48:05] 好吧，
[00:48:05] 全部就把它搞定了，
[00:48:07] 这就是我们非常重要的一个事情，
[00:48:10] 好了，
[00:48:11] 这个也就过了哈，
[00:48:12] 那么接着我们最后一句，
[00:48:15] 唯有秉持。
[00:48:15] 轻车撞马的理念啊，
[00:48:17] 唯有秉持驾轻车欲撞马的理念，
[00:48:21] 下面把分论点要给我塞进去，
[00:48:24] 把分论点要给我塞进去。
[00:48:26] 理清边界，
[00:48:27] 数字赋能是指的驾轻车整合资源，
[00:48:30] 专业培训是指的预撞码。
[00:48:33] 最后，
[00:48:33] 它能对执法工作带来一个影响。
[00:48:36] 对执法工作良法善治，
[00:48:38] 它就能够提升执法效能和治理水平也就可以了。
[00:48:42] 好吧，
[00:48:42] 我问大家一下，
[00:48:43] 如果大家在。
[00:48:44] 二五年的国省考的考场上，
[00:48:46] 你们能够写出这样的开头，
[00:48:49] 觉得还满意不？
[00:48:50] 我觉得大概率应该还行吧，
[00:48:53] 你看。
[00:48:53] 这句话它是指的我们的抄的原词，
[00:48:56] 原句并不需要你发挥自己的想象力，
[00:48:59] 这句话实际上提前可以把这个模板准备好。
[00:49:02] 然后呢？
[00:49:03] 只要你从材料当中能够把轻车是减负，
[00:49:06] 壮马是赋能，
[00:49:07] 找出来塞进去就行了，
[00:49:09] 这句话就是一个万能的话是吧你？
[00:49:12] 呃，
[00:49:12] 为我们工作和生活指明了方向，
[00:49:14] 为我们出到处的执法工作的根本逻辑，
[00:49:17] 这种话都是相对比较万能的。
[00:49:19] 好了，
[00:49:19] 再来看一下这句话，
[00:49:21] 影响是东哥给你准备的，
[00:49:23] 那么这句话准备一个专用的名言警句，
[00:49:26] 开头上来直接白白加一分。
[00:49:29] 最后这句话就是和我们标题的前半句是一样，
[00:49:32] 这两句话就是把分论点加到总论点里面去，
[00:49:36] 最后一句话把它稍微改写一下。
[00:49:38] 一个议论文也就出来了。
[00:49:41] 满意吧各位，
[00:49:42] 你并不是大作文的创造者，
[00:49:44] 你呢？
[00:49:44] 其实就是一个大作文的搬运工哎，
[00:49:47] 就从材料当中搬，
[00:49:48] 就从我们平常积累的素材当中搬，
[00:49:51] 你想拿不到高分都很难。
[00:49:53] 好，
[00:49:53] 那我们有的同学说老师能不能给我个性化，
[00:49:57] 我们来看一下我们怎么给大家个性化的，
[00:50:00] 大家来看一下。
[00:50:01] 在这个题目当中，
[00:50:03] 我们要个性化这句话，
[00:50:05] 首先大家告诉我是在说什么样的。
[00:50:09] 是在怎么个性化的？
[00:50:11] 哪位同学可以告诉我，
[00:50:13] 我反复给大家说，
[00:50:14] 如果大家不写名言警句的话，
[00:50:16] 其实有点风险，
[00:50:17] 最好你个性化也是把这个名言警句。
[00:50:20] 写下来写完了之后，
[00:50:22] 那么我想写一个影响我写影响的时候应该怎么写？
[00:50:27] 影响哪位同学可以告诉我？
[00:50:29] 我写影响的时候，
[00:50:31] 我当然可以用哪个词有什么样的影响，
[00:50:34] 直接用模板用素材，
[00:50:35] 但是如果不这样做，
[00:50:37] 想把它个性化的话。
[00:50:38] 我给大家说过三个词，
[00:50:40] 哪三个字你就记住了，
[00:50:43] 举例子是我们实现个性化，
[00:50:45] 非常非常好用的一种方式。
[00:50:48] 举例子主要应该写什么？
[00:50:50] 主要应该写主体就应该写对策，
[00:50:54] 就应该写一个影响。
[00:50:56] 主体是谁？
[00:50:57] 主体是指的一个f市，
[00:50:59] 对策是指谁？
[00:51:01] 对策就是指轻车壮马相结合，
[00:51:04] 然后呢？
[00:51:04] 影响指的是谁？
[00:51:06] 破解基层治理难题，
[00:51:08] 然后接着我就说这个例子，
[00:51:11] 他的核心要义就把轻车壮马解释一下。
[00:51:15] 然后再说这是一个智慧，
[00:51:17] 对我们产生的借鉴意义就可以了，
[00:51:20] 好了，
[00:51:21] 这是影响通过举例子就把这个例子塞进去也就可以了，
[00:51:25] 和刚才是一样的。
[00:51:26] 但是如果你除了这个的话，
[00:51:29] 还可以怎么办？
[00:51:30] 还可以在我们过渡住之前加一个什么？
[00:51:33] 加一个背景句或加一个问题或加一个成绩。
[00:51:39] 有没有同学还记得？
[00:51:42] 有没有同学知道这三句话是在说什么？
[00:51:45] 是在说哪个要素？
[00:51:47] 这三句话是不是在说一个问题啊？
[00:51:49] 这个问题是我自己想出来的，
[00:51:52] 还是从哪里找的？
[00:51:54] 大家看职责较差，
[00:51:55] 流程分锁，
[00:51:56] 还有一个力量薄弱，
[00:51:58] 这是我袁东老师自己创造的吗？
[00:52:01] 不是。
[00:52:01] 大家还记不记得刚才我们读材料的时候，
[00:52:05] 你会发现边界不清，
[00:52:07] 准入不严，
[00:52:07] 监管不力，
[00:52:08] 我们用这几句话。
[00:52:10] 大家觉得可以不？
[00:52:11] 你想改一下也没有问题，
[00:52:13] 边界不清，
[00:52:14] 你就把它变成了职责交叉，
[00:52:16] 都是没有问题的好吧。
[00:52:18] 好了，
[00:52:18] 这个只要大家说的合情合理就行啊，
[00:52:21] 不一定完全跟我一样。
[00:52:22] 这个时候那么我们轻车壮马，
[00:52:25] 轻车壮马再回扣总论点，
[00:52:27] 然后呢，
[00:52:27] 再把两个分论点的关键词塞进去，
[00:52:30] 最后对执法工作有影响就可以了。
[00:52:34] 这个开头呢，
[00:52:35] 也就给大家讲到这。
[00:52:36] 然后再接着给大家讲一下结尾啊，
[00:52:40] 好了，
[00:52:40] 我问大家一下有没有同学从这节课开始想背几个关于执法的万能的名言警句。
[00:52:48] 哪位同学想背的，
[00:52:49] 可以直接告诉东哥，
[00:52:50] 就执法的万能的名言警句的话呢，
[00:52:53] 我也对你们哈，
[00:52:54] 说实话，
[00:52:54] 咱们都是老师和学生，
[00:52:56] 但是呢，
[00:52:56] 以我对你们长期的这种了解，
[00:52:58] 我对你们是完全没有什么信心了啊。
[00:53:01] 我也不能够信任你们了，
[00:53:02] 因为你们太渣了，
[00:53:03] 骗了我很多很多次，
[00:53:05] 每次的话呢，
[00:53:06] 我们背不背都说背，
[00:53:07] 然后呢，
