[00:00:00] 给大家。
[00:25:50] 我就登山之索，
[00:25:51] 开山之镐，
[00:25:52] 还有什么循境之徒？
[00:25:53] 各位，
[00:25:53] 我说你不会换成四个字吗？
[00:25:55] 他说，
[00:25:56] 老师，
[00:25:56] 我换成核心，
[00:25:57] 保证核心药剂，
[00:25:58] 我觉得有点不如登山之所好啊。
[00:26:00] 哎，
[00:26:01] 他说我就我就而且我说成根根本保证，
[00:26:04] 我怕和别人重复啊，
[00:26:05] 那你就把这两个词再叠加一下，
[00:26:08] 这样的话是不是感觉好一点？
[00:26:10] 有的同学跟我跟我说，
[00:26:12] 老师，
[00:26:12] 我背了，
[00:26:13] 我背了八个词，
[00:26:14] 你你叫我背三个，
[00:26:15] 我背多了，
[00:26:15] 我觉得浪费了，
[00:26:16] 不浪费你就把它全部塞进去也就可以了，
[00:26:19] 行吗？
[00:26:19] 你们别每次考试之前，
[00:26:21] 我们每次考试之前，
[00:26:22] 因为大家都知道行测嘛，
[00:26:24] 根本绝大多数同学学了和没学一个样，
[00:26:26] 天天的话呢，
[00:26:27] 行测也就是给你们提供提供情绪价值。
[00:26:30] 就是到考试之前才明白，
[00:26:32] 原来就靠申论学，
[00:26:33] 学学上去就学上去，
[00:26:34] 学不上去就完蛋了，
[00:26:36] 所以大家每一次考试之前你到抖音，
[00:26:38] 你到小红书，
[00:26:39] 你看看漫天遍野的袁董老师。
[00:26:41] 就是穿呀，
[00:26:42] 穿着那个登山服，
[00:26:43] 拿着一个绳子绑在身上，
[00:26:44] 好像是什么变态一样，
[00:26:46] 另外呢，
[00:26:46] 还拿着一个斧头，
[00:26:48] 你说你们把我搞成那个变态的样子，
[00:26:50] 然后有的还同同学给我插三根烟，
[00:26:52] 弄三支香球球都过了，
[00:26:54] 保佑我啊。
[00:26:54] 站在我身后吧，
[00:26:55] 各位。
[00:26:56] 那你如果今年你不想用这个没关系，
[00:26:58] 你就把它用成这样的四个词，
[00:27:01] 你背了你这样一组合，
[00:27:02] 别人是超越不了你的。
[00:27:04] 现在可以了吗？
[00:27:05] 同学们，
[00:27:06] 大家整个的这个结构听明白的话也就可以了，
[00:27:09] 但是如果在考试的时候，
[00:27:11] 我们只用其中的一个，
[00:27:13] 行不行也是没有问题的。
[00:27:14] 好了好了，
[00:27:15] 再带着大家往下走。
[00:27:17] 接着要给大家写一个开头，
[00:27:20] 大家拿到这个开头是否觉得脑袋会有点空白？
[00:27:24] 哪位同学可以告诉我？
[00:27:25] 拿到这个开头的话呢，
[00:27:27] 如果你脑袋空白的话，
[00:27:28] 你脑子当中一定要记住袁东老师像个大哥哥一样，
[00:27:32] 站在你身后说一个数字，
[00:27:33] 哪个数字？
[00:27:34] 是四这个数字吧，
[00:27:35] 所以我们不怕空白，
[00:27:37] 第一个也就是要写名言警句，
[00:27:39] 第二个要写一个影响。
[00:27:41] 第三个要写一个过渡句，
[00:27:43] 第四个要写一个总论点，
[00:27:46] 大家同意不？
[00:27:47] 第一个要写名言警句，
[00:27:49] 第二个要写影响，
[00:27:50] 第三个要写过渡句，
[00:27:52] 第四个要写总论点。
[00:27:54] 哎，
[00:27:54] 那么这个名言警句。
[00:27:56] 各位，
[00:27:57] 请问大家一下应该怎么写？
[00:27:59] 哪位同学可以告诉我是来源于题干？
[00:28:03] 还是来源于材料。
[00:28:05] 还是是来源于题干材料，
[00:28:07] 还是来源于自身的积累？
[00:28:09] 对于这个题目来讲的话呢，
[00:28:11] 我当然知道大家背了一些荀子有云法者知之端也。
[00:28:15] 韩非子有云奉反者强，
[00:28:17] 则国强奉法者弱，
[00:28:18] 则国弱。
[00:28:19] 但是这个题目题干当中已经明确给我们了，
[00:28:22] 我们就直接引用题干当中的这句话也就可以了。
[00:28:26] 好吧，
[00:28:26] 引用完了这句话，
[00:28:28] 因为往前跑，
[00:28:29] 还有一个目标，
[00:28:31] 它本身说的就不够精确，
[00:28:33] 说的就比较形象，
[00:28:35] 所以我们要把往前跑。
[00:28:38] 和目标干什么事情进行一个解释。
[00:28:42] 进行一个解释。
[00:28:43] 好，
[00:28:43] 那我就给大家解释完了，
[00:28:45] 大家来看一下我们是怎么解释的？
[00:28:48] 我这个材料给大家解释成要获得真正的进步，
[00:28:52] 不能只为只是一味往前跑，
[00:28:54] 更关键的要明确跑的目标，
[00:28:56] 所谓一味往前跑是指执法推进中陷入技术之上。
[00:29:00] 哎，
[00:29:00] 效率有限的误区，
[00:29:01] 请问不写效率优先，
[00:29:03] 你觉得可以不？
[00:29:04] 那么哎，
[00:29:05] 当然是没有问题的，
[00:29:07] 所谓明确跑的目跑的目标是指要牢牢记住执法为民。
[00:29:11] 良法善治的根本宗旨，
[00:29:13] 你们觉得可以吗？
[00:29:14] 一起把它搞定，
[00:29:15] 这个是完全可以的，
[00:29:17] 这个就是名言警句，
[00:29:18] 加上一个解释也就可以了啊，
[00:29:21] 当然有的同学说老师就说我没有你那么厉害，
[00:29:24] 我我也我也不想把它。
[00:29:26] 写的时候就把它调整成这种四个字了，
[00:29:29] 你不是刚才跟我说吗？
[00:29:31] 就是往一味往前跑，
[00:29:33] 就是在我们数就是材料当中，
[00:29:35] 它只是写了一个。
[00:29:37] 数字化监管。
[00:29:39] 好了，
[00:29:40] 那个明确跑的目标做的是什么？
[00:29:42] 大家告诉我是不是材料当中的原词是叫是叫什么来着？
[00:29:47] 是叫服务这个服务，
[00:29:49] 我们就把它可以。
[00:29:50] 叫做执法为民是吧？
[00:29:52] 我就直接简单写成这样行不行？
[00:29:54] 这两个词不对账，
[00:29:56] 公正行不行？
[00:29:57] 依然是没有问题的啊，
[00:29:58] 你就直接写那么所谓一味往前跑。
[00:30:01] 就是在推进过程当中呢，
[00:30:03] 陷入数字化监管的哎，
[00:30:05] 数字化监管之上的误区，
[00:30:07] 所谓明确的目标是指要牢牢记住执法为民的根本宗旨，
[00:30:12] 完全没有问题啊。
[00:30:14] 我只是给大家说，
[00:30:15] 有的时候像这种词，
[00:30:16] 你要拿不准的话，
[00:30:17] 你在前面的话呢，
[00:30:19] 比如说你就多想几个词，
[00:30:20] 只要你想的这个词大体意思能够相近，
[00:30:23] 阅卷的时候都会给你分数的。
[00:30:25] 但是一定要解释，
[00:30:26] 同学们，
[00:30:27] 我再给大家说一下啊，
[00:30:29] 解释是非常重要的，
[00:30:30] 你们现在都比较年轻啊，
[00:30:32] 在你们很小的时候，
[00:30:34] 国考考了一个题目。
[00:30:36] 有没有同学见过这个题目，
[00:30:39] 叫不学礼，
[00:30:40] 下面无引力，
[00:30:41] 有没有同学？
[00:30:43] 记得这个题目不学礼，
[00:30:45] 无以立不学礼，
[00:30:46] 无以立。
[00:30:47] 他在考试的时候，
[00:30:48] 那一年的阅卷的标准就是让大家一定要解释这个理，
[00:30:52] 不解释的，
[00:30:53] 在国考的那一年的考试当中啊，
[00:30:55] 满分100分，
[00:30:56] 你会发现绝大多数同学都是40多分。
[00:30:59] 这个不是给大家开玩笑的，
[00:31:01] 这个是很早之前的一个国考的题目啊，
[00:31:03] 好了，
[00:31:04] 那么我们解释完了之后，
[00:31:06] 请问要说什么了？
[00:31:07] 哪位同学可以告诉我要说影响呢？
[00:31:10] 各位，
[00:31:10] 我们要说的影响要说哪个词的影响？
[00:31:13] 哪位同学可以告诉我？
[00:31:15] 我们要说的这个词的影响，
[00:31:18] 是不是应该就是奔跑的影响和目标的影响啊？
[00:31:21] 就是往前跑的影响，
[00:31:23] 还有目标的影响，
[00:31:24] 我的妈呀。
[00:31:25] 我知道要说这两个词的影响，
[00:31:27] 但是我不会说了，
[00:31:29] 请问这个时候奔跑和往前跑，
[00:31:31] 奔跑和目标，
[00:31:32] 它应该是针对哪个领域的影响？
[00:31:35] 我让大家背的万能的，
[00:31:37] 是不是？
[00:31:38] 针对的是执法领域的影响啊，
[00:31:40] 哪位同学告诉我，
[00:31:41] 就是执法领域的影响，
[00:31:43] 如果你们背着的就打个背的，
[00:31:46] 没背的直接打个汪汪汪，
[00:31:48] 在评论区啊。
[00:31:49] 就是这个呢，
[00:31:50] 也别怪东哥说你啊，
[00:31:51] 你看苏坚持奋力奔跑与明确目标相结合，
[00:31:55] 是打造政治文明的客观要求，
[00:31:58] 是促进经济繁荣的必要条件。
[00:32:01] 是保障社会和谐的重要举措，
[00:32:03] 是建设社会主义现代化强国的啊重要内容。
[00:32:06] 哎，
[00:32:06] 我问大家一下，
[00:32:07] 假如你就背了这一句，
[00:32:09] 但是我又想发这一句。
[00:32:10] 稍微的换一下表述这个词可以换成什么？
[00:32:14] 可以换成什么社会主义现代化强国，
[00:32:17] 把它变成什么？
[00:32:19] 哪位同学是不是可以变成法治强国啊？
[00:32:23] 大家觉得行吧，
[00:32:24] 它可以无穷无尽的个性化好了，
[00:32:26] 这样也就把它搞定了，
[00:32:28] 搞定之后大家告诉我第三步要写过渡句，
[00:32:31] 这个过渡句应该指什么？
[00:32:33] 哪位同学可以告诉我？
[00:32:35] 过渡句我们要找一个名言警句吧。
[00:32:38] 哎，
[00:32:38] 名言警句，
[00:32:40] 请问一下，
[00:32:41] 这个名言警句，
[00:32:42] 它讲的是我们要牢记为人民服。
[00:32:46] 执法为人民服务的目标，
[00:32:48] 所以你可以找什么？
[00:32:50] 你可以找执法方面的吧？
[00:32:52] 你也可以找民生方面的吧？
[00:32:54] 都是可以的，
[00:32:55] 所以呢，
[00:32:55] 我们给大家找了一个名言警句，
[00:32:58] 就是治国有常而利民为本，
[00:33:00] 如果你不想用这句的话，
[00:33:01] 能不能换？
[00:33:02] 写成写成什么？
[00:33:04] 韩非子有云，
[00:33:05] 奉法者强则国强，
[00:33:06] 不行法者知之端也。
[00:33:08] 写成什么？
[00:33:09] 哪位同学可以告诉我？
[00:33:12] 王子犯罪，
[00:33:12] 与庶民同罪，
[00:33:13] 我的妈呀，
[00:33:14] 大概率应该也是王子犯法，
[00:33:16] 与庶民同罪，
[00:33:17] 你那个和和这个实在是不相关啊，
[00:33:19] 这个怎么能够体现出王子呢？
[00:33:22] 王子也不是让你们这样搞的。
[00:33:24] 王子让白雪公主在童话里面就是搞得这么坏了，
[00:33:27] 然后又在这这边让你们再搞一下，
[00:33:29] 王子容易吗？
[00:33:30] 王子那么多妈妈从小到大活在一起。
[00:33:33] 放放了王子吧，
[00:33:34] 行不行？
[00:33:34] 你要加民言警句，
[00:33:36] 一定要加个合情合理的，
[00:33:37] 就不是说你背哪句就背哪句，
[00:33:40] 行吧？
[00:33:40] 哎，
[00:33:40] 我求你了哈，
[00:33:41] 哎，
[00:33:42] 好了，
[00:33:42] 明明帮本本姑帮你，
[00:33:44] 我觉得也是可以的，
[00:33:46] 大家看，
[00:33:46] 唯有以目标引领奔跑，
[00:33:48] 以目标引领奔跑，
[00:33:50] 以奔跑践行目标，
[00:33:51] 以奔跑践行目标。
[00:33:53] 才能推动行政执法从管的住向跨的好啊跨越，
[00:33:56] 实现高质量发展也就可以了。
[00:33:58] 好吧，
[00:33:59] 这一段大家觉得可以能够看懂吗？
[00:34:01] 你会发现它就是我们经典的写作方式。
[00:34:04] 第一步，
[00:34:05] 从这个地方到这个地方，
[00:34:07] 就是在说名言警句，
[00:34:08] 再加上一个啊解释，
[00:34:10] 从这个地方到这个地方，
[00:34:12] 就是在说影响，
[00:34:13] 从这个地方到这个地方，
[00:34:15] 就是在说名言警句。
[00:34:16] 从这个地方到这个地方，
[00:34:18] 就是在这左边点也就可以了啊，
[00:34:20] 好了再接着给大家往下走啊。
[00:34:23] 大家来看一下怎么样把它搞定，
[00:34:26] 奔跑与目标破题绘就执法工作新篇章，
[00:34:29] 应该怎么把它搞定？
[00:34:31] 如果你想写个性化，
[00:34:32] 能不能写成个性化，
[00:34:34] 那我第一句我就直接写，
[00:34:36] 你不是让我写执法工作吗？
[00:34:38] 我第一句我就直接写个影响。
[00:34:40] 我就有反骨，
[00:34:41] 我就不想跟袁东老师一样，
[00:34:43] 而且我这个影响袁东老师说了要写哪个词的影响？
[00:34:48] 但是呢，
[00:34:48] 袁东老师，
[00:34:49] 他不是跟我说吗？
[00:34:50] 要写哪个词的影响吗？
[00:34:51] 他让我们写奔跑和目标的影响，
[00:34:53] 我就不按他他的来，
[00:34:55] 我就写成执法工作的影响，
[00:34:56] 大家觉得行不行？
[00:34:57] 那你看我就写执法工作的影响，
[00:35:00] 哎呦我的妈呀，
[00:35:02] 执法工作请问对谁有影响？
[00:35:04] 能不能告诉我执法工作是不是对法治政府有影响？
[00:35:09] 执法工作是不是对国家有影响，
[00:35:13] 你会发现就全部把它搞定了。
[00:35:16] 好吧，
[00:35:17] 那么政行政执法呢？
[00:35:18] 它是法治政府建设的最后一公里，
[00:35:21] 是国家治理现代化的关键支撑。
[00:35:23] 两句话也就可以了。
[00:35:25] 好了，
[00:35:25] 下面我没有话了，
[00:35:26] 我没有话。
[00:35:27] 就是应该怎么办？
[00:35:28] 我没有话，
[00:35:29] 我想把这句话引出来哎，
[00:35:31] 我就把名言警句放在后面，
[00:35:33] 我就给袁东老师反古，
[00:35:34] 袁东老师让我第一句写名言警句，
[00:35:37] 我就不写，
[00:35:38] 我就第二句写。
[00:35:39] 我就看能不能行，
[00:35:40] 但是袁东老师说名言警句就直接摘抄下来就可以了，
[00:35:44] 但是我不想跟他一样，
[00:35:46] 这个时候我想干什么？
[00:35:48] 我想个性化，
[00:35:48] 个性化，
[00:35:49] 我反复给大家说过，
[00:35:50] 在开头个性化，
[00:35:51] 你可以善用什么？
[00:35:53] 可以善用。
[00:35:55] 举例子的方式把它搞定，
[00:35:57] 我反复反复给大家说过，
[00:35:59] 当你学好了，
[00:36:00] 你随便调换出去，
[00:36:02] 随便写都是有的。
[00:36:03] 那么，
[00:36:04] 举例子主要包含什么要素主体？
[00:36:07] 再加上对策，
[00:36:09] 再加上影响。
[00:36:10] 大家同意吧，
[00:36:12] 这个主体是意识。
[00:36:14] 然后这个对策就是主动校准方向，
[00:36:17] 这个影响就是最后的这句话，
[00:36:20] 大家觉得可以不？
[00:36:21] 你看这种组合也是一种处理方式。
[00:36:24] 所以大家不用担心，
[00:36:26] 好了，
[00:36:26] 我再接着问大家一下，
[00:36:28] 就是还有什么问题，
[00:36:30] 还有有的同学说老师我还想再写一个影响大家觉得可以不？
[00:36:35] 当然是可以的，
[00:36:36] 我再写一个音响，
[00:36:37] 我就和老师不一样，
[00:36:39] 我想办法把它变成无穷无尽的组合，
[00:36:42] 我写什么音响，
[00:36:43] 我写奔跑的音响。
[00:36:44] 你看人生当中那些失去的时光，
[00:36:46] 没有谈的恋爱，
[00:36:48] 我就把它谈过来了，
[00:36:49] 我在一开始只谈了刑执法工作的恋爱是吧？
[00:36:52] 现在失恋了，
[00:36:53] 到了30岁的时候，
[00:36:55] 然后呢，
[00:36:55] 我就认清了袁东老师讲的对。
[00:36:58] 我想谈奔跑的恋爱了，
[00:36:59] 你看不就可以了吗？
[00:37:01] 我就想谈目标的恋爱了不就可以了吗？
[00:37:04] 你看这个时候我顺便把它创新，
[00:37:07] 把它为民。
[00:37:07] 一起解释了，
[00:37:08] 然后第四个直接说我们的总论点，
[00:37:11] 这个总论点是在什么呀？
[00:37:13] 什么这个总论点就是把标题进行一个呼应。
[00:37:17] 完全是一模一样的，
[00:37:19] 现在可以了吗？
[00:37:20] 同学们。
[00:37:21] 这个开头也就给大家过了，
[00:37:23] 然后我们再带着大家讲分论点。
[00:37:27] 好了啊，
[00:37:28] 再带着大家讲分论点。
[00:37:31] 哎呀，
[00:37:32] 这些名言警句让大家背的也不知道大家背的没背好了，
[00:37:36] 大家看故意给大家写了一个比较长的分论点，
[00:37:39] 其实这个分论点呢，
[00:37:40] 你想简单很简单啊。
[00:37:42] 中间把它叉掉也就可以了，
[00:37:44] 中间呢，
[00:37:44] 随便叉掉一个，
[00:37:46] 随便叉掉一个，
[00:37:47] 照样是圆其说啊，
[00:37:48] 加加减减都是正常的，
[00:37:50] 化简为繁，
[00:37:50] 化繁为简。
[00:37:51] 拿到这个分论点，
[00:37:52] 应该怎么论证？
[00:37:54] 哪位同学可以告诉我？
[00:37:55] 就是拿到这种分论点，
[00:37:57] 我脑袋空白了，
[00:37:58] 我这个时候严冬老师站在我身后，
[00:38:01] 应该说什么？
[00:38:02] 哪位同学可以告诉我，
[00:38:04] 你应该想到我们的整个的架构是怎么样的？
[00:38:07] 第一步是名言警句。
[00:38:09] 第二步是影响。
[00:38:11] 第三步是对策或者是举例子。
[00:38:17] 第四步是回扣一下我们的分论点好了，
[00:38:20] 那如果想写一个名言警句的话，
[00:38:23] 写不出来怎么办？
[00:38:25] 写不出来咱们就不写。
[00:38:27] 这个名言警句如果真写不出来的话，
[00:38:30] 我们可以用哪个要素去替换哪位同学，
[00:38:33] 可以告诉我是不是可以用背景？
[00:38:36] 还有一个问题去替换好了，
[00:38:38] 背景有没有一个万能的背景，
[00:38:41] 大家可否给老师想一个万能的话，
[00:38:44] 我们要写背景，
[00:38:45] 请问大家一下是要写什么背景？
[00:38:48] 不就是在写行政执法的背景吗？
[00:38:51] 我们现在行政执法的背景是什么？
[00:38:53] 我们现在行政执法的背景是不是就是新时代执法背景日趋复杂？
[00:38:59] 所以大家给老师一起写下来新时代。
[00:39:02] 想几个关键词就能凑出一篇文章了。
[00:39:06] 新时代执法场景。
[00:39:08] 执法场景。
[00:39:12] 日趋。
[00:39:14] 复杂。
[00:39:18] 日趋复杂好了，
[00:39:20] 然后它会产生是它有什么样的问题？
[00:39:23] 哎，
[00:39:24] 我还真想不出来是它什么样的问题。
[00:39:27] 各位大家，
[00:39:28] 这个时候你的问题一方面可以来源于自己的积累，
[00:39:32] 还有一方面可以来源于什么方面？
[00:39:35] 哪位同学可以告诉我？
[00:39:37] 就问题，
[00:39:38] 一方面可以来源于我们自己的积累，
[00:39:41] 一方面还可以来源于分论点对策当中的反推。
[00:39:46] 大家能够同意吧，
[00:39:47] 大家看你在这里边说的是拥抱数字时代，
[00:39:51] 就是指的呃，
[00:39:52] 这个技术监管就是指的非现场监管。
[00:39:55] 所以我们的问题既然非现场监管，
[00:39:59] 既然技术的监管数字化监管是我们的对策，
[00:40:04] 也就是原来代表我们的问题。
[00:40:07] 是在是什么问题？
[00:40:08] 想一个反义词，
[00:40:09] 现场监管的反义词是不是就是非现管非现场监管的反义词是不是就是现场监管？
[00:40:16] 现场监管，
[00:40:17] 我们再把它稍微变化一下，
[00:40:20] 是不是就是传统的人海？
[00:40:23] 战术啊。
[00:40:25] 是不是就是传统的上门巡查？
[00:40:30] 上门巡查，
[00:40:31] 然后呢？
[00:40:32] 各位那么他们人海战术上门巡查面临的问题是什么意思？
[00:40:38] 是不是对于我们来讲的话，
[00:40:41] 这种模式效率是比较低的？
[00:40:44] 哎呀，
[00:40:44] 你天天要。
[00:40:45] 走来走去，
[00:40:46] 光路上堵车就要耽误很长时间，
[00:40:49] 另外人家企业好好的经营，
[00:40:51] 你天天去那查你对别人的。
[00:40:53] 干扰也很大。
[00:40:55] 好吧，
[00:40:55] 它呢，
[00:40:56] 难以适应治理的需求。
[00:40:59] 难以适应，
[00:41:00] 就是治理的需求，
[00:41:02] 只要你能够想几个词也就可以了，
[00:41:04] 你不一定完全跟我一样，
[00:41:06] 多写了少写了大作文，
[00:41:08] 它不是像小题还要扣大家分数。
[00:41:11] 好吧好了，
[00:41:12] 大家来看一下，
[00:41:13] 这个就是我们的一个。
[00:41:15] 这个就是我们的一个。
[00:41:17] 开头现在这个能看懂吧，
[00:41:20] 这个是在讲一个背景。
[00:41:22] 这个是根据对策反突出来的一个问题，
[00:41:26] 这个也是指的一个问题，
[00:41:29] 大家觉得可以过了吧？
[00:41:31] 当我把这个问题写完了之后，
[00:41:33] 我的妈呀，
[00:41:34] 我没有话了，
[00:41:35] 请问没有话我要写影响的话，
[00:41:37] 大家觉得这个影响应该怎么写？
[00:41:40] 我拿到影响的话，
[00:41:41] 我脑袋空白了，
[00:41:42] 我就一定要写，
[00:41:44] 我要写哪个词的影响吧，
[00:41:46] 大家觉得我们要写哪个词的影响？
[00:41:49] 我要写的这个词的影响是不是就是应该是往前跑的影响，
[00:41:53] 我要写的这个词的影响是不是大概率就是一个创新的影响？
[00:41:58] 是吧，
[00:41:59] 我要写的这个词大概率是就是是不是就是一个就是就是在说一个什么数字化？
[00:42:07] 手段。
[00:42:09] 大家同意吧，
[00:42:10] 数字化手段，
[00:42:11] 数字化手段，
[00:42:12] 各位同学们，
[00:42:14] 他们对谁有影响？
[00:42:15] 就是如果我们能够做到往前跑。
[00:42:18] 如果我们能做到创新，
[00:42:20] 如果我们能够做到数字化手段，
[00:42:23] 对谁有好处？
[00:42:24] 首先，
[00:42:24] 对于我们执法部门是有好处的吧？
[00:42:27] 对于我们执法部门的好处是什么呢？
[00:42:30] 它是不是可以？
[00:42:32] 就是突破。
[00:42:35] 传统监管的边界啊。
[00:42:39] 再想一个词，
[00:42:40] 还有什么词还有打破。
[00:42:43] 路径。
[00:42:46] 依赖啊。
[00:42:48] 还有一个词叫什么词激活监管效能啊？
[00:42:54] 激活。
[00:42:56] 监管。
[00:42:58] 效能啊，
[00:42:58] 大家同意吧，
[00:42:59] 所以这个时候啊，
[00:43:00] 大家不用想的跟我完全一样，
[00:43:02] 你想几个关键词就把它搞出来了，
[00:43:05] 大家看。
[00:43:06] 这是想哪个词？
[00:43:07] 想哪个词？
[00:43:08] 这个词是分论点，
[00:43:10] 这个词是分论点，
[00:43:11] 这个词是分论点，
[00:43:13] 你可以随意组合，
[00:43:15] 不一定跟我一样。
[00:43:16] 然后呢？
[00:43:17] 他有什么印象对我们执法部门有印象，
[00:43:19] 可以让我们突破传统的边界，
[00:43:21] 可以让我们打破路径的依赖，
[00:43:23] 可以让我们激活监管的效能。
[00:43:25] 就把它过了，
[00:43:26] 过了之后，
[00:43:27] 我的妈呀，
[00:43:28] 没有话说了，
[00:43:29] 请问同学们第三步要干什么了？
[00:43:32] 第三步要。
[00:43:33] 写对策或者写例子，
[00:43:35] 我写例子不会写，
[00:43:36] 请问举例子我反复给大家说过，
[00:43:39] 主要怎么举例子包含什么要素？
[00:43:42] 第一个就是在说主体，
[00:43:44] 第二个就是在说对策，
[00:43:46] 第三个就是在说影响同意吗？
[00:43:49] 好了，
[00:43:49] 那我们要找的就是奋力往前跑时候。
[00:43:53] 对应的那个例子，
[00:43:54] 我们带着大家看一看，
[00:43:56] 奋力往前跑的例子是什么？
[00:43:59] 大家来看一下这个例子，
[00:44:01] 从一到二到三是不是奋力往前跑的例子？
[00:44:06] 大家看看，
[00:44:07] 就是顺利往前跑。
[00:44:09] 这个是一直在往前跑，
[00:44:11] 一二三是往前跑到了四五六出了问题，
[00:44:15] 他又想到目标了，
[00:44:16] 所以他的逻辑。
[00:44:17] 也就是这样的了，
[00:44:19] 我问大家一下这个题目，
[00:44:22] 你们从审题它就是在说往前跑，
[00:44:25] 从审题它就是在说。
[00:44:27] 目标你们觉得根据题干，
[00:44:29] 它既然是双主题，
[00:44:31] 所以材料它大概率可以分成几个部分？
[00:44:35] 哪位同学可以告诉我，
[00:44:36] 其实聪明的同学一想，
[00:44:38] 既然是双主题，
[00:44:39] 就跟词曲理解一样，
[00:44:41] 他肯定材料就分成两个部分。
[00:44:44] 那你觉得往前跑，
[00:44:45] 对应的材料大概率是在前面。
[00:44:48] 还是在后面？
[00:44:50] 往前跑，
[00:44:51] 大概率它就是在前面，
[00:44:53] 那么目标大概率是在前面还是在后面？
[00:44:57] 目标大概率是就是在后面。
[00:44:59] 大家现在能够听懂吧？
[00:45:01] 好了，
[00:45:01] 这个时候我就问大家一下，
[00:45:03] 应该怎么把它搞定？
[00:45:05] 这个时候我们的这个例子。
[00:45:08] 大家一起写，
[00:45:09] 就是主体。
[00:45:11] 再加上一个对策。
[00:45:13] 再加上一个影响，
[00:45:15] 一起把它搞定。
[00:45:18] 好了，
[00:45:18] 这个主体请问大家一下是指谁能不能直接给老师写出来？
[00:45:24] 这个主体是指谁？
[00:45:26] 哎，
[00:45:26] 在一二三当中反复出现的这个主体，
[00:45:30] 是不是就是指的意识啊？
[00:45:32] 我们把意识写下来，
[00:45:34] 那么意识。
[00:45:35] 他干了一个什么样的对策，
[00:45:38] 一是我们刚才说的它就是布局数字化监管。
[00:45:43] 率先布局。
[00:45:46] 数字化。
[00:45:49] 监管这个就是对分类点往前跑的一个解释，
[00:45:53] 我为了不跑题，
[00:45:54] 我就反复把所有的可能词写上去，
[00:45:58] 然后接着写对策。
[00:45:59] 写对策怎么写对策？
[00:46:01] 他到底干了什么样的事情？
[00:46:04] 哪位同学可以告诉我？
[00:46:05] 哎呦，
[00:46:06] 我突然发现找动词安装监控设备。
[00:46:09] 那我就直接写他就行了，
[00:46:11] 但是我不想发安装，
[00:46:12] 直接摘抄，
[00:46:13] 我不想让别人说我抄材料，
[00:46:15] 我是改写材料，
[00:46:16] 我可以把安装改写成什么？
[00:46:18] 大家一起写，
[00:46:20] 把安装改写成布设7000余台。
[00:46:25] 监控。
[00:46:27] 设备这个不就有了吗？
[00:46:30] 是吧，
[00:46:30] 好了，
[00:46:31] 那么除了这个还有什么呢？
[00:46:33] 大家看这个里面，
[00:46:35] 它还搞开发了一个监管系统，
[00:46:38] 我们问大家一下，
[00:46:40] 这个监管系统。
[00:46:41] 我们不想用开发这个词，
[00:46:43] 我首先把它写在后面调换了一下顺序，
[00:46:46] 我想把它改一个词，
[00:46:48] 我把开发变成一个搭建平台，
[00:46:50] 大家觉得行吗？
[00:46:51] 搭建。
[00:46:52] ar
[00:46:54] 智能。
[00:46:56] 怎么样？
[00:46:57] 监管系统。
[00:46:59] 你看你这样写，
[00:47:01] 又给它调顺序，
[00:47:04] 又给它。
[00:47:05] 怎么样变换词语，
[00:47:06] 就是蒋方舟来了，
[00:47:08] 他也可以承认他的硕士论文没有抄了是吧？
[00:47:11] 你说蒋方舟这些人，
[00:47:12] 我有时候想想他，
[00:47:14] 他应该给我学习申论，
[00:47:15] 你把这个词改改不就行了吗？
[00:47:17] 你大大的抄干什么呢？
[00:47:19] 是吧，
[00:47:19] 我都都不知道怎么国家给你上那么好的中国人民大学，
[00:47:24] 清华大学，
[00:47:25] 你改个动词，
[00:47:25] 你都不不愿意，
[00:47:27] 你到底图啥呀？
[00:47:28] 是吧？
[00:47:28] 最后变是嗯。
[00:47:29] 别说了，
[00:47:30] 兄弟们，
[00:47:30] 然后再接着带着大家往下走，
[00:47:33] 搭建AI智能监管系统，
[00:47:35] 接着我们大家下还能怎么办？
[00:47:37] 最后，
[00:47:38] 它要产生一个影响，
[00:47:40] 请问大家一下，
[00:47:41] 这个影响应该指的是什么影响？
[00:47:44] 随便给大家看一下，
[00:47:46] 我就随便选一个，
[00:47:48] 就说全天候监控。
[00:47:49] 哎呦，
[00:47:50] 前面写那么长，
[00:47:51] 我讲话中讲话中我写不了那么长，
[00:47:53] 我就直接把它稍微改写一下，
[00:47:55] 怎么改写叫？
[00:47:56] 实现全天候。
[00:48:02] OK，
[00:48:02] 但是我发，
[00:48:03] 我怕别人对我露营打假怎么办？
[00:48:06] 我动前面再选一个词，
[00:48:07] 我肚子里面又没有货，
[00:48:09] 我直接把它再给乱序。
[00:48:11] 远程。
[00:48:13] 监测。
[00:48:17] 大家觉得可以不可以不？
[00:48:20] 可以吗？
[00:48:20] 这样能说我超材料吗？
[00:48:22] 你们就实事求是，
[00:48:23] 站在清华大学那个叫什么举报的那个教教授教授的角度，
[00:48:27] 我就问大家下，
[00:48:28] 你如果讲说中这样写了，
[00:48:30] 能说人家超材料吗？
[00:48:31] 这个不能吧，
[00:48:32] 你你结合一些文献，
[00:48:34] 根据这个文献找出来灵感，
[00:48:36] 这个是没有问题的，
[00:48:37] 对吧？
[00:48:38] 它不是直接摘抄。
[00:48:39] 哎呀，
[00:48:39] 这是非常重要的，
