[00:00:00] 先试一下翻页笔热个场好吧，
[00:27:09] 整体我再给大家说一下，
[00:27:11] 阅卷的时候看到他一定会先看你的标题。
[00:27:14] 再看你的三个分论点，
[00:27:16] 只要你这个三个分论点没有重大偏差，
[00:27:19] 基本上来讲不会低于三六分。
[00:27:21] 有没有同学知道三类文是多少分满分40分，
[00:27:26] 记住了是十分一个档次啊，
[00:27:28] 如果你是三类文的话呢，
[00:27:30] 就确保你已经拿到。
[00:27:32] 11分到20分了，
[00:27:34] 但如果你在这个题目当中全部搞偏了，
[00:27:37] 基本上来讲，
[00:27:38] 后面他不会看了，
[00:27:39] 就给你五到十分或者五分以下就直接over了，
[00:27:42] 那这样的话。
[00:27:43] 就申论考试的分数就会波动很大，
[00:27:46] 千万不要出这种问题，
[00:27:48] 阅卷的时候它不会是一个字一个字往下看，
[00:27:51] 他一定会先看标题再看一下你每一段的段首句，
[00:27:54] 看一下你的分论点。
[00:27:56] 我讲清楚了吗？
[00:27:57] 讲清楚的话，
[00:27:58] 给老师打个一，
[00:28:00] 如果说你的框架没问题，
[00:28:02] 跟你商量完，
[00:28:03] 那么接着。
[00:28:04] 他就看看你能不能拿到二类文，
[00:28:06] 然后呢，
[00:28:06] 如果你的框架错了，
[00:28:08] 他连看都不会看了二类文，
[00:28:10] 他就会扫一下，
[00:28:11] 开头扫一下结尾。
[00:28:12] 现在听懂了吗？
[00:28:13] 然后呢？
[00:28:14] 只有你能开头结尾写的比较好，
[00:28:17] 他才会看你分论点的论证部分，
[00:28:19] 确定你是否能拿到一论文，
[00:28:21] 它是这样一个阅卷的过程好吧？
[00:28:24] 好了，
[00:28:24] 我们再给大家来看一下。
[00:28:27] 大家来看一下，
[00:28:28] 如果你想润色分类点的话，
[00:28:30] 着眼考量说话先导为抓手为纽带为基础为主族为导向，
[00:28:35] 都给你准备好了，
[00:28:36] 我让你背的，
[00:28:37] 你如果不背，
[00:28:38] 我也没有办法啊。
[00:28:40] 包括什么谋突破，
[00:28:42] 求实效，
[00:28:42] 见真章，
[00:28:43] 做引领，
[00:28:44] 做动力，
[00:28:44] 做支撑，
[00:28:45] 啊啊冲锋号决胜股进行曲我都给大家准备好了，
[00:28:49] 你随便用哪一组？
[00:28:51] 但是我们这个时候要带着大家写一下开头，
[00:28:54] 请问大家一下拿到这个题目，
[00:28:56] 我一下子脑袋空白了，
[00:28:58] 写开头我不会写。
[00:28:59] 请问如果写开头不会写的话，
[00:29:01] 你报了别人的班，
[00:29:02] 可能就是你一个人考上考场，
[00:29:04] 自己琢磨报着东哥的课，
[00:29:06] 我会站在你身后，
[00:29:07] 像个大哥哥一样，
[00:29:08] 说哪个数字？
[00:29:09] 是不是四步走第一步要写什么？
[00:29:12] 哪位同学可以告诉我第一步所有的同学一定记住了，
[00:29:16] 要写一个名言警句。
[00:29:18] 然后第二步要写什么？
[00:29:20] 第二步要写一个影响。
[00:29:22] 然后呢，
[00:29:23] 第三步要写一个过渡句，
[00:29:25] 第四步要写一个总论点啊，
[00:29:28] 大家现在能够听懂了吧？
[00:29:30] 好了。
[00:29:31] 请问大家下这个名言警句，
[00:29:33] 我们在考试的时候可以来源于题干。
[00:29:35] 可以来源于那个材料，
[00:29:38] 也可以来源于自身的积累，
[00:29:40] 大家觉得我们这个名言警句大概率来自于哪个地方比较合适？
[00:29:47] 题干当中，
[00:29:47] 既然是对于一句话的理解，
[00:29:49] 我就直接把题干当中这句话直接抄下来也就可以了。
[00:29:53] 好吧，
[00:29:54] 那么这句话。
[00:29:55] 是围绕什么说的，
[00:29:56] 大家刚才看材料，
[00:29:57] 你会发现一直不断的在引入人才，
[00:30:00] 那么他不就是在说。
[00:30:02] 阐述了人才培育。
[00:30:05] 对吧？
[00:30:07] 深刻逻辑吗？
[00:30:09] 人才培育的深刻。
[00:30:12] 逻辑一起把它搞定也就可以了，
[00:30:15] 人才培育的深刻逻辑好了，
[00:30:17] 大家来看一下就给大家搞定了。
[00:30:20] 从这个地方到这个地方，
[00:30:22] 现在大家能看懂吗？
[00:30:24] 我们应当把更多的精力投入在种树上，
[00:30:27] 而非静待成熟再摘果。
[00:30:29] 那么这句话。
[00:30:30] 生动诠释了这一人才培育的这一啊，
[00:30:33] 人才培育的深刻内涵，
[00:30:35] 大家觉得可以吗？
[00:30:36] 好了，
[00:30:37] 那么把这句话放在开头了。
[00:30:39] 然后放在开头，
[00:30:40] 请问大家下这里面有种树，
[00:30:42] 这里面有摘果，
[00:30:44] 像这种加引号的，
[00:30:45] 说的非常形象的，
[00:30:46] 要不要解释了？
[00:30:48] 这是这种题目最特殊的地方，
[00:30:50] 一般的题目是不用解释的，
[00:30:52] 但是只要这种明显是打着比喻是加的引号，
[00:30:56] 我们我就给大家说一下你。
[00:30:58] 一定要在第一段把它解释一下，
[00:31:00] 那有的同学比较聪明，
[00:31:02] 他说老师我不愿意在开头，
[00:31:04] 第一段解释我直接在放在标题当中把它解释。
[00:31:08] 请问大家一下，
[00:31:09] 要不要在标题当中把它解释？
[00:31:12] 哪位同学可以直接告诉我，
[00:31:14] 各位千万不要把它放在标题当中解释，
[00:31:17] 因为你没有那么多字数，
[00:31:18] 另外一个如果你在标题当中把它解释。
[00:31:21] 解释错了，
[00:31:22] 你就整个就崩盘了，
[00:31:24] 现在大家能够听懂了吗？
[00:31:26] 好了，
[00:31:26] 大家看这里面说的是深耕种树之道，
[00:31:29] 不要等到成熟的时候再想着去摘果。
[00:31:32] 就是平常你就应该努力，
[00:31:34] 那么有没有同学能够告诉我什么叫做叫做什么叫做？
[00:31:40] 种树。
[00:31:41] 什么叫做种树？
[00:31:44] 种树只要你说的合情合理也就可以了，
[00:31:48] 种树是深耕。
[00:31:52] 是深耕。
[00:31:55] 细作。
[00:31:56] 的长远布局，
[00:31:57] 你看他对内找大学生，
[00:31:59] 对外也吸引别人，
[00:32:01] 学校里面他还在是一个学生的时候，
[00:32:04] 就通过各种品牌活动拉到我们这个地方，
[00:32:07] 就让他做设计。
[00:32:08] 这个就是一个长远布局。
[00:32:12] 长远布局，
[00:32:13] 一起把它搞定。
[00:32:15] 好了，
[00:32:15] 再接着往下走，
[00:32:17] 大家来看一下摘果是在说什么，
[00:32:20] 哪位同学能够告诉我，
[00:32:22] 摘果是在说什么？
[00:32:24] 哎，
[00:32:24] 而非等到成熟之后再去哎，
[00:32:27] 就是摘果，
[00:32:28] 这个和深耕对应的，
[00:32:30] 它是一个反面。
[00:32:32] 我们如果这个是叫久久为功的话，
[00:32:35] 摘果它就往往叫急功近利吧。
[00:32:38] 提供。
[00:32:40] 急功的功怎么写？
[00:32:42] 急功近利。
[00:32:44] 短期。
[00:32:46] 索取大家能够同意吗？
[00:32:49] 急功近利，
[00:32:50] 短期索取，
[00:32:51] 一起把它搞定。
[00:32:53] 好了，
[00:32:54] 这个也就给大家搞定了啊，
[00:32:56] 大家来看一下我们应该怎么把它搞定，
[00:32:59] 大家看摘果是急功近利的，
[00:33:02] 短期索取种树则是深耕细作的长远布局。
[00:33:05] 现在这句话，
[00:33:06] 大家能够看懂吗？
[00:33:08] 能够看懂的话，
[00:33:09] 给老师打个一，
[00:33:10] 请问大家一下这句话，
[00:33:12] 它的答案是不是唯一的？
[00:33:14] 同学们，
[00:33:15] 能不能告诉我这句话答案是不是唯一的？
[00:33:18] 各位，
[00:33:18] 你会发现这句话不是唯一的吧？
[00:33:21] 那如果在考试的时候，
[00:33:23] 哎呦，
[00:33:23] 我的妈呀，
[00:33:24] 我一下子实在是拿不准了，
[00:33:26] 我觉得。
[00:33:27] 还有其他的词，
[00:33:28] 有没有同学能够告诉我，
[00:33:30] 那么我应该怎么处理哎？
[00:33:32] 就是这个我我真的是搞不定，
[00:33:35] 我觉得这个种树假如说还有其他的词。
[00:33:38] 我就想着种树，
[00:33:39] 人家大学生还在学校的时候，
[00:33:42] 我们就想着让他到我们这边做毕业论文的设计，
[00:33:46] 我就想我觉得这个种树，
[00:33:48] 我就设想到我种树，
[00:33:49] 我可能要。
[00:33:50] 很很久很久之前就要进行一个前置的培育。
[00:33:55] 我很久很久之前还要陪伴着这些大学生进行一个成长，
[00:34:01] 陪伴成长。
[00:34:02] 那么我很久很很久之前，
[00:34:05] 我要想种树，
[00:34:06] 我还要深耕土壤。
[00:34:08] 请问大家下，
[00:34:09] 如果我就特别不要脸，
[00:34:11] 我就把这三个词拿不准，
[00:34:14] 我这个时候应该怎么办？
[00:34:16] 你们告诉我，
[00:34:17] 我是选择要脸就选择他，
[00:34:19] 可能是最正确的那个答案，
[00:34:21] 还是选择不要脸就干脆把这三个词一起写上去。
[00:34:25] 同学们告诉我，
[00:34:27] 一定记住了，
[00:34:28] 全写。
[00:34:29] 啊，
[00:34:29] 一定记住了，
[00:34:30] 全写假如说我还有一个深入调研这个词，
[00:34:34] 哎呀，
[00:34:34] 我也拿不准这个时候是选择要脸还是选择不要脸？
[00:34:39] 同学们认真的琢磨一下，
[00:34:41] 记住了，
[00:34:41] 选择不要脸，
[00:34:42] 大指纹是不限字数的啊，
[00:34:44] 或者它的字数的范围给的比较广，
[00:34:47] 你把它写上去，
[00:34:48] 这个时候蒙也把它蒙中。
[00:34:50] 听懂了吗？
[00:34:51] 蒙也把它蒙蒙中，
[00:34:52] 这个时候就是如果你在行测abcd，
[00:34:55] 它只能选一个，
[00:34:56] 但是申论管它正确错误的都可以填进去，
[00:35:00] 只要不是那种特别违反原则的。
[00:35:02] 都是给分的，
[00:35:03] 我讲清楚了吗？
[00:35:05] 要脸是什么？
[00:35:06] 上岸了才是脸上不了岸就没脸好吧好了。
[00:35:09] 但我再问大家一下，
[00:35:11] 接着我们第三步应该写什么了？
[00:35:14] 哪位同学可以告诉我第三步应该写什么呢？
[00:35:17] 第三步是不是应该写一个影响啊？
[00:35:21] 那么，
[00:35:21] 这个影响大家觉得就是我们吸引人才到我们这个县，
[00:35:26] 它的影响是对于哪个方面有影响？
[00:35:30] 哪位同学可以直接告诉我哎，
[00:35:32] 我就问大家一下，
[00:35:34] 就这个影响，
[00:35:35] 你就告诉我它是对谁有影响，
[00:35:37] 我觉得。
[00:35:38] 最起码这些人才来了，
[00:35:40] 是对我们的经济是有影响的吧？
[00:35:43] 对于经济有影响，
[00:35:44] 我有没有让大家？
[00:35:46] 被一些万能的影响有还是没有？
[00:35:50] 有吧，
[00:35:50] 好了，
[00:35:50] 我们来看一下经济方面的影响，
[00:35:54] 让你背的就是我们深耕种树之道，
[00:35:57] 是推动县域经济健康发展的啊，
[00:36:00] 务实举措是增进人民。
[00:36:02] 民生福祉的必由之路是实现高质量发展的关键路径。
[00:36:06] 我随便做这样一个组合，
[00:36:08] 大家觉得可以不？
[00:36:09] 没有背的同学再给老师打一个汪汪汪好吧，
[00:36:13] 我们深耕种树之道是激活各类要素潜能的强大动力，
[00:36:18] 是加快构建发展。
[00:36:20] 格局的战略支撑更是推动经济发展范式转型的必由之路。
[00:36:25] 没有背的同学再给老师打个猫猫猫。
[00:36:28] 各位，
[00:36:29] 你如果实在记忆力差，
[00:36:30] 我也不难为你了，
[00:36:32] 别说背三组了，
[00:36:33] 你先背个一组行吗？
[00:36:34] 我求求你了好不好？
[00:36:36] 我就求求你了，
[00:36:37] 你每一次就是被这样羞辱。
[00:36:39] 你还不如直接背一组了，
[00:36:42] 就是三句话，
[00:36:43] 一分钟就把它背下来了，
[00:36:45] 好吗好？
[00:36:46] 再接着问大家一下，
[00:36:48] 那么写完了这个影响之后，
[00:36:50] 我们想写一个过渡句，
[00:36:52] 这个过渡句大家背了哪一句名言警句，
[00:36:56] 你总能够给我想一句吧。
[00:36:58] 我看一下，
[00:36:59] 大家想的是哪一句过渡句，
[00:37:01] 你会发现人才的培养，
[00:37:03] 他要求我们深耕，
[00:37:05] 我给大家说过一句话，
[00:37:07] 路漫漫其修远兮，
[00:37:09] 吾将上下。
[00:37:09] 而求索哎，
[00:37:10] 我就用这句话也就可以了，
[00:37:13] 那么接着最后一句话要写什么同学们？
[00:37:17] 最后一句话，
[00:37:18] 请问大家一下要写什么？
[00:37:20] 是不是要写总论点啊？
[00:37:22] 总论点它应该怎么写？
[00:37:24] 是不是就是等于标题啊？
[00:37:26] 标题是什么？
[00:37:27] 标题就是深耕种书之道，
[00:37:29] 谱写摘果新篇。
[00:37:31] 我们给大家一起看一下。
[00:37:34] 这个就是一个标题。
[00:37:35] 深耕种树之道，
[00:37:37] 深耕种树之道，
[00:37:39] 然后谱写摘果新篇接着。
[00:37:42] 就是谱写摘果新篇。
[00:37:46] 哎，
[00:37:46] 我那我问大家一下，
[00:37:48] 你觉得这个总论点的中间我是怎么处理的？
[00:37:53] 这是第一句话，
[00:37:55] 这是第二句话，
[00:37:56] 这是第三句话，
[00:37:57] 请问这三句话是在说什么？
[00:38:00] 哪位同学可以告诉我？
[00:38:02] 这三句话是在说分论点，
[00:38:04] 我就把分论点在这个里面插入进去，
[00:38:08] 变成一个分的对策，
[00:38:09] 然后他能够对于人才好。
[00:38:12] 它能够对于人才和县域好，
[00:38:14] 它能够对于高质量发展好也就可以了，
[00:38:17] 现在这个大家能够看懂的话就给老师打个过，
[00:38:20] 我再来给大家说一下。
[00:38:22] 这个是第一句话是在说名言警句，
[00:38:25] 然后呢？
[00:38:26] 这个是说第二句话，
[00:38:28] 这个特殊是要对它进行一个解释。
[00:38:31] 这个是在说第三句话，
[00:38:33] 是在说一个影响。
[00:38:35] 这个是在说一个第四句话，
[00:38:37] 这个这个是在说过渡句，
[00:38:39] 这个是在说第五句话，
[00:38:41] 这个第五句话就是在说一个总论点。
[00:38:45] 我问大家一下，
[00:38:46] 如果这是二六年的联考的题目，
[00:38:49] 如果你们在考试的时候能够写出这样的一个开头，
[00:38:53] 你们觉得满意还是不满意？
[00:38:55] 哪位同学可以告诉我，
[00:38:57] 就实事求是啊，
[00:38:58] 你不满意就不满意，
[00:39:00] 满意就满意，
[00:39:01] 没关系的，
[00:39:01] 好吧，
[00:39:02] 就是我希望。
[00:39:03] 你满意，
[00:39:03] 这样你对我的课堂也是一个认可，
[00:39:06] 但是我也希望你不满意，
[00:39:07] 你要超越我，
[00:39:08] 所以呢，
[00:39:09] 为了防止大家有不满意的，
[00:39:11] 我又给大家。
[00:39:12] 换了一个开头，
[00:39:13] 大家来看一下这个开头这句话是在说什么？
[00:39:17] 大家看是在说名言警句。
[00:39:19] 好了，
[00:39:20] 这个开头这句话是在干什么？
[00:39:22] 是在说一个解释。
[00:39:25] OK，
[00:39:25] 那么这是第三句话，
[00:39:27] 这句话有没有同学他知道他在说什么？
[00:39:31] 哪位同学可以告诉我？
[00:39:33] 是不是在说一个问题啊？
[00:39:36] 你就把这个问题写上去也就行了，
[00:39:39] 那么第四句话从这个地方到这个地方是在说总论点。
[00:39:44] 这个没有毛病啊，
[00:39:45] 一定把它搞定，
[00:39:46] 有的时候你插入一个问题也就行了，
[00:39:49] 请问这种问题是我们自己想出来的，
[00:39:51] 是我们提前袁东老师给我们押中了。
[00:39:54] 还是从哪里找的哪位同学可以告诉我这种问题，
[00:39:58] 记住我跟你说的话，
[00:40:00] 一般是从材料当中把它找出来。
[00:40:02] 好吧，
[00:40:03] 那么首先材料当中，
[00:40:05] 他可能直接给我们这个问题，
[00:40:07] 那么第二个的话呢，
[00:40:09] 材料当中呢，
[00:40:10] 他有可能说我们作为一个。
[00:40:12] 先进典型做了对策，
[00:40:14] 这个对策就是给大家搭建的平台，
[00:40:17] 这个对策就是给大家提供了资金。
[00:40:20] 那我问大家一下，
[00:40:22] 这是我们先进的，
[00:40:23] 能不能根据先进的推出那些后落后的？
[00:40:27] 能吗能吗？
[00:40:28] 这是一个思路，
[00:40:30] 你就跟着，
[00:40:31] 那就证明我们大部分地方是没有平台的，
[00:40:34] 也就证明我们大部分地方是缺少资金的。
[00:40:38] 这就是它的个性化的来源，
[00:40:40] 记住个性化这一块一定要是结合材料，
[00:40:44] 但是前提你把这个基础的框架打好，
[00:40:47] 然后你再个性化，
[00:40:48] 我觉得就很快。
[00:40:49] 也会非常的出彩，
[00:40:51] 好了，
[00:40:52] 大家再来看一下这一个我们是怎么给大家搞定的？
[00:40:57] 哪位同学可以告诉我好了，
[00:41:00] 我们老师说要写名言警句，
[00:41:02] 第二步要解释。
[00:41:04] 第三步要写影响。
[00:41:06] 第四步要写什么？
[00:41:08] 第四步要写过渡句，
[00:41:09] 第五步要写什么？
[00:41:11] 第五步要写总论点，
[00:41:12] 我又给大家写了一个开头。
[00:41:15] 这个是名言警句。
[00:41:16] 那么，
[00:41:17] 从这个地方到这个地方是解释。
[00:41:21] 从这个地方到这个地方。
[00:41:25] 请问大家一下是在说什么？
[00:41:28] 这个地方是在说什么？
[00:41:30] 是不是就加了一个背景句啊？
[00:41:33] 然后呢？
[00:41:33] 或者加了加了一个那种非常宏观的对策，
[00:41:37] 最后一个加什么，
[00:41:39] 最后一个直接上总论点。
[00:41:41] 有的同学说，
[00:41:42] 老师，
[00:41:43] 我如果在考试的时候没有被影响，
[00:41:45] 我是不是就没有办法写开头了？
[00:41:47] 没关系，
[00:41:48] 影响有的时候不写也行。
[00:41:50] 或者我能不能再把影响换成背景？
[00:41:54] 我能不能把影响换成成绩？
[00:41:56] 我能不能把影响换成问题？
[00:41:59] 这些大家都是随意去替换的，
[00:42:01] 没有问题的好吧，
[00:42:02] 就是这种开头的话呢，
[00:42:04] 你其实可以做到无比的个性化。
[00:42:07] 大家觉得可以过的话，
[00:42:09] 就给老师打个过，
[00:42:10] 给你讲了三个开头，
[00:42:12] 你中间不写影响，
[00:42:13] 其实也能够形成一个开头，
[00:42:15] 没有问题好吧，
[00:42:17] 无定法，
[00:42:17] 但是。
[00:42:18] 你不要因为我跟你说了文物定法之后，
[00:42:21] 现在就乱了，
[00:42:22] 现在大家先规规矩矩的就是。
[00:42:25] 理解我。
[00:42:26] 行不行？
[00:42:27] 你现在先规规矩矩的理解我，
[00:42:31] 然后再慢慢的成为我。
[00:42:34] 然后你再慢慢的超越我行不行？
[00:42:38] 最后你要干什么？
[00:42:40] 同学们，
[00:42:41] 最后你要狠狠的就是鄙视我。
[00:42:45] 好吧，
[00:42:45] 鄙视我那么，
[00:42:46] 但是你总不能到鄙视结束，
[00:42:49] 最后你上岸了，
[00:42:50] 你要干什么？
[00:42:51] 你要狠狠的就是。
[00:42:53] 感谢我大家觉得可以不可以的话，
[00:42:56] 给老师打个一这学士论的话呢，
[00:42:58] 它就是这样一个过程。
[00:43:00] 凡是那些在哎，
[00:43:01] 到处说说袁董老师，
[00:43:03] 他就上大促印，
[00:43:04] 就给俺交个模板哦，
[00:43:06] 我跟你说一下，
[00:43:07] 这种学生一辈子就没出息，
[00:43:09] 自己本身就是个学渣，
[00:43:11] 不好好学习。
[00:43:12] 然后呢？
[00:43:13] 就在那边带着老师往死里边骂俺，
[00:43:15] 每节课俺都给你讲个性化，
[00:43:17] 你你非要这样说俺，
[00:43:19] 俺也没有办法是吧？
[00:43:20] 眼佛的眼里只有佛，
[00:43:22] 那么那个什么的眼里只有什么是吧什么的眼里边。
[00:43:25] 就只有什么你的眼里面都是张老师，
[00:43:28] 那你说你是什么呢？
[00:43:29] 是不是你就天天骂俺？
[00:43:31] 但是我一直都在夸你，
[00:43:33] 对不对？
[00:43:33] 同学们好了。
[00:43:34] 接下来，
[00:43:35] 我们要给大家做分论点的论证，
[00:43:37] 请问大家下大家拿到这个分论点的时候有没有有一点小小的崩溃的感觉？
[00:43:44] 你们的大脑有没有像？
[00:43:46] 这张PPT一样，
[00:43:47] 有一点点空白的感觉，
[00:43:49] 哪位同学可以告诉我，
[00:43:51] 哎，
[00:43:51] 你的大脑有没有像这张PPT一样有一点空白的感觉有吧？
[00:43:56] 如果是有一点空白的感觉，
[00:43:58] 记住东哥跟你说的话，
[00:44:00] 第一步应该写什么？
[00:44:02] 第一步东哥说了写名言警句，
[00:44:04] 第二步东哥说了。
[00:44:06] 写影响第三步，
[00:44:08] 东哥说了写对策。
[00:44:10] 既可以有规范的对策，
[00:44:12] 也可以用例子。
[00:44:14] 第四步，
[00:44:14] 东哥说了首尾。
[00:44:16] 呼应哎呀，
[00:44:17] 好了，
[00:44:17] 我们来看看到底能不能把它搞定，
[00:44:20] 当然你在这个基础上可以进行一个随意的改装。
[00:44:24] 请问大家下这个题目写名言警句，
[00:44:27] 转变人才观念，
[00:44:29] 你能够想到是哪个名言警句吗？
[00:44:32] 各位，
[00:44:32] 我不管你们怎么报，
[00:44:34] 反正我是想不到的，
[00:44:35] 我也不怕丢人了啊，
[00:44:37] 那我想不到的话，
[00:44:38] 我应该怎么办呢？
[00:44:39] 请问同学们，
[00:44:41] 我想不到的话，
[00:44:42] 我应该怎么办呢？
[00:44:44] 我可以用背景去代替。
[00:44:46] 我应该用背景去代替好了，
[00:44:49] 请问大家一下，
[00:44:50] 这个背景是在说什么样的背景？
[00:44:53] 大家能不能告诉我？
[00:44:55] 这个背景是不是在说人才观念的背景啊？
[00:45:00] 那么。
[00:45:01] 现在我们这个典型的先进县，
[00:45:04] 用的是转变后的人才观念，
[00:45:06] 那我们这个背景就是对于我们。
[00:45:09] 绝大多数的背景，
[00:45:11] 你觉得这个背景它大概率是消极的还是积极的？
[00:45:15] 既然它需要我们转变人才观念或者。
[00:45:18] 我也可以根据，
[00:45:19] 既然需要转变人才观念，
[00:45:21] 它代表我们现在存在一定的问题，
[00:45:24] 对吧？
[00:45:25] 那只有我们这个县。
[00:45:27] 转变了人才观念，
[00:45:28] 他作为典型都上了申论了，
[00:45:30] 就证明其他的县他还存在问题吧？
[00:45:33] 好了，
[00:45:33] 要写背景的时候可以写一句万能的话。
[00:45:37] 大家一起想长期以来。
[00:45:39] 一起把它写下来。
[00:45:41] 好了，
[00:45:42] 问大家一下，
[00:45:43] 这个时候你既然这个线能够转变人才，
[00:45:47] 也就是代表其他的线，
[00:45:49] 它这种观念是不行的，
[00:45:51] 大家一起想。
[00:45:52] 部分县域。
[00:45:54] 部分县域，
[00:45:55] 你看这不就是一个对比式的写法吗？
[00:45:58] 部分县域，
[00:45:59] 你这个县是典型已经转变了人才观念。
[00:46:03] 然后呢，
[00:46:04] 能够学会引进人才，
[00:46:05] 能够学会叫什么种树，
[00:46:07] 其他的县，
[00:46:08] 请问大家一下是在干什么？
[00:46:11] 你这个线是先进的线，
[00:46:13] 是在能够做到种树，
[00:46:15] 那其他的线大概率是在干什么？
[00:46:18] 是不是就是在摘果啊？
[00:46:20] 奉行。
[00:46:22] 我们如果怕摘果的话。
[00:46:25] 哎，
[00:46:25] 你就直接把摘果写下来，
[00:46:28] 这不又扣紧的题目吗？
[00:46:30] 如果不想用摘果的话，
[00:46:32] 能不能替换奉行我把摘果？
[00:46:34] 写成一个拿来主义，
[00:46:36] 大家觉得可以吗？
[00:46:38] 你看这不就出来了吗？
[00:46:40] 好了，
[00:46:40] 我问大家一下，
[00:46:41] 这个时候他们摘果是怎么摘果？
[00:46:44] 是不是一味？
[00:46:47] 乙他不能去绑架吧，
[00:46:49] 也不能去抢劫吧。
[00:46:51] 一位爷高薪，
[00:46:53] 还有一个编制。
[00:46:56] 干什么争抢？
[00:47:00] 成熟人才。
[00:47:02] 增强。
[00:47:04] 成熟。
[00:47:06] 人才那么这个时候。
[00:47:10] 存在什么问题？
[00:47:12] 却常陷入。
[00:47:15] 这句话大家可以写，
[00:47:17] 也可以不写，
[00:47:18] 我给你加一句，
[00:47:20] 却长线入引得来。
[00:47:22] 引得来。
[00:47:24] 还有一个是留不住。
[00:47:28] 留不住。
[00:47:31] 用不好。
[00:47:34] 的困境，
[00:47:36] 大家觉得可以不？
[00:47:39] 大家觉得可以不？
[00:47:40] 这个我就把影响写完了，
[00:47:42] 背景也写完了，
[00:47:44] 那么哎，
[00:47:44] 写到影响的时候我不会写了，
[00:47:47] 请问大家一下不写行不行？
[00:47:49] 我觉得不写也是没有问题的，
[00:47:51] 那么如果我要写的话，
[00:47:53] 转变人才观念，
[00:47:54] 对经济方面的影响，
[00:47:55] 我就用那个模板的三句话加进去可以不也是可以的。
[00:47:59] 下面我想写对策，
[00:48:01] 但是这个对策俺不知道怎么写，
[00:48:04] 请问我可以举例子吧？
[00:48:06] 举例子应该怎么举？
[00:48:07] 举例子最重要的要素是在说什么？
[00:48:10] 有哪个同学可以告诉我？
[00:48:13] 举例子最重要的要素是在说对主体。
[00:48:16] 加对策，
[00:48:17] 再加上一个影响吧。
[00:48:19] 记住了哈，
[00:48:20] 这个不管，
[00:48:21] 你说宏观的对策，
[00:48:22] 规范的表述，
[00:48:23] 还是举例子，
[00:48:24] 它基本上都是用主体加对策加影响，
[00:48:27] 那我就看看转变人才观念，
[00:48:29] 在材料当中哪一些材料？
[00:48:31] 可以用血转变人才观念，
[00:48:34] 大家别着急。
[00:48:35] 好了，
[00:48:35] 大家看在材料当中转变人才观念，
[00:48:39] 是在这个地方出现的。
[00:48:41] 那么哪个地方能够体现它转变人才观念？
[00:48:46] 哎呦，
[00:48:46] 我的妈呀，
[00:48:47] 你会发现在这个地方。
[00:48:49] 在这个地方就是前面。
[00:48:53] 前移。
[00:48:55] 我问大家一下，
[00:48:57] 这一句话算不算是转变人才观念的一个对策？
[00:49:02] 能不能去解释转变人才观念，
[00:49:05] 我觉得能吧，
[00:49:07] 所以大家一起写主体加对策。
[00:49:10] 加影响，
[00:49:10] 但是我觉得前面的这个表述呢，
[00:49:13] 它明显不是一个它明显不是一个就是例子，
[00:49:17] 它是一个相对规范的表述。
[00:49:20] 这就需要线距大家一起写n线。
[00:49:23] 海应县。
[00:49:25] 那么我要加一句废话。
[00:49:27] 转变嘛，
[00:49:27] 转变人才观念就是其我们刚才说的，
[00:49:31] 其他的县都那样做，
[00:49:32] 但是我们n县却这样做，
[00:49:34] 我就可以写n县。
[00:49:36] 主动打破。
[00:49:38] 主动打破。
[00:49:40] 路径依赖。
[00:49:43] 主动打破路径依赖。
[00:49:48] OK，
[00:49:48] 然后呢？
[00:49:49] 转变人才观，
[00:49:50] 我不要直接抄材料，
[00:49:52] 我可以把转变人才观前面加一个形容词。
[00:49:56] 加一点废话深刻。
[00:50:00] 转变。
[00:50:02] 人才观一起把它搞定。
[00:50:05] 好了，
[00:50:06] 下面招财引智的目标也叫前移，
[00:50:09] 所以大家一起写下来将。
[00:50:13] 招财。
[00:50:16] 引至。
[00:50:19] 目标。
[00:50:22] 前移。
[00:50:24] 一起把它搞定啊，
[00:50:26] 前移好了，
[00:50:27] 接着它会产生一个什么样的影响，
[00:50:30] 哪位同学可以告诉我？
[00:50:32] 它产生的影响是不是就是赋能其起航，
[00:50:35] 伴随其成长啊，
[00:50:36] 我就直接把这个规范的表述暂时抄下来，
[00:50:39] 但是我抄的时候不要原词原句，
[00:50:42] 尽量加点小废话，
[00:50:43] 让它变得不一样。
[00:50:44] 大家一起想坚持。
[00:50:48] 赋能其。
[00:50:50] 坚持。
[00:50:52] 赋能各位，
[00:50:53] 它这里面说的是一个奇，
[00:50:55] 我可以把这个奇改成谁改成青年人，
[00:50:59] 青年人也可以写成青年。
[00:51:02] 你看就是把材料进行一个重新的组装起航。
[00:51:06] 大家把起航给老师一起打下来。
[00:51:09] 好了，
[00:51:10] 完了之后，
[00:51:11] 伴随其成长，
[00:51:13] 所以大家一起写伴随。
[00:51:17] 其成长。
[00:51:21] 一起把它搞定啊，
[00:51:22] 伴随其成长好了也就可以了，
[00:51:24] 那么大家看这是材料当中给我们规范的表述，
[00:51:28] 但是后面还有一个例子。
[00:51:30] 我问大家一下，
[00:51:32] 这个例子我们可不可以把它再改写？
[00:51:34] 就是我跟大家说说对策的时候，
[00:51:37] 你即可以用这种规范的表述。
[00:51:39] 还可以用例子，
[00:51:41] 那么我能不能把后面的这个一五年的例子，
[00:51:46] 就是说它就是转变人才观念的例子。
