[00:00:00] 好好吧。
[00:29:09] 只是他比前面学校里面那些小孩儿。
[00:29:12] 午休的小孩记住侧弯的小孩学生，
[00:29:15] 他肯定年龄要大一些了是吧？
[00:29:18] 同学们，
[00:29:18] 这个如果前面的这些青少年是小灯的话。
[00:29:22] 这个30岁，
[00:29:23] 你们觉得算什么灯？
[00:29:25] 各位至少应该算是中灯了好了。
[00:29:29] 这个中登，
[00:29:30] 请问心理援助热线是小切口的对策，
[00:29:34] 还是大健康的对策？
[00:29:37] 哪位同学可以告诉我，
[00:29:39] 就是心理援助热线是小切口的对策，
[00:29:42] 还是大健康的对策？
[00:29:44] 大概率是应该小切口的对策吧，
[00:29:47] 它只有一件事情，
[00:29:48] 只做了这一件事情好了，
[00:29:50] 再带着大家往下走。
[00:29:52] 那么，
[00:29:52] 大家来看一下啊，
[00:29:54] 就是就是社区组织的正念课程，
[00:29:58] 你觉得正念课程它是一个小切口的对策。
[00:30:03] 还是一个大健康的对策，
[00:30:05] 你们抓紧时间告诉我，
[00:30:07] 那么我觉得是小切口的对策吧，
[00:30:10] 大家看浙江从预防与干预两端发力。
[00:30:13] 构建全场景心理支持体系，
[00:30:16] 推动社会那么覆盖我们城乡社区，
[00:30:19] 提供正念训练团队辅导。
[00:30:22] 请问大家下最后的这一段属于小切口的对策，
[00:30:26] 还是属于大健康的对策？
[00:30:29] 哪位同学可以告诉我？
[00:30:30] 属于小切口的对策还是大健康的对策？
[00:30:34] 是不是属于大健康的一个对策？
[00:30:37] 哎，
[00:30:37] 属于大健康的对策。
[00:30:39] 好了，
[00:30:40] 再接着给大家往下走。
[00:30:42] 大家来看一下材料四应该怎么办？
[00:30:45] 材料四的话呢？
[00:30:47] 我们来看一下啊，
[00:30:49] 应该怎么办？
[00:30:50] OK？
[00:30:50] 大家看一下材料，
[00:30:52] 四材料四，
[00:30:53] 请问大家一下，
[00:30:54] 我们刚才通过呃那个小题材料是是在说其中管理。
[00:30:59] 那么，
[00:30:59] 他到底是怎么做集中管理的？
[00:31:02] 刚才那个小题当中有没有给大家说？
[00:31:05] 我问大家一下有没有说刚才小题当中？
[00:31:08] 是不是就说了什么东西？
[00:31:11] 刚才小题当中给我们提出了一个小程序，
[00:31:15] 听懂了吗？
[00:31:16] 好好的听课啊，
[00:31:18] 别在评论区叨叨叨啊，
[00:31:20] 就是一会又批改，
[00:31:21] 一会又批改。
[00:31:23] 行吧，
[00:31:23] 批改就是就是十块钱，
[00:31:25] 你要不想要就不想要没关系，
[00:31:28] 你买了之后再退给批改的钱也行好吗？
[00:31:31] 同学们。
[00:31:32] 好吧，
[00:31:32] 另外一个别想着什么代批改，
[00:31:34] 我这边AR批改，
[00:31:35] 只要今年我再发现谁代批改，
[00:31:37] 我直接给你封号，
[00:31:39] 而且我不给你退款，
[00:31:40] 你以为东哥黑吃黑东东，
[00:31:42] 哥能允许自己？
[00:31:43] 破产啊，
[00:31:44] 想得倒美好吧，
[00:31:45] 你认真的听课，
[00:31:46] 想什么呢？
[00:31:47] 你现在这节课你花了钱了，
[00:31:49] 你不听，
[00:31:50] 你在那边又想着怎么省钱？
[00:31:52] 你说你，
[00:31:52] 你这不是好傻吗？
[00:31:54] 同学们好吧，
[00:31:55] 好了，
[00:31:55] 我们再带着大家一起往下走，
[00:31:58] 认真的搞好吗？
[00:31:59] 认真的听课。
[00:32:00] 我问大家下小程序，
[00:32:02] 它属于小切口还是属于大健康？
[00:32:06] 哪位同学可以告诉我？
[00:32:08] 小程序，
[00:32:09] 它是属于小切口还是大健康？
[00:32:11] 它是属于小切口吧？
[00:32:12] 这都是二六年的新题，
[00:32:14] 你不听的话，
[00:32:15] 你这个多亏啊，
[00:32:16] 兄弟啊，
[00:32:17] 这些都是花了钱的，
[00:32:18] 一节课一块多钱呢。
[00:32:20] 好了，
[00:32:20] 再接着来看一下小程序也就不管了，
[00:32:24] 那么下面第五个同学们告诉我第五个。
[00:32:28] 哎，
[00:32:28] 我们会发现主体是指的赵大伯，
[00:32:31] 然后呢，
[00:32:32] 对策我们给对策搞了一个诊疗车，
[00:32:35] 开到他家门口。
[00:32:37] 请问大家一下，
[00:32:38] 诊疗车开到家门口，
[00:32:40] 属于小切口的对策，
[00:32:42] 还是属于大健康的对策？
[00:32:44] 同学们认真的琢磨一下，
[00:32:46] 是不是属于小切口的对策好了，
[00:32:49] 再带着大家往下走，
[00:32:51] 随便看啊，
[00:32:51] 随便带着大家看。
[00:32:53] 大家来看一下，
[00:32:54] 下面最后的尾段，
[00:32:56] 我就带着大家粗读，
[00:32:58] 请问你看到这一个，
[00:33:00] 你觉得它是在说小切口还是在说大对策？
[00:33:04] 小切口就是具体的一个对策，
[00:33:06] 大健康它是具体的说的是宏观的对策，
[00:33:10] 是一个面的对策，
[00:33:11] 我觉得它属于大健康的对策，
[00:33:14] 你看。
[00:33:14] 覆盖了这么多的，
[00:33:16] 它肯定不是具体的一个小的对策，
[00:33:19] 而是一个面的对策，
[00:33:20] 好了再带着大家来看一下下面。
[00:33:23] 大家来看一下材料，
[00:33:25] 六材料六他给我们搞了一个健康。
[00:33:28] 中心，
[00:33:29] 你觉得它算是小切口，
[00:33:31] 还是算是一个大对策？
[00:33:33] 各位小切口吧，
[00:33:34] 然后呢，
[00:33:35] 他又给我们搞了一个，
[00:33:37] 那么这种。
[00:33:38] 呃，
[00:33:39] 什么呢？
[00:33:39] 呃，
[00:33:40] 这种一个管理平台，
[00:33:41] 然后呢？
[00:33:42] 能够联动这么多东西，
[00:33:44] 大家觉得这个是属于小切口的一个点的对策，
[00:33:49] 还是属于一个大健康面的对策？
[00:33:52] 那我觉得它属于大健康面的对策，
[00:33:54] 大家现在能够听懂了吧？
[00:33:56] 好了，
[00:33:57] 一起把它搞定啊，
[00:33:58] 好了，
[00:33:59] 我们再带着大家往下走。
[00:34:02] 下面我问大家一下。
[00:34:04] 这个标题能够看懂吧？
[00:34:06] 这个标题就是我之前给大家说的叫a与b。
[00:34:11] 双向奔赴，
[00:34:12] 共创未来。
[00:34:13] 你把a和b给我填进去也就行了，
[00:34:16] 那么a主要填的是什么？
[00:34:19] a对b的影响？
[00:34:20] 然后呢b对a的影响a和b良性互动，
[00:34:25] 那么啊，
[00:34:25] 对于c的影响也就可以了。
[00:34:28] 好吧，
[00:34:29] 至于这句话，
[00:34:30] 有或者没有都是可以的，
[00:34:31] 大家不一定跟我一样，
[00:34:33] 如果你和怕和别人重复，
[00:34:35] 那你可以把这句话写上去，
[00:34:37] 如果你真的就没写，
[00:34:38] 也不会影响的。
[00:34:39] 大家这个股价架构能够听懂吗？
[00:34:42] 这个股价架构能够听懂吗？
[00:34:45] 就是这里面小切口与大健康，
[00:34:48] 它是代表两种对策。
[00:34:49] 这是一个小的对策，
[00:34:51] 这是一个大的对策，
[00:34:52] 我们要找出小切口的对策和大健康的对策进行论证，
[00:34:56] 好了再带着大家一起往下走。
[00:34:59] 大家来看一下，
[00:35:00] 拿到这个开头，
[00:35:01] 觉得脑袋空白不脑袋空白的话，
[00:35:04] 应该在考场上袁东老师站在你身后像个大哥哥一样说。
[00:35:08] 说什么同学们可以告诉我哎，
[00:35:11] 说一个四第一个大家一起写名言警句，
[00:35:15] 第二个大家一起写影响。
[00:35:17] 第三个，
[00:35:18] 大家一起写叫什么？
[00:35:20] 哪位同学可以告诉我？
[00:35:22] 第三个，
[00:35:22] 大家一起写叫过渡句。
[00:35:24] 第四个，
[00:35:25] 大家一起写叫。
[00:35:26] 总论点好吧，
[00:35:28] 大家一起叫叫总论点这个名言警句，
[00:35:31] 请问大家下我这个时候。
[00:35:33] 整个材料当中有没有关于小健康和大健康的小切口和大健康的这句话没有，
[00:35:40] 所以如果题干和材料当中没有关于小切口和大健康的。
[00:35:45] 这句话我应该怎么办？
[00:35:47] 哪位同学可以告诉我，
[00:35:49] 这个时候我可以把这个名言警句前面加一个。
[00:35:53] 背景剧。
[00:35:55] 可以加一个背景句，
[00:35:56] 这个背景小切口和大健康，
[00:35:59] 你会发现都是围绕我们每个人的身心健康去做的，
[00:36:03] 所以这个背景句很容易。
[00:36:06] 你就直接编一句也就行了，
[00:36:09] 编这一句叫健康。
[00:36:11] 中国。
[00:36:14] 战略的宏大蓝图下。
[00:36:17] 战略的。
[00:36:20] 宏大蓝图下。
[00:36:23] 宏大。
[00:36:26] 蓝图像。
[00:36:28] 一起把它搞定好了，
[00:36:29] 这个时候我问大家一下，
[00:36:31] 我们能不能把题干当中的小健康和啊小切口和大健康插入进去呢？
[00:36:37] 当然是可以的，
[00:36:38] 你看我是怎么插入进去的？
[00:36:40] 大家看我就只加了这一句话，
[00:36:43] 剩下的我就把题干当中的小小切口，
[00:36:46] 大健康，
[00:36:47] 我的为了防止我跑题，
[00:36:49] 我还是把它给我。
[00:36:50] 拆塞到这里边来，
[00:36:52] 大家觉得可以不？
[00:36:53] 我只是加了一个浙江，
[00:36:55] 你们觉得这样处理完美不？
[00:36:57] 你看啊。
[00:36:58] 我们名言警句材料当中的小切口和大健康，
[00:37:01] 它并不是完整的一句话，
[00:37:03] 所以我给它加了一个背景句。
[00:37:06] 然后我又给他加了一个主体，
[00:37:08] 然后我把小切口和大健康就塞进来了，
[00:37:11] 然后呢，
[00:37:12] 把辩证也塞进来了，
[00:37:13] 就是造成了一句话。
[00:37:15] 行吧，
[00:37:16] 那么做完这句话之后，
[00:37:18] 我问大家一下，
[00:37:19] 在这个题目当中，
[00:37:21] 小切口还有一个大健康。
[00:37:23] 需不需要解释？
[00:37:24] 你们觉得需不需要解释啊？
[00:37:26] 就别人能够看懂小切口是什么吗？
[00:37:29] 别人能够看懂大健康是什么吗？
[00:37:32] 别人是看不懂的，
[00:37:33] 这个小切口，
[00:37:34] 我们刚才已经非常明白了，
[00:37:37] 他是在说什么？
[00:37:38] 他是在说一个举措。
[00:37:40] 这个举措是小的举措还是大的举措？
[00:37:44] 你们告诉我，
[00:37:45] 这个举措是小的举措吧？
[00:37:48] 然后呢？
[00:37:48] 这个大健康是小的举措还是大的举措？
[00:37:52] 它应该是大的举措，
[00:37:54] 或者是一个大的结果吧，
[00:37:56] 这个都是可以的吧？
[00:37:58] 好了，
[00:37:58] 但是我并没有一个很好的词，
[00:38:01] 能够把这个小切口和大健康给写出来的话，
[00:38:05] 这个时候如果我怕我写错了的话。
[00:38:08] 请问我能不能用举例子的方式，
[00:38:11] 就是把我的保险再给上一个保险就保就保证我不跑题，
[00:38:16] 比如说我刚才你不是跟我说了吗？
[00:38:20] 小切口有一个脊柱的筛查，
[00:38:22] 这算不算是一个小切口？
[00:38:25] 脊柱筛查算不算是小切口算吧，
[00:38:27] 还有一个哎，
[00:38:28] 就是我是一个中年男人，
[00:38:30] 然后呢，
[00:38:30] 我失恋了，
[00:38:31] 然后呢，
[00:38:32] 我婚恋有压力，
[00:38:33] 然后呢，
[00:38:33] 我不能够理解这个世界，
[00:38:35] 不能够理解我的领导，
[00:38:37] 不能够理解我的亲人。
[00:38:38] 你给我干的那个心理疏导算不算是小切口也算吧？
[00:38:44] 好了，
[00:38:44] 还有什么还有现在体重管理。
[00:38:47] 其中管理就是你给我搞了一个小程序的，
[00:38:51] 其中管理算不算是一个就是小切口都是算的吗？
[00:38:56] 好了，
[00:38:57] 那我问大家下，
[00:38:58] 就是我们这个大健康就是刚才对对青年针对青少年，
[00:39:03] 还有针对30岁的中登是吧？
[00:39:06] 啊，
[00:39:06] 这些都是的，
[00:39:07] 还有的话呢，
[00:39:08] 就是我们涉及到不同的部门全领域。
[00:39:12] 是吧，
[00:39:12] 它本质上来讲就是一个系统性的治理，
[00:39:18] 治理手段。
[00:39:19] 治理格局也就可以了，
[00:39:22] 大家来看一下啊，
[00:39:23] 怎么样去把它搞定？
[00:39:26] 大家看大家看一下怎么搞定？
[00:39:28] 这个是一个小切口，
[00:39:29] 我要把它解释一下，
[00:39:31] 这个是一个大健康，
[00:39:33] 我要把它解释一下。
[00:39:34] 但是小切口和大健康，
[00:39:36] 我怕我把它搞错了，
[00:39:38] 应该怎么办？
[00:39:39] 这个时候我有一个处理技巧，
[00:39:42] 因为在考试的时候。
[00:39:44] 这个材料当中没有原词原句，
[00:39:47] 所以我尽量的举材料当中的例子，
[00:39:50] 这是不是小切口？
[00:39:51] 这是不是刚才我们做的小切口，
[00:39:54] 这个题中管理就那个小程序，
[00:39:56] 是不是小切口，
[00:39:57] 这是等具体民生痛点的精准举措，
[00:40:00] 你看这个举措是原话，
[00:40:02] 我就不用管了。
[00:40:03] 那么大健康呢，
[00:40:05] 各位，
[00:40:05] 你会发现有青少年学生，
[00:40:07] 还有青年，
[00:40:08] 然后他就叫全人群好吧，
[00:40:10] 另外一个呢，
[00:40:12] 我们是还有老年人给你搞一个什么医疗车？
[00:40:16] 这不就叫全人群吗？
[00:40:17] 还有全周期，
[00:40:18] 哎呀，
[00:40:18] 从小到大，
[00:40:19] 他老还有一个涉及到不同部门，
[00:40:22] 搞成了一个健康治理的格局。
[00:40:24] 现在大家觉得这个可以过的，
[00:40:26] 就给老师打个过，
[00:40:27] 你这个答案不一定跟我一样，
[00:40:29] 我这是只是给大家说的一个技巧，
[00:40:31] 也就是在考试的时候。
[00:40:33] 有的时候他给我们两个词，
[00:40:35] 如果他就近有原则哎，
[00:40:37] 就近原则能够找到它规范的表述，
[00:40:40] 我们就直接用。
[00:40:41] 但是如果真的找不到的话，
[00:40:43] 我又怕我解释的不对，
[00:40:45] 我就把这几个例子哎，
[00:40:47] 随便找几个词给我塞进去，
[00:40:49] 这样的话能够最大程度的给我们上一个保险。
[00:40:53] 防止我们跑题现在清晰了吧？
[00:40:56] 好了，
[00:40:56] 请问大家下就是写完了名言警句。
[00:41:00] 之后应该怎么办？
[00:41:01] 要加一个影响了，
[00:41:03] 这个影响我当然没有被关于，
[00:41:06] 就是医疗健康方面的影响，
[00:41:08] 但是我可以用哪个方面的影响？
[00:41:11] 我可以写哪个词的影响，
[00:41:14] 这个词想都不用想，
[00:41:15] 肯定就是小切口和大健康，
[00:41:18] 我可以用政治，
[00:41:19] 我可以用民生领域的影响吗？
[00:41:22] 好了，
[00:41:23] 我来给大家看一下政治民生领域，
[00:41:26] 就是我要写的是小切口和大健康的辩证关系的影响。
[00:41:30] 它对于民生方面有这么多的影响，
[00:41:33] 大家觉得可以不？
[00:41:34] 这个时候我让大家背的，
[00:41:36] 如果背了的话，
[00:41:37] 打个背没有背的，
[00:41:38] 打个方方方我看一下有多少同学。
[00:41:41] 小切口，
[00:41:41] 大健康，
[00:41:42] 你看多么好啊，
[00:41:43] 完全都可以用好吧，
[00:41:45] 你看这个上的课越多也就越背了。
[00:41:48] 下面我问大家下应该怎么办？
[00:41:51] 哪位同学可以告诉我下面就是我们要写一个过渡句，
[00:41:55] 这个过渡句。
[00:41:57] 请问大家下应该怎么写？
[00:41:59] 哪位同学可以告诉我这个过渡句？
[00:42:01] 你背一句名言警句塞进去也就可以了，
[00:42:04] 这个名言警句我们也给大家塞进来了。
[00:42:07] 日日行不怕，
[00:42:08] 千万里常常做。
[00:42:10] 不怕千万事，
[00:42:11] 这也是我们就是哎，
[00:42:12] 这个课程的一个精精要的地方吧，
[00:42:15] 我们就是带着大家在学申论的过程当中。
[00:42:19] 日日行不怕，
[00:42:19] 千万里常常做。
[00:42:20] 不怕千万事，
[00:42:21] 争取带着你听100次课，
[00:42:23] 做100道题目，
[00:42:24] 批改100次，
[00:42:25] 我觉得基本上你也就能够啊。
[00:42:27] 不怕千万里，
[00:42:28] 不怕千万事，
[00:42:29] 最后也就能考上了。
[00:42:30] 好了，
[00:42:31] 再接着问大家下后面要写什么，
[00:42:34] 后面也就是要写一下我们的总论点，
[00:42:37] 你小切口不就是哎，
[00:42:39] 就是小切口和大健康大健康。
[00:42:42] 不就是要有啊，
[00:42:43] 大健康视野吗？
[00:42:44] 啊，
[00:42:44] 大健康视野，
[00:42:45] 比如说你有顶层设计，
[00:42:47] 有系统谋划，
[00:42:48] 那么小切口呢，
[00:42:49] 不就是你要有就是小切口的功夫吗？
[00:42:52] 然后呢，
[00:42:52] 把每一件小事办事不好吗？
[00:42:54] 然后呢，
[00:42:55] 还要辩证关系，
[00:42:56] 还要双向背负吗？
[00:42:57] 不就是辩证关系吗？
[00:42:59] 不就是那么共创未来吗？
[00:43:00] 共创未来，
[00:43:01] 它属于民生吗？
[00:43:02] 共创未来，
[00:43:03] 它属于健康吗？
[00:43:04] 就可以了，
[00:43:05] 大家现在觉得可以过的话，
[00:43:07] 就给老师打个过，
[00:43:08] 就是这些答案，
[00:43:09] 你的答案并不一定跟我一样，
[00:43:12] 你说老师我就少这一句，
[00:43:14] 你说老师我就少这一句。
[00:43:16] 是吧，
[00:43:16] 都没有任何问题，
[00:43:17] 你就说老师我少这一句，
[00:43:19] 没有什么问题，
[00:43:20] 但是大家一定尽量的要回扣小切口和大健康两个字，
[00:43:25] 首先我们要做好大健康，
[00:43:26] 接着我们要做好小切口。
[00:43:28] 接着我们还要把这两者辩证起来，
[00:43:32] 现在大家听清楚了吗？
[00:43:34] 就是我问大家一下，
[00:43:35] 这种双主题后面的这个分。
[00:43:38] 就是这个总论点，
[00:43:40] 大家可不可以直接用我这个去套用作为模板？
[00:43:44] 当然可以。
[00:43:45] 好吧，
[00:43:45] 你随便让你的豆包哥哥deep seek弟弟帮你生成一个比较好的开头的双主题的模板，
[00:43:53] 你把它背下来，
[00:43:54] 到时候直接给我换一个词也就行了。
[00:43:57] 就像最后的这个总论点，
[00:43:59] 可以吧？
[00:44:00] 完全没有问题的啊，
[00:44:01] 完全没有问题的好了。
[00:44:03] 那么，
[00:44:04] 再接着，
[00:44:04] 我们就带着大家往下走啊，
[00:44:07] 再接着，
[00:44:08] 就要写我们的分论点了，
[00:44:10] 请问大家一下。
[00:44:12] 这个分论点拿到之后，
[00:44:13] 现在脑袋还空白吗？
[00:44:15] 现在脑袋还空白吗？
[00:44:16] 如果空白的时候应该记住了。
[00:44:19] 袁东老师，
[00:44:19] 站在你身后说一个大哥哥先写名言警句。
[00:44:23] 第二个先写一个影响，
[00:44:25] 第三个再写一个过渡句，
[00:44:27] 第四个再写一个总论点。
[00:44:30] 大家能够同意吧，
[00:44:32] 这个名言警句，
[00:44:33] 请问大家下能不能想出来一个关于小切口的名言警句？
[00:44:38] 哪位同学可以直接告诉我？
[00:44:40] 关于小切口的名言警句，
[00:44:42] 关于小的名言警句能不能写出来？
[00:44:45] 哎，
[00:44:45] 如果你真的要写不出来的话，
[00:44:47] 呃，
[00:44:47] 这个不是过渡句啊，
[00:44:48] 这是一个对策或者是例子哈，
[00:44:50] 你看东哥也晕了好吧。
[00:44:52] 然后呢？
[00:44:53] 怎么写我们就可以写一个名言警句写成什么名言警句，
[00:44:57] 比如说天下大势，
[00:44:58] 哎呦我的妈呀，
[00:45:00] 后边那句名言警句是什么？
[00:45:02] 哪位同学可以告诉我？
[00:45:03] 天下大事叫必做于细，
[00:45:06] 大家觉得可以不？
[00:45:08] 天下大事必做于细，
[00:45:11] 也是没有问题的啊。
[00:45:14] 只要大家能够说的合情合理就行，
[00:45:16] 你不一定和东哥呢，
[00:45:18] 完全一模一样好吧，
[00:45:20] 你不一定啊，
[00:45:21] 和东哥完全一模一样。
[00:45:22] 好了，
[00:45:23] 那么接着我们大家下就是。
[00:45:26] 在这个里边要说影响的话，
[00:45:28] 我说不出来的话，
[00:45:30] 应该怎么办？
[00:45:31] 哪位同学可以告诉我，
[00:45:34] 一定要想。
[00:45:35] 我要写哪个词对谁有影响吧？
[00:45:38] 哪个词对谁有影响吧？
[00:45:40] 哪个词我要写的话一定是。
[00:45:44] 写的是小切口吧，
[00:45:45] 小切口对谁有影响？
[00:45:47] 哪位同学可以告诉我，
[00:45:49] 小切口对于政府有没有影响？
[00:45:52] 有吧，
[00:45:53] 那么小切口，
[00:45:54] 对于群众有没有影响也有吧。
[00:45:58] 好了，
[00:45:59] 小切口对于政府有什么影响？
[00:46:01] 能不能给老师啊？
[00:46:03] 说出来小切口，
[00:46:04] 比如说我想写一个排举句。
[00:46:07] 体现了政府能够做到恪守为民之责。
[00:46:13] 后面一句话，
[00:46:14] 有没有同学知道常怀？
[00:46:18] 爱民之心。
[00:46:20] 常怀爱民之心。
[00:46:23] 好了，
[00:46:24] 下面多半利民之事。
[00:46:28] 多半利民之事。
[00:46:31] 再写一个善谋富民之策。
[00:46:36] 就是善谋。
[00:46:38] 富民。
[00:46:40] 制策一起把它搞定也就可以了，
[00:46:43] 大家觉得行吗？
[00:46:45] 啊，
[00:46:45] 那么对于群众有什么好处哎，
[00:46:48] 我就简单的写一句增进。
[00:46:51] 群众。
[00:46:53] 福祉，
[00:46:54] 大家觉得行吗？
[00:46:56] 哎，
[00:46:57] 如果大家觉得这句话不够，
[00:46:59] 还可以再加一个什么增进群众福祉，
[00:47:02] 可以更好的满足人民群众的。
[00:47:05] 幸福感。
[00:47:06] 获得感。
[00:47:08] 还有一个，
[00:47:09] 再加一个满足感行不行？
[00:47:11] 你随便写，
[00:47:12] 你写到明天我都无所谓，
[00:47:14] 但是如果有的同学说老师我在考试的时候，
[00:47:17] 这个影响不会写了。
[00:47:19] 我就压根没写，
[00:47:20] 大家觉得行吗？
[00:47:21] 我觉得可以啊，
[00:47:22] 有的同学这昨天问我说老师，
[00:47:24] 我直接写个对策行不行？
[00:47:26] 当然行了，
[00:47:28] 我直接写对策，
[00:47:29] 写对策，
[00:47:30] 也就是我直接写大健康的对策。
[00:47:34] 大健康天下大事，
[00:47:37] 必做于细。
[00:47:38] 大健康首先必须通过小切口的。
[00:47:42] 具体行动来实现。
[00:47:45] 这个答案不是唯一的，
[00:47:47] 只要你说的合情合理就行，
[00:47:49] 你看一下我给同学们写了一个开头，
[00:47:52] 大家看大健康绝非抽象的政策口号，
[00:47:55] 必须转化为群众可感可及的具体行动。
[00:47:59] 这个不就可以了吗？
[00:48:00] 我没有写影响，
[00:48:01] 也没有写背景，
[00:48:02] 也没有写名言，
[00:48:03] 警句依然是可以的，
[00:48:04] 下面我们没有话了，
[00:48:06] 当你没有话的时候应该怎么办？
[00:48:08] 各位，
[00:48:08] 我反复给大家说，
[00:48:10] 直接就是可以举例子，
[00:48:12] 各位举例子怎么举举例子？
[00:48:15] 我反复给大家说的一共就是叫问题。
[00:48:19] 一共就是叫主体，
[00:48:20] 一共就是叫对策，
[00:48:22] 一共就是叫影响大家同意吗？
[00:48:25] 好了，
[00:48:26] 那我们刚才小题当中明确的说了，
[00:48:29] 有一个青少年的。
[00:48:31] 身心健康，
[00:48:32] 我们先找到身体健康，
[00:48:34] 身体健康材料一当中的身体健康，
[00:48:37] 先把问题找出来。
[00:48:39] 问题有没有同学知道是什么？
[00:48:42] 问题是不是就是指的青少年颈柱侧弯啊？
[00:48:46] 好了，
[00:48:46] 那我们就问把问题写出来，
[00:48:49] 针对青少年脊柱侧弯低龄化的趋势。
[00:48:52] 然后主体是指的谁？
[00:48:54] 我们在材料当中去找一下我的妈呀，
[00:48:58] 主体就是指的浙江，
[00:48:59] 所以我们就把浙江给大家一起找下来。
[00:49:03] 大家看这个浙江也就出来了，
[00:49:05] 浙江那它具体干了一个什么样的对策呢？
[00:49:08] 到财料当中随便找几个就行了。
[00:49:11] 浙江干的对策就是普查，
[00:49:13] 浙江干的对策就是筛查，
[00:49:15] 发现了吗？
[00:49:16] 所以我们就直接写浙江开展全省义务教育阶段的啊普查。
[00:49:21] 然后浙江还干了什么对策，
[00:49:24] 哪位同学可以告诉我，
[00:49:26] 随便写，
[00:49:27] 你会发现搞了一个平台，
[00:49:29] 那么啊，
[00:49:30] 搞了一个，
[00:49:31] 这个叫数字化平台。
[00:49:33] 那么我们就把数字化平台也写进去，
[00:49:36] 搭建数字化平台不就可以了吗？
[00:49:38] 浙江还干了什么对策？
[00:49:40] 大家告诉我，
[00:49:41] 这随便说我中医，
[00:49:43] 我又哎中医在考试的书我没看懂，
[00:49:45] 我不写行不行？
[00:49:46] 行，
[00:49:47] 我漏了行不行？
[00:49:48] 行，
[00:49:48] 这可不是小题。
[00:49:49] 浙江还搞了一个健康午休，
[00:49:52] 浙江还搞了一个躺睡午休，
[00:49:54] 大家看到了吗？
[00:49:56] 我就随便写一个，
[00:49:57] 就是健康午休，
[00:49:59] 躺睡午休行不行？
[00:50:00] 推行校园躺睡午休，
[00:50:02] 然后呢，
[00:50:03] 就是最终的结果，
[00:50:04] 把防控融入日常，
[00:50:06] 你们觉得可以还是不可以？
[00:50:09] 可以还是不可以？
[00:50:10] 可以吧，
[00:50:11] 那么这是一个举例子，
[00:50:13] 这个举例子我就把材料直接改写了，
[00:50:16] 但是另外一个我还想举排比的例子。
[00:50:19] 我能不能把小题直接改写？
[00:50:23] 把小题直接改写。
[00:50:25] 刚才第二个小题是告诉我们用了一个小程序，
[00:50:29] 干什么事情用了一个小程序，
[00:50:32] 干什么事情？
[00:50:33] 第二个小题是不是用一个小程序帮我们进行一个？
[00:50:38] 体重管理啊。
[00:50:40] 是不是就是体重管理啊？
[00:50:41] 那不就很简单了吗？
[00:50:43] 那么问题就是你体重管理就证明你是现在是肥胖的，
[00:50:47] 然后我们搞了一件什么事情？
[00:50:49] 搞了一个小程序，
[00:50:51] 然后呢，
[00:50:51] 结果呢，
[00:50:52] 就是对谁有结果，
[00:50:53] 对于我们居民进行一个减重是有结果的，
[00:50:57] 这句话是哪里来的？
[00:50:59] 这句话是从材料当中直接抄的，
[00:51:01] 如果大家不想从题干当中，
[00:51:03] 从材料当中也没有问题，
[00:51:05] 大家看啊。
[00:51:06] 国家喊你减肥了，
[00:51:07] 也就是这是代表一个问题，
[00:51:09] 这个问题就是针对居民超重肥胖的问题。
[00:51:13] 好吧，
[00:51:13] 接着我们干的什么事情？
[00:51:15] 大家看问题。
[00:51:17] 我们大家国家如果喊你减肥，
[00:51:20] 就代表你存在什么问题，
[00:51:22] 是不是针对居民超重肥胖的问题？
[00:51:26] 针对。
[00:51:27] 居民。
[00:51:29] 超重。
[00:51:31] 还有一个肥胖问题。
[00:51:34] 超重肥胖。
[00:51:38] 问题请问大家一下，
[00:51:40] 这个时候谁干了什么事情？
[00:51:43] 那么这个时候我们还是主体是指的一个浙江？
[00:51:49] 然后呢，
[00:51:50] 对策是指的什么？
[00:51:52] 就是把体重管理的门诊，
[00:51:55] 你会发现放到了街道，
[00:51:57] 这就很简单了，
[00:51:58] 我们就把它改写一下。
[00:52:01] 找手锯把体重。
[00:52:04] 管理。
[00:52:08] 门诊。
[00:52:11] 开进。
[00:52:13] 社区。
[00:52:15] 好了，
[00:52:15] 还搞了一个什么事情，
[00:52:17] 大家告诉我，
[00:52:18] 还搞了一件什么事情，
[00:52:21] 还搞了一个小程序。
[00:52:22] 这个小程序前面加一个动词就是用。
[00:52:27] 倾然。
[00:52:30] 计划。
[00:52:32] 小程序。
[00:52:34] 用清单计划小程序，
[00:52:36] 各位干什么事情就是陪伴居民对谁有好处，
[00:52:41] 对谁有影响。
[00:52:43] 对于居民有影响吗？
[00:52:45] 陪伴居民科学减重吗？
[00:52:47] 不就可以了吗？
[00:52:48] 你看这个这种答案呢？
[00:52:50] 你随便写到什么时候都没有任何问题的。
[00:52:55] 大家来看一下这个就是的。
[00:52:57] 大家来看一下啊，
[00:52:58] 这个是一个问题，
[00:53:00] 这个是一个对策，
[00:53:02] 这个是一个对策，
[00:53:03] 这个是一个影响，
[00:53:05] 现在能够看懂吗？
[00:53:06] 好了，
[00:53:07] 那么除了这个，
[00:53:08] 我们刚才。
[00:53:09] 除了减重的，
[00:53:10] 除了青少年，
[00:53:11] 刚才还找了一个是谁？
[00:53:13] 哪位同学可以告诉我刚才是不是还找了一个老头啊？
[00:53:18] 这个老头是在谁？
[00:53:19] 赵大伯吧，
