[00:00:00] 那是每一天刚好可以更从容，
[00:27:32] 结合材料，
[00:27:33] 请问题干当中有面子，
[00:27:35] 题干当中有里子，
[00:27:37] 你觉得材料当中。
[00:27:39] 是一定会出现面子和里子这两个词，
[00:27:43] 还是不一定会出现？
[00:27:45] 面子和里子这两个词，
[00:27:48] 各位。
[00:27:49] 它一定会出现面子和里子这两个词，
[00:27:52] 否则它就一定会有争议，
[00:27:54] 大家能够同意吗？
[00:27:56] 它是一定会出现的。
[00:27:58] 如果他不一定的话，
[00:27:59] 这个时候考试就有可能会出现争议。
[00:28:03] 有一年内蒙古考试考了一道题目，
[00:28:05] 有没有同学见过这道题？
[00:28:08] 叫风的后面是风天空的，
[00:28:10] 上面是天空道路的，
[00:28:12] 前方是道路有没有同学见过这道题？
[00:28:16] 当时出了这道题之后，
[00:28:18] 很多同学完全立马就放松了，
[00:28:21] 他觉得内蒙古出的这个题题目真的是有水平啊，
[00:28:25] 你看完全不像申论的样子。
[00:28:27] 那就轻松写吧，
[00:28:29] 写成了高考作文，
[00:28:30] 最后成绩出来之后一塌糊涂，
[00:28:33] 各位，
[00:28:33] 你觉得他只要这样说，
[00:28:35] 你觉得他的材料当中会不会有风这个字？
[00:28:39] 会不会有天空这个字？
[00:28:41] 会不会有道路这个字？
[00:28:42] 大概率都会有的，
[00:28:44] 现在能够听懂了吗？
[00:28:45] 好，
[00:28:46] 那么里子和面子我们带着大家来看一下。
[00:28:49] 它到底是什么？
[00:28:51] 首先，
[00:28:52] 大家在材料当中就可以看到这句话。
[00:28:56] 市民需求关乎里子，
[00:28:58] 市容管理关乎面子。
[00:29:00] 请问这句话当中，
[00:29:02] 里子和面子你看起来的话。
[00:29:05] 里子是a。
[00:29:06] 面子是b。
[00:29:09] 里子是指的需求，
[00:29:10] 面子是指的市容的管理，
[00:29:13] 那么这个时候有没有出现一个c？
[00:29:16] 你们觉得这个题目，
[00:29:18] 它这个到底是AB还是指的abcab呢？
[00:29:22] 是指的理智面子放之四海而皆准ABC的这个c呢？
[00:29:27] 是指的里子和面子？
[00:29:29] 使得特定的某一个领域。
[00:29:33] 各位一起把它搞下来，
[00:29:36] 各位那我觉得这个题目当中。
[00:29:39] 市民需求市容管理，
[00:29:41] 它指的这个领域是指的什么领域？
[00:29:44] 它是不是都有一个市啊？
[00:29:47] 这个市。
[00:29:47] 具体是指什么？
[00:29:49] 哪位同学可以告诉我，
[00:29:51] 是不是都是指的一个城市啊？
[00:29:53] 大家能够同意吗？
[00:29:55] 是不是就是指的一个城市啊？
[00:29:57] 好了，
[00:29:57] 那我现在问大家下，
[00:29:59] 你就记住了，
[00:30:00] 里子是指的市民的需求，
[00:30:02] 面子是指的市容的管理。
[00:30:04] 现在你们结合完了材料之后，
[00:30:07] 你再告诉我就是这一个题目，
[00:30:11] 它到底是AB类还是ABC类？
[00:30:13] 这个时候你能否确定？
[00:30:15] 各位，
[00:30:16] 我们结合完了材料之后，
[00:30:18] 我们就知道这个题目，
[00:30:20] 哎呦，
[00:30:20] 它是一个双主题的，
[00:30:22] 是不是就是一个ABC类了？
[00:30:24] 各位a是指的什么？
[00:30:25] 哪位同学告诉我，
[00:30:27] 比如说指的是一个面子好吧？
[00:30:29] b它指的是什么？
[00:30:31] 比如说是一个里子。
[00:30:33] z它指的是什么？
[00:30:34] 比如说是一个城市，
[00:30:36] 大家同意吧？
[00:30:37] 好了，
[00:30:37] 我现在问大家一下，
[00:30:39] 请问如果它是一个abcd，
[00:30:41] 它可能有几个分论点？
[00:30:43] 哪位同学可以告诉我，
[00:30:45] 如果是ABC，
[00:30:46] 它可能有几个分论点三个吧，
[00:30:48] 第一个分论点怎么写？
[00:30:50] 哪位同学可以告诉我？
[00:30:52] 第一个分论点是不是就是a对c的影响？
[00:30:55] 第二个分论点是不是就是b对c的影响？
[00:30:58] 第三个分论点是不是就是a+b？
[00:31:01] 结合起来对c的影响，
[00:31:03] 同意吗？
[00:31:04] 好了，
[00:31:04] 我们先说AA是什么a，
[00:31:07] 它可能是一个里子，
[00:31:09] 怎么把里子呢？
[00:31:10] 大家加个动词。
[00:31:12] 坐实例子。
[00:31:15] OK，
[00:31:15] 做实里子，
[00:31:16] 做实里子，
[00:31:17] 它对于什么有好处？
[00:31:20] 是不是对于c也就是城市有好处啊？
[00:31:24] 大家一起写是。
[00:31:27] 构建。
[00:31:30] 人民。
[00:31:32] 幸福。
[00:31:36] 支撑。
[00:31:38] 的登山之所，
[00:31:40] 大家觉得可以不登山。
[00:31:44] 之所哎，
[00:31:45] 也就把它搞定了，
[00:31:47] 各位我如果不想用登山之所给老师换四个字，
[00:31:51] 请问你换哪四个字？
[00:31:53] 根本。
[00:31:55] 保证大家觉得可以吗？
[00:31:58] 必有必经之必要条件也是可以的，
[00:32:01] 破浪之帆也是可以的。
[00:32:03] 请问大家一下，
[00:32:05] 这个时候这个李子，
[00:32:07] 你觉得它是一个抽象的说法，
[00:32:10] 还是一个就是现实的说法？
[00:32:12] 你会发现它是不是一个抽象的说法，
[00:32:16] 那我们要不要把这个理子去解释一下？
[00:32:20] 你刚才结合材料，
[00:32:21] 你觉得要不要把这个理子解释一下，
[00:32:25] 这个时候你记住了，
[00:32:26] 如果它是一个。
[00:32:28] 抽象的说法的话，
[00:32:29] 你是需要把这个直接在分论点里面，
[00:32:32] 把它解释的里子就是在说市民需求。
[00:32:35] 所以大家这个分论点，
[00:32:37] 它就操作的时候复杂了一点点，
[00:32:41] 需要给老师加一个。
[00:32:43] 具体的解释满足。
[00:32:47] 市民。
[00:32:49] 需求一起把它搞定。
[00:32:52] 好，
[00:32:52] 把它搞定了，
[00:32:53] 现在大家能够看清吗？
[00:32:55] 坐实里子，
[00:32:56] 满足市民需求，
[00:32:57] 是构建人民幸福之城的登山之所，
[00:33:01] 这样你就完美了。
[00:33:02] 他不会扣你题目，
[00:33:04] 扣你分数好了，
[00:33:05] 我问大家一下，
[00:33:06] 第二个分论点应该怎么写，
[00:33:08] 第二个分论点是不是要突出面子，
[00:33:11] 面子前面加一个动词？
[00:33:13] 大家来想一下面子，
[00:33:16] 一起写半量面子。
[00:33:19] 半量面子，
[00:33:21] 然后它会有什么样的影响呢？
[00:33:25] 大家一起写加强。
[00:33:28] 四楼。
[00:33:32] 管理。
[00:33:33] 一起把它搞定，
[00:33:35] 大量面子加强市容管理，
[00:33:38] 请问它是构建人民幸福之城的加一个。
[00:33:42] 四个字，
[00:33:43] 开山之镐，
[00:33:44] 大家也就可以了，
[00:33:46] 现在同意吗？
[00:33:47] 各位，
[00:33:48] 这个题目稍微特殊一点的就是我们需要把里子和面子。
[00:33:54] 给他做一个解释，
[00:33:55] 这个是非常重要的，
[00:33:57] 他这两个说的是非常的虚的，
[00:33:59] 我们在后面把它做解释，
[00:34:01] 你结合材料能够看得非常清楚，
[00:34:03] 他确实把里子和面子给你做了解释。
[00:34:06] 第三个分论点，
[00:34:08] 大家觉得应该怎么写？
[00:34:10] 哪位同学可以告诉我，
[00:34:11] 大家一起写第三个分论点a+b，
[00:34:14] 结合起来也就是努力实现。
[00:34:18] 做实。
[00:34:21] 例子。
[00:34:23] 与半量。
[00:34:29] 面子。
[00:34:31] 的良性互动。
[00:34:35] 良性互动，
[00:34:36] 请问大家一下，
[00:34:38] 这个c是指什么是？
[00:34:41] 构建人民幸福之城的。
[00:34:45] 随便写四个字，
[00:34:47] 循径。
[00:34:48] 制图你看也就把它搞定了，
[00:34:51] 现在大家听懂了吗？
[00:34:53] 我再给大家说一下，
[00:34:55] 来看一下这个题目。
[00:34:56] 最后的答案能够看懂的话，
[00:34:59] 给老师敲个一，
[00:35:01] 这一个是在说a对c的影响，
[00:35:04] 这一个是在说b对c的影响。
[00:35:07] 这一个是在说a+b结合起来，
[00:35:09] 对c的影响，
[00:35:10] 这个题目唯一特殊的就是我们要把里子和面子在分论点里面做一个解释。
[00:35:16] 现在听懂了吗？
[00:35:18] 但是我问大家一下，
[00:35:19] 这个里子和面子，
[00:35:21] 我们在考试的时候要不要在标题当中做解释？
[00:35:26] 要不要在标题当中做解释？
[00:35:28] 记住了，
[00:35:29] 不要在标题当中做解释，
[00:35:31] 因为标题容纳不了这么多字数，
[00:35:33] 而且一旦偏了就麻烦了另外一个。
[00:35:36] 我问大家下，
[00:35:37] 我们如果说在开头里边，
[00:35:39] 就是我们分论点不做解释，
[00:35:42] 我们在开头第一段。
[00:35:44] 做一个解释，
[00:35:45] 直接把里子还有一个面子直接放在开头里面做解释，
[00:35:50] 你们觉得可以不？
[00:35:52] 各位，
[00:35:52] 我们在开头里面把理智面子解释可以吗？
[00:35:56] 也是可以的，
[00:35:57] 如果你开头解释了，
[00:35:58] 你就是分论点，
[00:36:00] 没有解释无所谓。
[00:36:01] 有一年国考考了一个题目，
[00:36:05] 叫不学礼。
[00:36:06] 无以立，
[00:36:07] 有没有同学见过这个题目？
[00:36:09] 各位这个题目那一年国考得分非常低，
[00:36:13] 最大的原因就是很多同学并没有在开头，
[00:36:17] 就把这个理。
[00:36:18] 给老师给阅卷人做一个解释，
[00:36:22] 这样的话统一按照低分处理。
[00:36:25] 千万不要出现这种问题好吧，
[00:36:28] 千万不要出现这种问题好，
[00:36:30] 那有的同学说老师我问一下我这个如果不写人民幸福之城。
[00:36:35] 我就直接写成城市治理，
[00:36:38] 大家觉得可以不？
[00:36:39] 可以的话给老师打个一不可以的话给老师打个二。
[00:36:44] 当然是可以的，
[00:36:45] 他的答案不是唯一的，
[00:36:47] 但是原词原句里子面子，
[00:36:49] 市民需求，
[00:36:50] 市容管理，
[00:36:51] 你如果搞错了，
[00:36:52] 基本上就没有救了。
[00:36:53] 这个是我给大家说的啊。
[00:36:55] 好，
[00:36:55] 再来看一下，
[00:36:56] 大家来看一下这个题目，
[00:36:58] 当年是河南的题目，
[00:37:00] 当年河南考了这个题目哇，
[00:37:02] 哭了一大片，
[00:37:03] 很多同学全部跑题了。
[00:37:05] 首先认真的审一下这个题目，
[00:37:08] 它是AB类，
[00:37:09] 它是单主题，
[00:37:10] 双主题还是多主题，
[00:37:12] 我看看有没有同学能够给老师看出来。
[00:37:16] 有效的社会治理需要硬设施和软服务的完美结合，
[00:37:20] 离不开参与各方的相互成就。
[00:37:22] 这个题目同学们。
[00:37:24] 它肯定是硬设施，
[00:37:25] 软服务，
[00:37:26] 还有一个社会治理，
[00:37:28] 它是一个双主题吧，
[00:37:30] 它是双主题当中的AB类。
[00:37:33] 还是ABC类？
[00:37:35] 同学们认真的看一下，
[00:37:37] 你看硬设施，
[00:37:38] 它是一个a软服务，
[00:37:40] 它是一个b社会治理，
[00:37:42] 它是一个c，
[00:37:43] 所以很清晰了。
[00:37:45] 如果是ABC，
[00:37:46] 它的分论点应该是由几个哪位同学可以告诉我是不是？
[00:37:52] 如果是ABC的话。
[00:37:54] 分论点就有三个，
[00:37:56] 这三个分论点是a对c有什么影响？
[00:37:59] b对c有什么影响？
[00:38:01] a+b结合起来对c有什么影响？
[00:38:05] 这是传统的写作好了，
[00:38:07] 我们先把第一个搞定，
[00:38:09] 第一个诶，
[00:38:10] 大家觉得应该写什么，
[00:38:11] 我可以写成硬设施吧，
[00:38:13] 所以大家一起写硬设施。
[00:38:16] 硬设施。
[00:38:19] 各位，
[00:38:20] 它对什么有影响？
[00:38:22] 是不是对社会治理有影响？
[00:38:25] 那我问大家一下我们。
[00:38:28] 能不能把它稍微润色一下，
[00:38:31] 硬设施前面加一个形容词，
[00:38:33] 大家觉得行吗？
[00:38:34] 一般加词加几个字比较好。
[00:38:37] 加两个字或加四个字加四个字。
[00:38:40] 它会容易产生四平八稳，
[00:38:43] 大家一起写坚实。
[00:38:45] 稳固。
[00:38:48] 的硬设施好坚实稳固的硬设施，
[00:38:52] 大家一起写。
[00:38:54] 筑牢。
[00:38:56] 加一个动词，
[00:38:57] 影响肯定要加动词的，
[00:38:59] 筑牢社会之理之骨，
[00:39:01] 大家觉得行吗？
[00:39:02] 行不行好了？
[00:39:04] 或者你直接写成完善硬设施是怎么样？
[00:39:08] 就是或或者是呃完善硬设施是筑牢社会支股的根本保证也是可以的。
[00:39:15] 好了，
[00:39:16] 第二个应该写什么？
[00:39:18] 是不是也就是写软服务啊？
[00:39:21] 好，
[00:39:21] 这个软服务大家能不能给老师加四个字？
[00:39:26] 软服务加四个字，
[00:39:27] 你可以写成细致。
[00:39:29] 入微。
[00:39:32] 的软服务当然，
[00:39:34] 如果你不想加形容词，
[00:39:36] 你加动词，
[00:39:37] 你就写优化软服务也是没有问题的，
[00:39:40] 好大家一起写。
[00:39:42] 丰盈。
[00:39:43] 奉行什么社会？
[00:39:47] 治理。
[00:39:49] 之魂也可以吧，
[00:39:51] 你不想用之魂，
[00:39:52] 你也可以登山之所，
[00:39:54] 开山之镐根本保证，
[00:39:55] 然后呢啊，
[00:39:56] 就是具体要求，
[00:39:58] 核心要义，
[00:39:59] 这些词随便加。
[00:40:00] 那么，
[00:40:00] 第三个分论点，
[00:40:01] 大家觉得应该怎么写？
[00:40:03] 第三个分论点，
[00:40:04] 是不是要把a和b结合起来，
[00:40:07] 大家一起写？
[00:40:08] 叫硬设施。
[00:40:11] 和软服务。
[00:40:18] 怎么样？
[00:40:19] 需要完美结合吧的。
[00:40:22] 完美结合。
[00:40:24] 完美结合。
[00:40:26] 各位，
[00:40:27] 大家看这个题目和我们上面一个题目有没有发现它有点不一样，
[00:40:34] 它偏偏就多了一个小小的尾巴。
[00:40:37] 大家发现了吗？
[00:40:38] 发现了的话，
[00:40:39] 给老师打飞机，
[00:40:40] 各位这个是这些年考试当中非常特殊的一个题目，
[00:40:44] 它就因为我们前面往往是谈a对c的影响。
[00:40:48] 接着谈b对c的影响，
[00:40:50] 那么接着写a+b对c怎么样？
[00:40:54] 结合起来怎么干？
[00:40:56] 产生的影响？
[00:40:57] 这个题目谈干这个题目的干，
[00:41:00] 你觉得最后的这句话是在说什么要素？
[00:41:04] 哪位同学可以告诉我？
[00:41:06] 这个题目最后的一句话是在说什么要素？
[00:41:09] 哪位同学可以告诉我映射手爪服务当然加引号，
[00:41:13] 那么是不是在说一个对策？
[00:41:15] 大家觉得这个对策我要不要写到我的分论点里面去？
[00:41:19] 认真的琢磨一下这个题目，
[00:41:21] 哎，
[00:41:22] 这个分论点要不要写到我们的对策里面去啊？
[00:41:25] 一定是要的，
[00:41:26] 记住了大家把。
[00:41:28] 题干为王四个字敲在评论区，
[00:41:30] 记住了题干为王这个题目，
[00:41:32] 就想告诉你这一点，
[00:41:34] 如果你这一点理解了也就可以了。
[00:41:37] 所以大家把它写下来，
[00:41:39] 离不开。
[00:41:40] 参与。
[00:41:42] 各方相互。
[00:41:46] 成就哎，
[00:41:47] 他直接给了你对策，
[00:41:49] 那我们就直接用后面是参与哪一方呢？
[00:41:52] 比如说政府这一方，
[00:41:54] 比如说企业这一方，
[00:41:56] 比如说社会这一方。
[00:41:58] 那么，
[00:41:58] 比如说个人这一方，
[00:42:00] 现在听懂了吗？
[00:42:01] 题干为王，
[00:42:02] 当时我们在河南省考的时候，
[00:42:04] 绝大多数同学，
[00:42:05] 他之前没有见过这种类型的题目。
[00:42:08] 他一看这句话，
[00:42:10] 他就完全没有写，
[00:42:11] 你觉得你这样搞完了之后，
[00:42:13] 你觉得你放心吗？
[00:42:15] 认真的看一下这句话。
[00:42:17] 一定把每一个字都包含了，
[00:42:19] 我们要谈硬设施对社会治理的影响，
[00:42:22] 我们要谈软服务对社会治理的影响，
[00:42:25] 接着我们要谈完美结合。
[00:42:27] 需要各方相互成就，
[00:42:29] 现在听懂了吗？
[00:42:31] 这个题目的对策，
[00:42:33] 它第三个就不能简单的写成a+b对c了。
[00:42:38] 为什么？
[00:42:39] 因为这个时候题干。
[00:42:41] 已经明确了题干，
[00:42:43] 已经明确了，
[00:42:44] 如果题干明确的话，
[00:42:46] 题干明确我们的对策并不是a+b对c的影响了。
[00:42:52] 题干当中已经给我们明确了是什么，
[00:42:56] 是不是参与各方的相互成就，
[00:42:59] 如果出现这种情况，
[00:43:01] 你直接。
[00:43:01] 抄题干当中的对策也就可以了，
[00:43:05] 这时候他的原则同学们再敲一遍，
[00:43:08] 此生不要忘记。
[00:43:10] 题干为王行吧，
[00:43:12] 各位一般来讲，
[00:43:14] 我反复给大家说，
[00:43:16] 遇到ABC类的。
[00:43:17] 确实要谈a对c有什么影响？
[00:43:20] b对c有什么影响？
[00:43:22] a+b结合起来怎么干？
[00:43:25] 对c有什么影响？
[00:43:27] 但是这个题目怎么干？
[00:43:29] 题干当中明确的说了，
[00:43:31] 就是要我们各方相互成就。
[00:43:33] 各方。
[00:43:35] 相互成就，
[00:43:36] 所以我们是用我们通用的思路。
[00:43:42] 去写啊。
[00:43:44] 还是用命题人给我们的指示去写，
[00:43:47] 哪位同学可以告诉我是不是一定要用命题人给的这个思路？
[00:43:54] 把这个直接就做我们的对策，
[00:43:57] 这样才是对这句话的思考，
[00:43:59] 现在听懂了吗？
[00:44:01] 好了，
[00:44:01] 这个题目有的同学说硬设施软服务。
[00:44:04] 要不要去解释？
[00:44:05] 不用这个题目硬设施软服务，
[00:44:08] 它完全是大路边上的，
[00:44:09] 不需要解释，
[00:44:10] 而且题干当中没有具时具体解释的话，
[00:44:13] 所以你不解释是完全没有问题的。
[00:44:16] 好吗？
[00:44:16] 有的同学说老师这个为啥理解不理解成多主题啊？
[00:44:21] 什么叫多主题啊？
[00:44:23] 如果它是有硬设施，
[00:44:24] 软服务，
[00:44:25] 这两个就是。
[00:44:26] 双主题看的非常清晰，
[00:44:29] 硬设施，
[00:44:29] 软服务和参与各方，
[00:44:31] 这不是一个档次的，
[00:44:33] 不是一个维度的，
[00:44:35] 是一个维度的，
[00:44:36] 只有硬设施和软服务。
[00:44:39] 现在听懂了吗？
[00:44:40] 各位，
[00:44:41] 这个相参与各方的成就是硬设施和软服务结合的对策。
[00:44:48] 听懂了吗？
[00:44:48] 你如果说是双主题，
[00:44:50] 就是软服务，
[00:44:51] 它不能是硬设施的对策，
[00:44:53] 硬设施也不能是软服务的对策，
[00:44:56] 它是两个不同的对立的维度。
[00:44:59] 啊，
[00:44:59] 这是非常重要的，
[00:45:01] 好，
[00:45:01] 再接着往下走。
[00:45:04] 这个也就给大家搞定了，
[00:45:06] 有的同学说老师，
[00:45:07] 那我最后可不可以加一个宏观的影响？
[00:45:10] 可以啊，
[00:45:11] 没问题，
[00:45:11] 但是这两个词一定要把它包含了才可以的行吗？
[00:45:15] 好，
[00:45:15] 再来看一下这个题目，
[00:45:18] 大家抓紧时间审一下题，
[00:45:20] 你觉得单纯从审题的话，
[00:45:23] 它是单主题。
[00:45:24] 是双主题还是多主题？
[00:45:27] 审题非常重要啊，
[00:45:28] 文明的道路有些是有形的，
[00:45:31] 有些是无形的好，
[00:45:33] 它是双主题。
[00:45:34] 那么，
[00:45:35] 请问这个双主题是AB类还是ABC类？
[00:45:39] 哪位同学可以告诉我？
[00:45:42] 我一看，
[00:45:42] 哎呀我的妈呀a是有形b是无形c是文明的道路，
[00:45:48] 那毫无疑问它应该是ABC了。
[00:45:52] 各位，
[00:45:52] 但是这个文明的道路，
[00:45:54] 因为它加了一个引号，
[00:45:56] 它在材料当中的话呢，
[00:45:58] 它是指的城市。
[00:45:59] 城市文明。
[00:46:01] 所以你最好还是看一下材料，
[00:46:04] 当然我们今天没有时间再给大家看材料，
[00:46:07] 如果它是ABC的话，
[00:46:09] 请问大家下。
[00:46:10] 一共有几个分论点，
[00:46:11] 哪位同学可以告诉我，
[00:46:13] 如果是ABC，
[00:46:14] 一共有几个分论点，
[00:46:15] 是不是有三个第一个分论点a对c的影响？
[00:46:19] 第二个分论点b对c的影响，
[00:46:21] 第三个分论点a+b结合起来对c的影响，
[00:46:25] 大家同意吧。
[00:46:26] 好了，
[00:46:27] 这个a应该怎么写？
[00:46:29] 有形的有形的什么，
[00:46:31] 大家能不能告诉我？
[00:46:33] 它省略了一个词，
[00:46:35] 哪位同学知道省略的这个词是什么有形的道路？
[00:46:41] 直接把它搞定。
[00:46:44] 它对谁有好处啊？
[00:46:46] 对于城市文明有好处，
[00:46:48] 我就简单写成助力城市文明，
[00:46:52] 你不一定都要用。
[00:46:54] 根本保证开山之锁，
[00:46:55] 登山之镐，
[00:46:56] 或者是核心要义，
[00:46:58] 也可以简单反正它的变化是无穷的。
[00:47:01] 好了，
[00:47:02] 第二个b对c是指的无形，
[00:47:05] 所以大家一起写无形的。
[00:47:09] 道路一起把它搞定，
[00:47:11] 无形的道路，
[00:47:12] 请问对谁有好处啊？
[00:47:15] 是不是对文明有好处啊？
[00:47:17] 大家一起写助力。
[00:47:20] 城市。
[00:47:22] 文明一起把它搞定，
[00:47:24] 第三个分论点有没有同学能够给直接给老师直接看出来，
[00:47:30] 第三个分论点我们。
[00:47:32] 应当。
[00:47:35] 将有形。
[00:47:39] 和无形。
[00:47:43] 相结合。
[00:47:44] 就是a和b相结合。
[00:47:47] 然后对于城市有什么好处，
[00:47:51] 然后推动。
[00:47:53] 城市。
[00:47:56] 文明。
[00:47:59] 高质量发展。
[00:48:01] 高质量。
[00:48:04] 发展OK，
[00:48:05] 一起把它搞定了，
[00:48:06] 现在大家觉得可以过的话就给老师打个过。
[00:48:10] 有形的道路，
[00:48:12] 无形的道路，
[00:48:13] 都给大家准备好了，
[00:48:15] 好吧好了。
[00:48:16] 那么，
[00:48:17] 请问这个第三个分类点还要不要我们自己加一个离不开参与各方的相互成就？
[00:48:25] 需要加的话，
[00:48:26] 给老师敲个一，
[00:48:27] 不需要加的话，
[00:48:28] 给老师敲个二，
[00:48:29] 你看这个你就不能这样加了，
[00:48:31] 这个你就严格用我们的底层思维去操作。
[00:48:34] 但是有没有可能在后面，
[00:48:36] 如果这个题目也像上一个题目一样，
[00:48:40] 说就是文明的道路，
[00:48:41] 有些是有形的，
[00:48:42] 有些是无形的，
[00:48:44] 我们要把有形和无形。
[00:48:46] 对吧呃，
[00:48:46] 就是有形和无形的完美结合，
[00:48:49] 离不开参与各方的相互成就，
[00:48:51] 如果他有这句话的话，
[00:48:53] 请问第三个分论点要不要直接变成这句话？
[00:48:57] 要就给老师打个，
[00:48:58] 要不要就给老师打个，
[00:49:00] 不要如果题干当中明确了，
[00:49:02] 就要加要好了，
[00:49:04] 那有的同学在考试的时候。
[00:49:06] 这个题目如果搞偏了的话，
[00:49:09] 他依然审出来是双主题了，
[00:49:12] 但是他写了a对b的影响。
[00:49:15] 然后呢b对a的影响，
[00:49:17] 然后呢还有一个a+b结合起来，
[00:49:20] 怎么干对c的影响？
[00:49:22] 你觉得算跑题不？
[00:49:24] 也就是他直接写了有形是无形的基础，
[00:49:27] 无形可以更好的反哺有形，
[00:49:29] 最后我们要把有形和无形相结合啊，
[00:49:32] 去推动城市文明高质量发展。
[00:49:35] 这样不能算你跑题，
[00:49:37] 但是这样写不好，
[00:49:38] 听懂了的话，
[00:49:39] 给老师打个一就是那有的同学说老师你前面为什么写？
[00:49:45] 现代对传统的影响，
[00:49:47] 传统对现代的影响，
[00:49:49] 创新对风险的影响，
[00:49:51] 风险对创新的影响。
[00:49:54] 问，
[00:49:54] 大家一下，
[00:49:55] 为什么？
[00:49:55] 那是因为他在题干当中，
[00:49:57] 他就是直接就是这样一个原话那么。
[00:50:01] 即使它是ABC，
[00:50:02] 但是因为它让我们思考对这句话的影响，
[00:50:07] 我们优先用原词原句。
[00:50:10] 现在听懂了吗？
[00:50:11] 听懂了的话，
[00:50:12] 给老师打飞机，
[00:50:14] 这个题目一看它就是ABC。
[00:50:16] 所以而且这些原词有形无形，
[00:50:19] 我用上去了，
[00:50:20] 它并没有在句子当中说有形是无形的基础，
[00:50:24] 无形可以更好的反哺有形。
[00:50:26] 所以不要这样写，
[00:50:28] 优先用ABC，
[00:50:29] 我讲清楚的话，
[00:50:31] 给老师打个一，
[00:50:32] 如果题干当中。
[00:50:34] 在ABC的情况之下，
[00:50:36] 题干当中非常明确的。
[00:50:38] 你就用题干当中的原词。
[00:50:42] 原句如果题干当中不是非常明确的，
[00:50:45] 就像这个题目，
[00:50:46] 它并没有说有形对无形，
[00:50:48] 也没有说无形对有形，
[00:50:50] 你就给我优先。
[00:50:51] 用ABC的分论点，
[00:50:53] 我讲清楚了哈，
[00:50:55] 就给大家讲，
[00:50:56] 讲完了现在考试，
[00:50:58] 我再给大家说。
[00:50:59] 这种题目大家一起打，
[00:51:01] 在评论区叫关系类，
[00:51:02] 现在考试大作文这种关系类考的越来越大，
[00:51:06] 你只要把框架搭好了，
[00:51:08] 后面的素材我都会给你准备好的模板。
[00:51:11] 把它给我背下来，
[00:51:12] 你考试的时候想不大一两门都很难，
[00:51:15] 这是a对c的影响b对c的影响a和b结合起来，
[00:51:19] 对c的影响一起把它搞定。
[00:51:22] 好了，
[00:51:22] 大家再来看一下这个题目，
[00:51:25] 你们抓紧时间看一下这个题目，
[00:51:28] 它是在说就是。
[00:51:30] 单主题还是在说，
[00:51:32] 双主题还是在说，
[00:51:34] 多主题，
[00:51:35] 哪位同学可以告诉我这个题目大家看。
[00:51:39] 有的人指出，
[00:51:40] 我们要根据时代的变化和发展啊，
[00:51:42] 变化和实践发展，
[00:51:44] 不断认识，
[00:51:44] 不断总结，
[00:51:45] 不断进行理论创新，
[00:51:46] 然后呢，
[00:51:47] 坚持。
[00:51:47] 实现良性互动这个题目，
[00:51:50] 它就是在说一个双主题，
[00:51:53] 各位双主题可能考。
[00:51:55] AB类也可能考ABC类，
[00:51:58] 大家觉得这个题目是在考AB还是在考ABC单看？
[00:52:05] 单看题目，
[00:52:06] 他是在说AB还是在说ABC？
[00:52:09] 单看题目肯定是AB，
[00:52:11] 但是这个时候我不放心。
[00:52:13] 我还要结合材料去看一下，
[00:52:16] 但是我到材料当中一看，
[00:52:18] 我的妈呀，
[00:52:19] 我发现材料当中根本就没有这句话。
[00:52:22] 各位材料当中没有这句话，
[00:52:25] 我就要想到材料当中你会发现压根就没有这句话。
[00:52:30] 这是浙江省考的题目，
[00:52:31] 没有这句话，
[00:52:33] 我就要想到那么这句话是专门针对其中某一个领域。
[00:52:37] 还是指的所有的领域，
[00:52:39] 大家认真看一下，
[00:52:41] 这句话是针对其中某一个领域成立，
[00:52:44] 还是针对所有领域成立，
[00:52:46] 你会发现。
[00:52:47] 他这句话是那个人讲的，
[00:52:49] 他是针对所有人都是成立的，
[00:52:52] 好了，
[00:52:53] 所有人都是成立的，
[00:52:54] 那么他就变成了一个。
[00:52:56] AB，
[00:52:57] 请问AB类的分论点，
[00:52:58] 大家把它记下来，
[00:53:00] 第一个分论点应该怎么写？
[00:53:02] 哪位同学可以告诉我？
[00:53:04] 如果是双主题的AB类的，
[00:53:06] 记住了第一个分论点，
[00:53:08] 要写成a对b有什么影响？
[00:53:10] 第二个分论点，
[00:53:11] 要写成b对a有什么影响？
[00:53:13] 第三个分论点，
[00:53:14] 要写成a+b。
[00:53:16] 结合起来啊，
[00:53:17] 它啊a+b结合起来怎么干？
[00:53:19] 现在听懂了吗？
[00:53:20] 也就是第一个分论点，
[00:53:22] 你写理论和实践理论创新和实践创新都是可以的。
[00:53:26] 我要写成那么理论创新，
[00:53:29] 是实践创新的行动指南是吧？
[00:53:32] 那么实践创新，
[00:53:34] 实践创新为理论创新。
[00:53:36] 提供不竭的动力源泉，
[00:53:38] 我们要努力推动理论创新和实践创新的良性互动。
[00:53:42] 现在，
[00:53:43] 大家能够听明白的话，
[00:53:45] 给老师打个一。
[00:53:46] 当然，
[00:53:46] 你只写理论，
[00:53:47] 只写实践也是可以的。
[00:53:49] 这个是没有问题，
[00:53:50] 少写个创新无所谓，
[00:53:52] 大家看这三个分论点也就出来了，
[00:53:55] 第一个分论点a对b。
[00:53:56] 它有什么样的影响？
[00:53:58] 第二个分论点b对a，
