[00:00:00] 窗外的麻雀在电线杆上多嘴。
[00:28:43] 你觉得比较合适，
[00:28:44] 如果是我的话，
[00:28:46] 我就加一个开展专项服务活动也就可以了，
[00:28:49] 好吧，
[00:28:50] 也就是说进一步优化营商环境，
[00:28:53] 应该开展。
[00:28:53] 专项服务活动应该开展专项服务活动也就可以了，
[00:28:58] 好吧，
[00:28:59] 这个很简单啊，
[00:29:00] 同学们再来看一下下面的这个啊，
[00:29:03] 给企业。
[00:29:04] 政策支持和资金支持，
[00:29:06] 这还是在说专项服务活动不用管好了，
[00:29:09] 我们的策论文的分论点也就给大家写出来了。
[00:29:12] 大家看这个是一个总论点，
[00:29:15] 这个是一个对策，
[00:29:16] 这一个是总论点，
[00:29:18] 这个是一个对策。
[00:29:20] 这个是总论点，
[00:29:21] 这个是对策，
[00:29:22] 这种文体，
[00:29:23] 请问大家下叫什么文章策论文正论文还是议论文？
[00:29:28] 这种文体广东一般喜欢考，
[00:29:30] 它叫侧论文好了，
[00:29:32] 那如果它让我们写成议论文的话。
[00:29:35] 请问同学们，
[00:29:36] 我们可以怎么把它变成一个议论文，
[00:29:40] 你就可以把这个句号变成逗号，
[00:29:43] 然后后面给我加三句话。
[00:29:45] 这三句话既可以是个性的，
[00:29:47] 又可以是万能的。
[00:29:48] 在考试的时候，
[00:29:49] 对策的答案一般是固定的，
[00:29:51] 影响的答案一般是不固定的。
[00:29:54] 大家首先给老师加第一个。
[00:29:56] 总括加第一个影响大家能不能给老师加出来啊？
[00:30:00] 我上节课就给大家几个比较万能的。
[00:30:04] 开创。
[00:30:05] 发展。
[00:30:08] 新局，
[00:30:08] 大家一起把它打出来，
[00:30:11] 开创发展新局。
[00:30:13] 好了，
[00:30:13] 你在你的讲义上写下来，
[00:30:16] 第二个我问大家一下共创。
[00:30:18] 美好。
[00:30:20] 未来大家觉得可以不？
[00:30:23] 第三个大家还能想到什么不化？
[00:30:26] 这个不很多同学会写错别字。
[00:30:29] 这样就会扣个零点五分，
[00:30:32] 得不偿失，
[00:30:33] 破画美好。
[00:30:34] 蓝图啊，
[00:30:35] 都是可以的。
[00:30:36] 不画美好蓝图哎，
[00:30:38] 我再给大家说一下，
[00:30:40] 如果不想用这个的话。
[00:30:42] 我们写成一个图形发展。
[00:30:46] 新篇，
[00:30:47] 大家一起把它写下来，
[00:30:49] 谱写发展新篇也是可以的。
[00:30:52] 大家看所谓的测论文，
[00:30:53] 议论文，
[00:30:54] 其实有的时候就是它结构上多这一句或少这一句的问题，
[00:30:58] 其实一点都不难啊，
[00:31:00] 一点都不难，
[00:31:01] 大家一定把它搞定。
[00:31:02] 好吧，
[00:31:03] 有的同学还让我把就是那个标题再带入讲一下，
[00:31:07] 我们就不带着大家再讲标题了，
[00:31:10] 大家同意吗？
[00:31:11] 就是因为我们的标题上节课讲了我一节课就给大家讲一个知识点，
[00:31:16] 否则的话呢，
[00:31:17] 到最后就弄乱了，
[00:31:18] 如果你真想加标题的话。
[00:31:20] 标题的前半句应该等于什么？
[00:31:23] 不就是应该等于对策吗？
[00:31:25] 标题的后半句不就是应该等于一个影响吗？
[00:31:28] 对策不就是在说优化。
[00:31:30] 营商。
[00:31:32] 环境吗？
[00:31:34] 各位同学们，
[00:31:35] 影响应该怎么写？
[00:31:37] 影响不就是可以写成推动。
[00:31:41] 高质量。
[00:31:43] 还有一个叫什么？
[00:31:45] 推动高质量什么发展吗？
[00:31:48] 现在能够听清楚了不？
[00:31:50] 同学们，
[00:31:50] 就是有一个就行了啊，
[00:31:52] 否则的话呢，
[00:31:53] 我们每一节课都要重复讲。
[00:31:56] 我们相关的内容就搞不定好了，
[00:31:59] 那我问大家一下，
[00:32:00] 你觉得这个题干当中能不能这是也是一个单主题的？
[00:32:05] 这个题干当中能不能直接看出分论点？
[00:32:09] 同学们告诉我，
[00:32:10] 你会发现题干当中没有任何有效的信息，
[00:32:14] 是看不出来分论点的。
[00:32:16] 看不出来分论点，
[00:32:17] 我们应该怎么办？
[00:32:18] 同学们，
[00:32:19] 我们就应该从材料当中找题干，
[00:32:21] 能看出来就从题干找题干，
[00:32:24] 看不出来就从材料当中找。
[00:32:26] 好了，
[00:32:26] 我再给大家一起往下走，
[00:32:28] 大家来看一下这个题目，
[00:32:31] 告诉我先读断首句，
[00:32:33] 这个断首句是在说。
[00:32:35] 对策还是在说影响同学们是不是追寻长期价值，
[00:32:39] 它是在说一个对策，
[00:32:41] 这个纯粹追寻长期价值。
[00:32:44] 它都能作为标题，
[00:32:45] 作为标题的应该是总论点还是应该是分论点，
[00:32:50] 这个肯定是一个总论点吧。
[00:32:52] 那我们找分论点，
[00:32:54] 主要是找什么找分论点，
[00:32:56] 主要是找哪一个要素？
[00:32:58] 有没有同学告诉我？
[00:33:00] 是不是应该找对策这个要素啊？
[00:33:02] 找对策这个要素，
[00:33:04] 我们来看一下断尾句。
[00:33:06] 断尾句，
[00:33:07] 大家看有一个不惧短期挫折，
[00:33:10] 有一个抵御短期诱惑，
[00:33:13] 有一个心怀信念，
[00:33:15] 有一个。
[00:33:16] 投入。
[00:33:17] 请问大家一下，
[00:33:18] 有的同学在考试的时候就把这个当成分裂点了，
[00:33:22] 把这个当成分裂点了，
[00:33:23] 把这个当成分裂点了，
[00:33:25] 还有把这个当成分裂点了。
[00:33:27] 请问一下，
[00:33:27] 可以还是不可以？
[00:33:29] 可以的话给老师敲个一，
[00:33:30] 不可以的话给老师敲个二，
[00:33:32] 各位我觉得也是没有问题的，
[00:33:34] 你自圆其说也就可以了。
[00:33:36] 但是还有的同学呢，
[00:33:39] 他把。
[00:33:39] 这个当成的分论点，
[00:33:41] 把这个也当成了分论点，
[00:33:43] 请问大家一下，
[00:33:44] 他就写两个增加作为分论点，
[00:33:47] 你们觉得可以不？
[00:33:48] 各位，
[00:33:49] 他把两个增加当成分类点，
[00:33:51] 你觉得可以吗？
[00:33:52] 我觉得也可以，
[00:33:53] 但是我问大家一下，
[00:33:55] 这个题目要求我们是多少个字？
[00:33:57] 1000字到1200字，
[00:33:59] 请问同学们，
[00:34:00] 如果你想把它写成1200字，
[00:34:03] 在考试的时候你只写两个分论点，
[00:34:07] 你觉得待会凑字数你难。
[00:34:09] 还是不难，
[00:34:10] 哪位同学可以告诉我难还是不难，
[00:34:13] 各位到时候你连凑字数你都不一定能够凑得齐，
[00:34:16] 就你们那个小样子，
[00:34:18] 我大体的来讲，
[00:34:19] 我可以脑补一下。
[00:34:21] 所以这个时候别着急，
[00:34:23] 再看看断尾句，
[00:34:24] 哎，
[00:34:24] 这里面有一个主体，
[00:34:26] 这里面有一个对策。
[00:34:28] 这里面有一个影响好，
[00:34:30] 再看看断尾句，
[00:34:32] 哎，
[00:34:32] 这里面有一个主体，
[00:34:34] 这里面有一个对策，
[00:34:36] 哎，
[00:34:36] 这里面有一个影响。
[00:34:38] 再扫一眼，
[00:34:39] 有一个主体，
[00:34:41] 有一个对策，
[00:34:42] 有一个。
[00:34:43] 影响有一个主体，
[00:34:45] 有一个对策，
[00:34:47] 有一个影响。
[00:34:48] 各位，
[00:34:49] 这个时候它出现了一二。
[00:34:52] 三还有一个四，
[00:34:53] 请问大家下这四个点，
[00:34:56] 你们觉得我们在考试的时候是用下面这四个点作为分论点好。
[00:35:02] 还是用前面的这两个点，
[00:35:04] 或者是像这样的，
[00:35:06] 它不是那么对账工整的点，
[00:35:08] 作为分论点更好。
[00:35:09] 选择第一种的打个一，
[00:35:11] 选择第二种的打个二，
[00:35:13] 选择第三种的打个三，
[00:35:15] 各位我再给大家说一下，
[00:35:17] 一定是选择第三种。
[00:35:19] 好了，
[00:35:19] 那么当年很多同学选择了第三种，
[00:35:22] 在考试的时候，
[00:35:24] 他脑子当中就怎么样一下子短路了？
[00:35:28] 他就说。
[00:35:28] 哎呀，
[00:35:29] 我就写三个分论点吧，
[00:35:31] 然后个人企业还有政府，
[00:35:33] 而没有写社会，
[00:35:35] 或者只写了企业，
[00:35:36] 政府和社会没有写个人。
[00:35:39] 请问大家一下，
[00:35:40] 这样写可以不可以？
[00:35:42] 算不算跑题？
[00:35:43] 哪位同学可以告诉我？
[00:35:45] 各位记住了，
[00:35:46] 这样写当然是可以。
[00:35:48] 但是可以完了之后，
[00:35:50] 我问大家一下，
[00:35:52] 如果你和我都是写这个资产段，
[00:35:55] 你写了三个分论点我。
[00:35:57] 出来之后写了四个分论点，
[00:35:59] 你觉得如果我们其他方面都一样，
[00:36:02] 你觉得最后是你得分高还是我得分高？
[00:36:06] 是第三种得分高，
[00:36:07] 还是第四种得分高？
[00:36:09] 各位给老师打在评论区，
[00:36:11] 你写三个分论点，
[00:36:12] 当然不能算你跑题，
[00:36:14] 但是你不够心狠手辣。
[00:36:15] 最终的话呢，
[00:36:16] 被淘汰的那个人一定是你现在听懂了吗？
[00:36:20] 同学们，
[00:36:20] 很多同学那一年出了考场之后就来找我，
[00:36:24] 连麦说东哥说我就写了三个分论点，
[00:36:26] 我老后悔了，
[00:36:27] 我一个月都没睡着觉。
[00:36:29] 真的是这个样子的，
[00:36:31] 你明明本身是可以全部把它搞定的，
[00:36:34] 结果你没有心狠手辣，
[00:36:36] 最后就不行了，
[00:36:37] 好了，
[00:36:37] 那我们把这个分论点带着大家写一下。
[00:36:40] 这个题目让我们写的是议论文或这个题目让我们写的是一篇文章，
[00:36:47] 那我们分论点的形式。
[00:36:49] 应该最好写成哪一种形式？
[00:36:51] 有没有同学能够告诉我分论点最好写成哪一种形式？
[00:36:56] 是不是要写成总论点加对策，
[00:36:59] 再加上影响的形式啊，
[00:37:01] 这个大家同意吗？
[00:37:03] 好了，
[00:37:04] 你看一下东哥是怎么给你写的啊？
[00:37:06] 大家看总论点应该是什么？
[00:37:09] 大家一起写下来是不是叫？
[00:37:11] 追求。
[00:37:12] 长期。
[00:37:15] 价值给老师一起把它搞定，
[00:37:18] 追求长期价值好了，
[00:37:20] 我们带着大家写第一个分论点。
[00:37:23] 请问大家一下，
[00:37:24] 你觉得这句话我们在考试的时候最好是把它写进去，
[00:37:28] 还是不把它写进去？
[00:37:30] 哪位同学能够告诉我？
[00:37:32] 在考试的时候，
[00:37:33] 我给大家说一下，
[00:37:35] 宁赖无缺把它写进去，
[00:37:37] 追寻长期而价值是。
[00:37:39] 一种。
[00:37:41] 清醒一起把它搞定，
[00:37:43] 是一种清醒OK，
[00:37:45] 然后写完了这个之后接着总论点，
[00:37:48] 写完了之后要写什么呢？
[00:37:51] 这是对总论点的解释是吗？
[00:37:54] 然后是不是要写对策了？
[00:37:56] 对策大家来看一下，
[00:37:58] 就在这个地方。
[00:37:59] 就在这个地方出现了一个对策，
[00:38:02] 大家一起写虚。
[00:38:04] 个人。
[00:38:06] 建立。
[00:38:09] 理性认知。
[00:38:11] 理性。
[00:38:14] 认知一起把它搞定好了，
[00:38:17] 那么它会产生一个影响，
[00:38:19] 这个影响请问是在说什么影响？
[00:38:22] 是不是繁杂噪声啊？
[00:38:25] 所以大家一起写，
[00:38:26] 避免把最重要的词一定要写进去。
[00:38:30] 繁杂。
[00:38:32] 噪声，
[00:38:32] 你们给我一起写啊，
[00:38:34] 我看哪个同学能够写的比我更全，
[00:38:36] 我最重要的词一定要把它给我踩中。
[00:38:39] 好了，
[00:38:40] 我再带着大家写第二个分论点，
[00:38:43] 大家看对于企业，
[00:38:45] 它是一种格局，
[00:38:46] 这是一个解释。
[00:38:47] 所以，
[00:38:48] 追寻强制价值是一种。
[00:38:51] 格局哎，
[00:38:51] 又把它搞定了，
[00:38:53] 然后接着东哥说了要写对策，
[00:38:56] 这个对策呢，
[00:38:57] 要求企业不断进化，
[00:38:59] 所以大家一起写。
[00:39:01] 需我们尽量的把它处理的对账公正，
[00:39:04] 它在材料当中不对账，
[00:39:06] 我们一起写需企业。
[00:39:08] 谋求。
[00:39:10] 进化。
[00:39:13] 发展一起把它搞定。
[00:39:15] 好了，
[00:39:16] 大家写不断创造价值，
[00:39:18] 不断创造价值，
[00:39:20] 大家一起写不断。
[00:39:22] 创造。
[00:39:24] 价值。
[00:39:26] 你看又可以把它搞定了，
[00:39:28] 现在大家能够听懂了吗？
[00:39:30] 好了，
[00:39:30] 我问大家一下，
[00:39:31] 第三个分论点就是从这儿到这儿，
[00:39:34] 哪位同学能够给老师写出来？
[00:39:36] 首先，
[00:39:37] 这是一种担当，
[00:39:38] 我还是要把它写进去是一种。
[00:39:42] 担当OK，
[00:39:43] 然后接着你给我写对策，
[00:39:48] 对策是什么虚？
[00:39:50] 这是谁来干政府？
[00:39:52] 大家一起写需政府。
[00:39:55] 你看我主体都没漏，
[00:39:56] 我基本上没漏任何一个词，
[00:39:58] 不管哪个机构的答案，
[00:40:00] 它就很难超越我，
[00:40:01] 不管哪个命题人，
[00:40:02] 他也很难超越我，
[00:40:04] 我一定不要漏词。
[00:40:05] 区政府干什么？
[00:40:06] 这上面有一个词，
[00:40:08] 立足长期利益。
[00:40:09] 立足。
[00:40:11] 长期。
[00:40:13] 例一一起把它搞定。
[00:40:16] 立足长期利益好了，
[00:40:18] 然后会致力长远发展。
[00:40:21] 智力。
[00:40:23] 长远。
[00:40:26] 发展一起把它搞定好了，
[00:40:28] 我再问大家一下，
[00:40:29] 大家来看一下下面应该怎么把它搞定？
[00:40:33] 就是对于社会而言，
[00:40:35] 是一种热诊好，
[00:40:36] 大家先把这句话去解释一下。
[00:40:40] 然后你给我把对策写出来，
[00:40:44] 需谁？
[00:40:45] 虚谁呀？
[00:40:46] 看有没有同学能够写的比我更好，
[00:40:49] 虚社会。
[00:40:50] 大家把社会给老师打出来。
[00:40:53] 去社会，
[00:40:53] 大家一起写长期发展，
[00:40:56] 前面加一个动词，
[00:40:58] 尽量做到对账工整致力。
[00:41:00] 长期。
[00:41:03] 发展一起把它搞定。
[00:41:05] 好了，
[00:41:06] 最终呢，
[00:41:07] 形成正向循环，
[00:41:09] 形成正向循环，
[00:41:10] 也是一个对策形成。
[00:41:13] 正向。
[00:41:14] 循环。
[00:41:16] 一起把它搞定好了，
[00:41:18] 我现在为大家下有没有同学提前预习了这些课，
[00:41:21] 你觉得你的答案能不一定比我的答案，
[00:41:25] 你的答案肯定比我的答案更好，
[00:41:27] 但是你的答案。
[00:41:28] 有没有能够比我覆盖更多的词？
[00:41:31] 应该没有吧，
[00:41:32] 同学们一定记住了哈，
[00:41:33] 在考试的时候我们最重要的词，
[00:41:36] 把它给我覆盖到位，
[00:41:38] 我再给大家看一下。
[00:41:39] 你们觉得东哥的这个分论点写的行还是不行，
[00:41:43] 大家看这一句话就是在说总论点这一句话就是在说对策。
[00:41:48] 这一句话就是在说一个影响，
[00:41:50] 整体来讲，
[00:41:51] 做到对账工整也就可以了，
[00:41:54] 现在清晰了吧？
[00:41:55] 各位那么有的同学说老师，
[00:41:57] 我想把它润色一下，
[00:41:59] 各位你们觉得如果想润色的话。
[00:42:02] 可不可以润色对策，
[00:42:04] 需在个人建立理性认知上加三个字，
[00:42:09] 你们会加哪三个字？
[00:42:11] 同学们，
[00:42:12] 加那三个字是不是叫动真格呀？
[00:42:16] OK，
[00:42:16] 然后需要在企业谋划谋求进化发展上加三个字加哪三个字做文章啊？
[00:42:24] 好需要在城政府那么哎，
[00:42:28] 立足长期利益上再给大家。
[00:42:32] 加几个字下功夫啊，
[00:42:34] 需要社会致力长远发展商再加四个字谋突破呀。
[00:42:40] 大家觉得行不？
[00:42:42] 那么，
[00:42:42] 如果大家想替换的话，
[00:42:44] 还有可以见真章，
[00:42:46] 大家觉得可以吧？
[00:42:48] 还有可以什么？
[00:42:49] 出十张，
[00:42:50] 大家觉得可以吧？
[00:42:51] 还有什么哪位同学可以告诉我？
[00:42:54] 求实效，
[00:42:55] 大家觉得可以吧？
[00:42:57] 我再给大家说一下，
[00:42:58] 你觉得到现在为止，
[00:43:00] 觉得有进步吗？
[00:43:01] 各位到现在为止有没有点进步？
[00:43:04] 你看我每一节课都是环环相扣，
[00:43:06] 这个研发给你做的。
[00:43:08] 还是比较细致的啊，
[00:43:10] 好了，
[00:43:10] 大家再来看一下这个题目，
[00:43:13] 我问大家一下，
[00:43:14] 你们觉得在。
[00:43:15] 题目当中，
[00:43:16] 他突然给了我们这样的一句话，
[00:43:19] 这样的一句话，
[00:43:20] 要求对提升治理效能，
[00:43:22] 谈谈你的启示，
[00:43:23] 然后他的题目叫智慧。
[00:43:25] 请问我问大家一下，
[00:43:26] 这个题目拿到这种题目突然出现了这样一句话，
[00:43:30] 你觉得应该怎么办？
[00:43:32] 大家一起给老师。
[00:43:33] 找出来叫回归材料。
[00:43:37] 回归材料。
[00:43:39] 然后找到。
[00:43:43] 出处找到出处好了，
[00:43:45] 我问大家一下这个题目的分论点，
[00:43:49] 要回归材料的话。
[00:43:51] 应该是找什么？
[00:43:52] 因为我们的像东哥这样的智商比较比较差一点，
[00:43:55] 然后呢？
[00:43:55] 我呢？
[00:43:56] 实在是搞不了，
[00:43:57] 太复杂的，
[00:43:57] 如果对策和影响都找的话，
[00:43:59] 我脑袋就会冒烟。
[00:44:00] 请问应该找什么？
[00:44:02] 是不是应该找对策呀？
[00:44:04] 好了，
[00:44:05] 那我们最好呢，
[00:44:06] 先去定位材料，
[00:44:07] 这句话到底是在材料当中哪个地方出现的？
[00:44:12] 大家来看一下，
[00:44:13] 他就在材料的最后一段出现的最后一段出现了这句话，
[00:44:19] 然后在这句话大家一起写。
[00:44:21] 就近。
[00:44:23] 原则一起把它搞定，
[00:44:25] 你既然说物无妄然，
[00:44:27] 必有其理，
[00:44:28] 我就要知道这个理到底对应的是。
[00:44:32] 什么对策？
[00:44:34] 好了，
[00:44:34] 所有的同学们，
[00:44:36] 抓紧时间看一下这个里的对策，
[00:44:39] 能不能直接给老师看出来？
[00:44:41] 物无妄然，
[00:44:42] 必有其理。
[00:44:43] 这个理的对策能不能直接给老师看出来，
[00:44:47] 认真的看一下到底这个理是指什么？
[00:44:50] 物无妄然，
[00:44:51] 必有其理。
[00:44:53] 你会发现，
[00:44:54] 我觉得遵循自然规律，
[00:44:56] 可以解释这个理，
[00:44:59] 大家现在能够听懂了吗？
[00:45:02] 这个因地制宜，
[00:45:03] 说的还不太好，
[00:45:04] 遵循自然规律才是他真正的一个理，
[00:45:08] 所以大家给老师一起写下来。
[00:45:10] 物无无无，
[00:45:11] 妄然必有其理。
[00:45:12] 我们要把它写成一个议论文，
[00:45:15] 它的议论文的模式应该是什么样子的？
[00:45:18] 是不是叫总论点加分加什么加对策，
[00:45:21] 再加上一个影响啊，
[00:45:23] 但是我问大家一下，
[00:45:25] 如果总论点加对策加影响考试的时候，
[00:45:29] 如果非要省掉一个。
[00:45:30] 请问可以省掉哪一个？
[00:45:33] 我给大家反复讲过，
[00:45:34] 这是第一个，
[00:45:35] 这是第二个，
[00:45:36] 这是第三个，
[00:45:37] 如果写成议论文的话，
[00:45:39] 非要省掉一个，
[00:45:40] 是可以把总论点省掉的，
[00:45:42] 不是要省掉影响。
[00:45:43] 是可以省掉总论点的，
[00:45:45] 听懂了吗？
[00:45:46] 是可以省掉总论点的，
[00:45:48] 你这是一个议论文，
[00:45:50] 议论文记住了，
[00:45:51] 尽量的把分类点当中的对策和影响。
[00:45:54] 都写上去好吧，
[00:45:56] 记住了啊，
[00:45:57] 你的分论点既可以写成总论点加对策，
[00:46:01] 再加上影响的模式。
[00:46:03] 还可以写成对策加影响的模式，
[00:46:06] 现在听懂了吗？
[00:46:07] 这两种是一个意思，
[00:46:09] 这个总论点写和不写都是可以的。
[00:46:12] 好了，
[00:46:12] 我问大家一下，
[00:46:14] 这个分论点要写遵循自然规律，
[00:46:16] 大家把它给老师交代评论区。
[00:46:19] 遵循。
[00:46:21] 自然。
[00:46:25] 发展规律。
[00:46:27] 先把它写下来，
[00:46:28] 多一个发展无所谓，
[00:46:30] 你也可以写成遵循自然规律，
[00:46:33] 各位遵循自然规律，
[00:46:34] 这是一个对策。
[00:46:36] 我想补一个影响。
[00:46:38] 大家能不能给老师？
[00:46:40] 看到哪个影响你会发现它绿色发展了，
[00:46:44] 那么大家可以写实现绿色发展。
[00:46:48] 一起把它打下来，
[00:46:50] 实现绿色。
[00:46:51] 还有一个发展，
[00:46:53] 一起把它打下来，
[00:46:55] 还可以写成什么？
[00:46:57] 还可以写成提升。
[00:47:00] 环境。
[00:47:02] 治理水平。
[00:47:04] 提升环境治理水平，
[00:47:07] 记住影响不是唯一的，
[00:47:09] 还可以写什么，
[00:47:11] 还可以写成叫。
[00:47:13] 实现人与自然平衡发展。
[00:47:16] 实现人与自然平衡发展，
[00:47:18] 这个材用材料当中的原词原句也就行，
[00:47:21] 但是有的同学说老师我想加一个。
[00:47:24] 总论点，
[00:47:25] 请问大家一下这个题目的总论点，
[00:47:28] 你们知道是什么吗？
[00:47:30] 哪位同学可以告诉我？
[00:47:31] 哪位同学可以告诉我这个题目的总论点，
[00:47:37] 你既可以用智慧。
[00:47:40] 又可以用提升治理效能，
[00:47:42] 都是可以的，
[00:47:43] 也就是提升治理效能需要遵循自然发展规律，
[00:47:47] 提升环境治理水平。
[00:47:49] 听懂了吗啊，
[00:47:50] 还可以写那么要想做到智慧啊，
[00:47:53] 就是呃，
[00:47:54] 就是智慧需要我们啊，
[00:47:56] 遵循自然发展规律呃，
[00:47:58] 智智慧是指需要遵循自然发展规律。
[00:48:02] 提升环境治理水平，
[00:48:04] 记住了我们在考试的时候第三种写成议论文的时候，
[00:48:09] 你既可以写成总论点加对策。
[00:48:12] 再加上一个影响。
[00:48:14] 也可以写成一个对策，
[00:48:16] 再加上一个影响大家现在觉得能过的话就给老师打个过。
[00:48:22] 能过的话就给老师打个过，
[00:48:24] 各位一定把这个事情给老师记好了啊。
[00:48:27] 好嘞。
[00:48:29] 另外一个这个题目我要给大家讲的是在找分论点的时候，
[00:48:34] 除了因为刚才是定位，
[00:48:36] 还有一个。
[00:48:37] 要读手段。
[00:48:39] 或者是一个尾段，
[00:48:41] 有没有同学告诉我为什么要读首段和尾段，
[00:48:45] 哪位同学可以告诉东哥？
[00:48:48] 为什么要读首段和尾段？
[00:48:51] 哪位同学可以告诉我是不是就是从这个地方？
[00:48:56] 然后到。
[00:48:58] 哪个地方？
[00:49:00] 然后到这个地方都是在干什么？
[00:49:03] 都是在举了一个。
[00:49:05] 例子大家发现了吗？
[00:49:07] 都是在举了一个例子，
[00:49:09] 这个例子它是指的一个枫林村的例子，
[00:49:13] 最后一个自然段是在干什么？
[00:49:15] 哪位同学告诉我。
[00:49:17] 是不是在做了一个规范性或总结性的表述，
[00:49:21] 现在大家清晰了吗？
[00:49:23] 好了，
[00:49:23] 我现在问大家一下啊。
[00:49:26] 就是它是一个例子，
[00:49:27] 它是一个规范性和总结性的表述，
[00:49:31] 我们在找分论点的时候是从例子当中找，
[00:49:34] 还是从规范性总结性的？
[00:49:37] 段落当中去找，
[00:49:38] 记住我跟你说的话，
[00:49:40] 一定是从规范性，
[00:49:41] 总结性的表述当中去找，
[00:49:43] 现在大家能够过的话。
[00:49:45] 就给老师打个过好了，
[00:49:47] 这第一个分论点，
[00:49:49] 我们也就把它找出来了，
[00:49:50] 再接着带着大家看一下第二个分论点。
[00:49:54] 大家来看一下。
[00:49:55] 那么，
[00:49:56] 在看第二个分论点之前，
[00:49:58] 我问大家一下，
[00:49:59] 我们的分论点可以来源于什么地方？
[00:50:02] 哪位同学可以告诉我？
[00:50:04] 我们的分论点第一个可以来源于题干。
[00:50:08] 第二个可以来源什么？
[00:50:10] 可以来源于材料对吧？
[00:50:12] 第三个我再给大家说一下，
[00:50:15] 可以来源于。
[00:50:16] 其他小吉。
[00:50:18] 我问大家一下，
[00:50:20] 分论点为什么能够来自于其他的小题，
[00:50:24] 有哪个同学给我讲一下它的科学性？
[00:50:28] 是因为其他的小题本质上就是对材料的一个高度的概括。
[00:50:36] 现在大家能够听懂了吧，
[00:50:38] 其他的小题本质上就是对材料的高度的概括，
[00:50:42] 比如说我们。
[00:50:43] 问一下，
[00:50:44] 所有的同学们，
[00:50:46] 当你在考试的时候拿到试卷，
[00:50:49] 你是先看前面的材料还是先看后面的？
[00:50:52] 题目拿到申论啊，
[00:50:54] 行测不说，
[00:50:55] 各位如果是我的话，
[00:50:57] 我会先看后面的题目，
[00:50:59] 因为材料太多了。
[00:51:01] 我这个时候先读一下题目，
[00:51:03] 我就知道大体后面的材料是在围绕哪几个主题，
[00:51:07] 说的好了，
[00:51:08] 大家看第一个自然段，
[00:51:10] 我们刚才读完了。
[00:51:11] 但是第二个自然段，
[00:51:13] 我们大家下物妄然，
[00:51:15] 必有其理。
[00:51:16] 他要遵循规律的话，
[00:51:18] 你觉得大概率是应该遵循什么方面的规律？
[00:51:23] 是不是要遵循？
[00:51:24] 唱戏的规律啊，
[00:51:26] 是不是要遵循重戏的规律啊？
[00:51:29] 你看也就把它搞定了，
[00:51:31] 然后呢，
[00:51:31] 接着第三个自然第三个小题。
[00:51:34] 我问大家一下，
[00:51:35] 第三个客观题，
[00:51:36] 如果非要遵循规律的话，
[00:51:38] 你看这里面有没有和规律能够直接发生关系的？
[00:51:42] 我问大家一下，
[00:51:43] 道和规律能够发生关系吗？
[00:51:46] 请问大家一下，
[00:51:47] 道和规律它们之间有没有关系？
[00:51:50] 你会发现。
[00:51:51] 它是有关系的吧，
[00:51:53] 本身就是近义词吧，
[00:51:55] 这个时候我们可以遵循什么规律，
[00:51:58] 是不是遵循社区治理规律啊？
[00:52:00] 好了，
[00:52:01] 那我们看一下第四个材料，
[00:52:03] 你依然要想到第四个材料，
[00:52:06] 它能不能和规律之间有某一种关系，
[00:52:09] 或者某一种联系？
[00:52:11] 你们我问大家一下可以吗？
[00:52:14] 请问大家一下z市人行道它存在问题，
[00:52:18] 要治理它需不需要遵循我们z市的？
[00:52:21] 治理规律，
[00:52:22] 你会发现是可以的，
[00:52:24] 所以啊，
[00:52:25] 我们很多的分论点，
[00:52:27] 其实你可以通过。
[00:52:28] 其他的客观小题去印证，
[00:52:31] 我现在讲清楚的话，
[00:52:33] 你们就给老师打飞机。
[00:52:35] 听明白了吗？
[00:52:36] 啊，
[00:52:36] 这也是一个思路，
[00:52:38] 好了，
[00:52:38] 那有的同学不放心，
[00:52:40] 没关系，
[00:52:40] 我们这第一个自然段已经看完了，
[00:52:43] 这是我们的第一个分论点。
[00:52:45] 这个大家觉得可以过的话，
[00:52:46] 就给老师打个过。
[00:52:48] 你看啊，
[00:52:48] 它的分论点呢，
[00:52:50] 有的时候是来源于一亿则材料，
[00:52:52] 有的时候还需要来自于其他的材料。
[00:52:56] 我再给大家来看一下下面的这个。
[00:52:58] 各位，
[00:52:59] 请问大家一下材料二，
[00:53:01] 我一看曹团长，
[00:53:02] 他是在讲什么？
[00:53:04] 哪位同学可以告诉我？
[00:53:06] 是不是就是在讲一个故事啊？
[00:53:08] 遇到这种故事，
[00:53:10] 我如果想加快我的做题速度，
[00:53:13] 请问是读每一个故事的段首句段尾句？
[00:53:16] 还是怎么办？
[00:53:18] 还还是怎么办？
[00:53:19] 记住了，
[00:53:20] 那么如果有故事的话，
[00:53:23] 你优先找一下有没有总结段？
[00:53:26] 总结段一般它会在什么位置？
[00:53:30] 是不是在首段？
[00:53:32] 是不是在尾段呀？
[00:53:34] 好了，
[00:53:34] 我们就一直往下看，
[00:53:36] 看看是否是这个样子的，
[00:53:38] 大家来看一下，
[00:53:39] 这里边有最后的一句话，
[00:53:42] 刚才是叫遵循。
[00:53:43] 自然发展规律最后的这段话当中，
[00:53:46] 有没有和遵循规律比较相关的词？
[00:53:50] 这是一个断首句，
[00:53:51] 这是一个断尾句。
[00:53:53] 请问大家一下，
[00:53:54] 这一段哪一个和规律有关系？
[00:53:57] 这上面是不是在写了一个戏曲的规律啊？
[00:54:01] 但是我们刚才说的是自然的规律，
