[00:01:18] 大家现在能够听见吗？
[00:25:29] 也就是赢得了村民的接纳。
[00:25:32] 赢得了对于谁有影响，
[00:25:34] 对于村民有影响，
[00:25:37] 赢得了。
[00:25:37] 村民。
[00:25:39] 的谢娜一起把它搞定。
[00:25:44] 好了，
[00:25:44] 接着你如果还想加影响的话，
[00:25:47] 怎么加你看啊？
[00:25:48] 这些群众有什么困难愿意跟他讲了，
[00:25:51] 大家能不能根据这句话给我转化成一个规范的表述？
[00:25:56] 原来你和你老婆两个人，
[00:25:58] 你们俩有任何事情，
[00:26:00] 他不跟你讲，
[00:26:00] 现在他愿意跟你讲了，
[00:26:02] 这个时候你不要烦你的老婆。
[00:26:04] 证明你的老婆和你的关系更近了是吧，
[00:26:08] 从而密切了干群关系，
[00:26:10] 大家一起写密切。
[00:26:12] 干群。
[00:26:14] 关系。
[00:26:16] 最终的话呢，
[00:26:17] 凝聚了人心啊，
[00:26:19] 凝聚了，
[00:26:20] 凝聚了人心也就可以了，
[00:26:22] 好了，
[00:26:23] 这个成型了，
[00:26:24] 大家看。
[00:26:25] 这是一个问题，
[00:26:26] 这个是一个主体，
[00:26:28] 这个是一个对策，
[00:26:30] 这个是一个对策，
[00:26:31] 这个是一个对策，
[00:26:33] 这个是影响。
[00:26:34] 这是影响，
[00:26:35] 这是影响，
[00:26:36] 你们觉得可以不？
[00:26:38] 可以的话就给老师打个过各位这个例子改写的如此的朴实无华。
[00:26:43] 但是大家有没有觉得这个例子从文采上来讲是一般的，
[00:26:49] 就是这个材料当中的例子从文采上来讲。
[00:26:53] 是一般的，
[00:26:54] 我们如果想得高分，
[00:26:56] 应该怎么办？
[00:26:57] 我们除了结合给定材料，
[00:26:59] 还可以干什么？
[00:27:01] 还可以叫不拘泥于给定材料。
[00:27:04] 不拘泥于给定材料，
[00:27:06] 我就问大家一下，
[00:27:07] 就需要我们能够联系社会实际。
[00:27:10] 哎，
[00:27:10] 就是你会发现像这样的凝聚人心的，
[00:27:14] 它是不是一个积极的事情？
[00:27:18] 是不是一个正能量的事情？
[00:27:20] 这个积极的正能量的事情，
[00:27:22] 我有没有让大家去背一下？
[00:27:24] 同学们认真的想一下。
[00:27:26] 之前我给大家举过了吧，
[00:27:28] 这个时候35年坚守太行山的新愚公李保国现身教育扶贫，
[00:27:33] 点燃大山女孩希望的张桂梅。
[00:27:36] 用实干兑现水过不去，
[00:27:38] 拿命来铺十年的黄大发回乡奉献，
[00:27:41] 谱写新时代青春之歌的黄文秀扎根脱贫一线。
[00:27:45] 鞠躬尽瘁的黄石燕等同志，
[00:27:47] 大家觉得可以不？
[00:27:49] 好吧，
[00:27:50] 当然我写完了例子之后，
[00:27:52] 我反复给大家说过，
[00:27:54] 你可以点评一下点评，
[00:27:56] 主要点评什么？
[00:27:57] 主要点评对策，
[00:27:58] 他干了什么事？
[00:28:00] 主要点评影响产生了一个什么样的结果是吧？
[00:28:04] 那么对策这些人干的事情。
[00:28:06] 他肯定是和从心出发嘛，
[00:28:08] 你稍微的改写一下，
[00:28:10] 叫心中有人民是吧？
[00:28:11] 那么最终的话呢，
[00:28:12] 就是影响畅通的心路，
[00:28:14] 凝聚的民心，
[00:28:15] 拉近了民心也就可以了。
[00:28:17] 好了，
[00:28:17] 这个就是我们的一个例子，
[00:28:20] 那么这个例子结束了之后，
[00:28:22] 我们要回扣一下我们的分论点，
[00:28:25] 怎么回扣你可以增加句子？
[00:28:28] 怎么回扣？
[00:28:29] 你可以改写句子，
[00:28:31] 怎么回扣？
[00:28:32] 你可以调换顺序，
[00:28:34] 大家看从新出发，
[00:28:36] 从新出发。
[00:28:37] 好吧，
[00:28:38] 从新出发，
[00:28:39] 从新出发，
[00:28:40] 然后呢，
[00:28:41] 各位最后它能够凝聚人心，
[00:28:43] 畅通心路，
[00:28:44] 哎呀，
[00:28:44] 对于乡村振兴有好处，
[00:28:47] 随便扯一句话也就可以了。
[00:28:49] 现在大家觉得让你背的这个东西重要还是不重要？
[00:28:54] 各位，
[00:28:55] 我为什么让大家积累一点东西啊？
[00:28:57] 对于有的同学呢，
[00:28:59] 你如果学习成绩比较好，
[00:29:01] 自己肚子里面货就比较多，
[00:29:03] 你完全没有必要背。
[00:29:04] 但是如果你的积累不够的话，
[00:29:07] 那么我觉得大家适当的把这些东西准备好，
[00:29:10] 我觉得也是没有问题的，
[00:29:12] 比如说你考选调生。
[00:29:13] 比如说你考现象类的卷子，
[00:29:16] 他猛不丁的要考一个与人的精神品质。
[00:29:21] 与人的这种成功学是有关系的，
[00:29:24] 你说你这个背下来之后，
[00:29:26] 你觉得可以不？
[00:29:27] 各位，
[00:29:28] 这句话可不是袁东老师写的，
[00:29:31] 这句话是我们。
[00:29:32] 来自于脱贫攻坚大会上的人写的，
[00:29:35] 他是有很多的，
[00:29:37] 就是中办的中央政策研究室的人呢写的，
[00:29:40] 所以你站在他们的。
[00:29:42] 肩膀上的话呢，
[00:29:43] 就能够成为更高的巨人，
[00:29:46] 多好啊，
[00:29:46] 是吧？
[00:29:47] 就能够成为更高的巨人，
[00:29:49] 多好啊，
[00:29:49] 好了。
[00:29:50] 这个也就过了，
[00:29:51] 接着我们再带大家写第二个分论点，
[00:29:54] 大家看第二个分论点拿到之后，
[00:29:57] 如果脑袋空白的话，
[00:29:58] 应该怎么办？
[00:29:59] 哪位同学可以告诉我，
[00:30:01] 脑袋空白的话，
[00:30:02] 第一句还是要写名言警句，
[00:30:05] 第二句要写影响。
[00:30:07] 第三句要写什么？
[00:30:08] 要写对策或者是例子。
[00:30:11] 第四句要回扣一下我们的分论点，
[00:30:14] 我这个都给大家说过了，
[00:30:17] 对吧？
[00:30:17] 下面这个名言警句，
[00:30:19] 大家关于这个心，
[00:30:21] 你能够想到哪个名言警句和艰辛有关的，
[00:30:25] 大家随便。
[00:30:26] 能不能想到我问大家一下，
[00:30:28] 可不可以这个艰辛能不能用那些万能的名言警句历尽天华成此景，
[00:30:35] 人间万事？
[00:30:36] 出艰辛，
[00:30:36] 大家觉得可以吧？
[00:30:38] 还有什么？
[00:30:39] 还有日日行，
[00:30:40] 不怕千万里，
[00:30:41] 常常做不怕千万事？
[00:30:43] 大家觉得和艰辛能不能挂上钩？
[00:30:46] 我觉得都是可可以的，
[00:30:48] 你这背了之后，
[00:30:49] 这白白的一分就拿去了，
[00:30:51] 咱不拿白不拿啊，
[00:30:53] 是不是？
[00:30:53] 同学们好了。
[00:30:54] 接着我们再带着大家来往下走啊，
[00:30:58] 我们接着再带着大家往下走，
[00:31:01] 下面说影响的话。
[00:31:03] 我能不能说大家告诉我下面，
[00:31:05] 如果说影响的话，
[00:31:07] 我能不能说说谁的影响，
[00:31:09] 说不畏艰辛的影响，
[00:31:11] 大家觉得行不？
[00:31:12] 那么，
[00:31:13] 不畏艰辛对谁有好处？
[00:31:15] 哪位同学可以告诉我，
[00:31:17] 不畏艰辛对政府有没有好处？
[00:31:19] 不畏艰辛，
[00:31:20] 对于我们的党员干部有没有好处？
[00:31:23] 不畏艰辛，
[00:31:24] 对于我们的群众有没有好处？
[00:31:27] 哎呀，
[00:31:27] 你随便想几个词也就行了，
[00:31:31] 不畏艰辛，
[00:31:32] 既体现了政府的叫什么以人为本的理念。
[00:31:37] 你就简单给我造句就可以了，
[00:31:41] 那么又能够展现我们党员干部的。
[00:31:45] 风采。
[00:31:46] 面貌大家觉得行吗？
[00:31:49] 好了，
[00:31:49] 还能实实在在的为老百姓，
[00:31:52] 大家再给老师想四个字。
[00:31:55] 你不畏艰辛之后，
[00:31:57] 能够为老百姓为什么要用四个字，
[00:32:00] 因为四平八稳，
[00:32:01] 大家给老师想下来就是排忧解难。
[00:32:04] 哎，
[00:32:05] 这个大家不一定跟我一样，
[00:32:07] 我喜欢用四个字的词作为一句话的结尾，
[00:32:10] 因为这样的话呢，
[00:32:11] 就能够显得我文风比较完整。
[00:32:14] 好了，
[00:32:14] 那么当然，
[00:32:15] 如果在考试的时候我就没有写这个影响行不行？
[00:32:19] 当然也是可以的，
[00:32:20] 那如果没有写这个影响，
[00:32:22] 我就要写一个对策。
[00:32:24] 尽量有一个规范的表述，
[00:32:26] 而不是直接上来就是直接举一个例子，
[00:32:29] 这个规范的表述我就直接写对策，
[00:32:32] 我写对策写什么对策？
[00:32:33] 写对策就是我们的对策，
[00:32:36] 就是要能够做到艰辛，
[00:32:39] 然后这样的话呢，
[00:32:41] 我们啊。
[00:32:41] 才我们。
[00:32:43] 谁做到艰辛党员干部，
[00:32:44] 做到艰辛大家看我就给大家写出来了，
[00:32:48] 如果你不写影响，
[00:32:49] 你就直接写主体，
[00:32:51] 你就就直接写对策，
[00:32:52] 你就直接写影响也是可以的。
[00:32:55] 中间呢，
[00:32:55] 你加几句废话是没有问题的，
[00:32:58] 加几个问题进去，
[00:32:59] 大家现在能够看懂了吗？
[00:33:01] 就是至于这句话，
[00:33:02] 你有和没有都是无所谓的。
[00:33:04] 好吧，
[00:33:05] 有和没有都是无所谓的，
[00:33:07] 或者这句话你要认真想一下我是怎么想出来的，
[00:33:11] 这个考验和挑战就是指的艰辛。
[00:33:14] 它会带来成功，
[00:33:15] 这个影响我就把它颠倒一下也就行了，
[00:33:19] 所以只要你能够啊。
[00:33:21] 不畏艰辛，
[00:33:22] 你就有可能成功，
[00:33:23] 但是我怕别人也这样说，
[00:33:25] 我就把它调反一下顺序，
[00:33:27] 然后我再说对策，
[00:33:29] 就是党员干部要能够有足够的耐烦，
[00:33:32] 对于艰辛要有足够的耐烦。
[00:33:34] 这样才能取得成功，
[00:33:36] 大家觉得可以吧，
[00:33:37] 这些我们也就给大家写完了。
[00:33:40] 好吧，
[00:33:40] 我就给大家写完了，
[00:33:42] 下面写完了，
[00:33:43] 这个话我没有话说了，
[00:33:46] 我就要举例子好了，
[00:33:47] 举例子我们还要找到这个艰辛。
[00:33:50] 请问举例子最重要的有四个要素是哪四个要素？
[00:33:55] 有没有同学能够告诉我？
[00:33:58] 第一个要素是不是最完整的，
[00:34:00] 要写一个问题啊。
[00:34:02] 第二个要素最完整的要找一个主体啊，
[00:34:05] 第三个要素最完整的要写一个对策呀。
[00:34:09] 第四个要素最完整的要写一个影响啊，
[00:34:13] 大家现在能够听懂了吧？
[00:34:15] 好了，
[00:34:16] 这个问题应该怎么干？
[00:34:18] 哪位同学可以直接告诉我这个问题应该怎么干？
[00:34:23] 这个问题我们不要着急，
[00:34:25] 你来看一下。
[00:34:26] 一二三四他说的核心的问题，
[00:34:30] 你们知道是什么吗？
[00:34:32] 就是大家盼望道路能够加固。
[00:34:35] 能够硬化，
[00:34:37] 也就是代表村民有修路的需求，
[00:34:41] 也就是直接写面对。
[00:34:43] 村民的修路需求，
[00:34:45] 你稍微的把它改写一下，
[00:34:49] 不用完全直接招材料。
[00:34:52] 面对村民的修路的需求也就可以了，
[00:34:55] 下面这个主体哪位同学可以直接告诉我。
[00:34:59] 主体是指谁？
[00:35:01] 主体是指的马潇，
[00:35:03] 这个马潇又是指的谁？
[00:35:05] 各位马潇，
[00:35:06] 你会发现他就是一个普通的党员干部。
[00:35:11] 所以大家一起写党员干部马骁，
[00:35:14] 或者你就直接写马骁都是可以的，
[00:35:17] 就是。
[00:35:17] 党员干部。
[00:35:20] 党员干部马潇一起把它搞定。
[00:35:24] 好了，
[00:35:24] 我问大家一下，
[00:35:26] 他干了什么样的事情，
[00:35:28] 能不能直接告诉我，
[00:35:30] 你会发现他干的事情一定和和心有关，
[00:35:34] 所以大家一起写叫。
[00:35:36] 不辞辛苦。
[00:35:37] 不辞。
[00:35:40] 辛苦那么是一条艰辛之路，
[00:35:43] 把这个问题反推不就变成了我们的对策吗？
[00:35:48] 还有呢，
[00:35:48] 他在这个地方吃住在工地，
[00:35:51] 然后呢，
[00:35:51] 翻山越岭了解情况，
[00:35:53] 督促工程进度，
[00:35:55] 随便说几句话，
[00:35:56] 我就用一个词概括叫。
[00:35:58] 主动作为，
[00:35:59] 大家行觉得行吗？
[00:36:00] 如果你不想摘抄的话，
[00:36:02] 你就随便给老师想一个词，
[00:36:05] 那如果大家还想写的话叫。
[00:36:07] 奋发有为，
[00:36:08] 大家觉得可以吧？
[00:36:09] 也是可以的，
[00:36:10] 但是有的同学说老师我就直接说他吃住在工地，
[00:36:15] 那么啊，
[00:36:15] 积极了解情况，
[00:36:16] 督促工程进度。
[00:36:18] 或者发动群众给施工队送水送饭，
[00:36:21] 大家觉得可以吧？
[00:36:22] 也是没有问题的，
[00:36:23] 那最后他这件事情产生了一个结果。
[00:36:27] 结果是什么？
[00:36:28] 结果对什么有影响？
[00:36:30] 对于村民有影响吧？
[00:36:32] 对于村民有什么影响？
[00:36:34] 让道路畅通了，
[00:36:36] 也就是为村民解决。
[00:36:38] 为村民。
[00:36:40] 解决。
[00:36:42] 道路难题，
[00:36:43] 一起把它搞定，
[00:36:46] 为村民解决道路难题好，
[00:36:49] 大家看。
[00:36:50] 这样一下就把它写完了好吧，
[00:36:53] 当然它的表述有很多种，
[00:36:54] 你完全不一定跟我一样啊，
[00:36:57] 大家看这个时候我们材料当中的例子也就出来了。
[00:37:00] 材料当中的例子，
[00:37:02] 这是问题，
[00:37:03] 这是主体，
[00:37:04] 这是对策，
[00:37:06] 这是结果，
[00:37:07] 或者是影响好了。
[00:37:08] 材料当中的例子，
[00:37:10] 我觉得可以了，
[00:37:11] 但是我觉得还不够，
[00:37:12] 我还要联系社会实际，
[00:37:14] 各位我社会实际当中给大家准备的例子，
[00:37:17] 让你们背的你们背了吗？
[00:37:19] 各位四有书记，
[00:37:21] 谷文昌，
[00:37:21] 然后呢？
[00:37:22] 14年如一日，
[00:37:23] 带领东山群众战天斗地，
[00:37:26] 把荒岛建成绿洲。
[00:37:27] 黄旭华隐姓埋名30载。
[00:37:30] 专注于核潜艇研制工程，
[00:37:32] 当代愚公黄大发埋头苦干一辈子，
[00:37:35] 只为修这条一号一条渠。
[00:37:37] 各位这些东西。
[00:37:38] 能不能把它背一下，
[00:37:40] 同学们背了的同学打个背了没背的同学呢？
[00:37:43] 你就只能帮帮帮了啊，
[00:37:45] 一定把这个好好的搞定一下行不行？
[00:37:47] 然后。
[00:37:48] 写完了这个例子之后，
[00:37:50] 我们可以对例子做一个点评，
[00:37:52] 哎，
[00:37:52] 上两节课没讲点评，
[00:37:53] 这节课给大家把点评加上去，
[00:37:56] 因为你们逐步的要长大了。
[00:37:58] 点评就是主要说对策，
[00:38:00] 点评主要说影响这个对策，
[00:38:02] 所有的这些例子的当中的对策本质上都是为了说明这个心。
[00:38:07] 所以我们的点评就是叫不畏艰辛，
[00:38:10] 然后呢，
[00:38:11] 接着这个影响呢，
[00:38:12] 就是能够为了让我们把新路走好，
[00:38:15] 那么就是能够啊，
[00:38:16] 把新路走好，
[00:38:17] 也就是走先例，
[00:38:18] 你看。
[00:38:19] 其实呢，
[00:38:20] 就是首尾呼应，
[00:38:21] 然后点评完了之后，
[00:38:23] 最后再来一个，
[00:38:24] 怎么做也就是。
[00:38:26] 首尾的呼应再来一遍，
[00:38:28] 这个首尾的呼应要么是增加句子。
[00:38:31] 这个首尾的呼应，
[00:38:33] 要么是改写句子，
[00:38:34] 这个首尾的呼应，
[00:38:36] 要么是什么同学们，
[00:38:38] 要么是调换顺序。
[00:38:39] 那么，
[00:38:40] 你看作为年轻人，
[00:38:41] 增加一个句子，
[00:38:42] 然后你不就是说重新出发吗？
[00:38:45] 你不就是说重新出发吗？
[00:38:47] 你不就是说不为皆新吗？
[00:38:49] 我就把它变成走稳新路，
[00:38:51] 调一下顺序。
[00:38:52] 啊，
[00:38:52] 最终呢，
[00:38:53] 练就性性功夫，
[00:38:55] 把不畏艰辛，
[00:38:56] 稍微的从中间调到尾段，
[00:38:58] 然后最后还是对乡村振兴有好处，
[00:39:02] 这就教你。
[00:39:03] 如何调换顺序的？
[00:39:05] 现在大家能够看懂了吗？
[00:39:07] 你现在能够看懂了吗？
[00:39:09] 所以这是非常重要的啊，
[00:39:11] 所以这是非常重要的，
[00:39:12] 一定要把这个给我搞定好吧，
[00:39:15] 就是这节课我就是告诉你背诵的重要性。
[00:39:18] 如果你自己的积累呢，
[00:39:20] 确实比较好，
[00:39:21] 那基本上来讲，
[00:39:22] 你不用背，
[00:39:22] 如果你觉得自己的积累不好，
[00:39:25] 在我们考试的时候，
[00:39:26] 尤其遇到这些成功的例子。
[00:39:28] 这些正能量的例子，
[00:39:30] 大家背下来之后，
[00:39:32] 有可能给你带来许许多多的惊喜。
[00:39:35] 好吧，
[00:39:35] 有可能会代表给你带来许许多多的惊喜，
[00:39:39] 这节课摄像头坏了啊，
[00:39:40] 然后呢，
[00:39:41] 大家可能看不到摄像头的，
[00:39:43] 别担心。
[00:39:43] 好吧，
[00:39:44] 困了的话呢就好好睡一觉，
[00:39:46] 你打呼呢，
[00:39:47] 我们也不会听见的啊，
[00:39:49] 随便你怎么打就是没关系啊，
[00:39:51] 然后呢，
[00:39:52] 大家再来看一下。
[00:39:53] 这一个题目，
[00:39:54] 这一个第三个分论点应该怎么把它搞定？
[00:39:57] 实现乡村振兴，
[00:39:58] 需要从这个心出发的，
[00:40:00] 我拿到这个心，
[00:40:01] 我不会说的，
[00:40:02] 请问大家下，
[00:40:03] 我应该怎么办？
[00:40:04] 那么，
[00:40:04] 第一个要写名言警句，
[00:40:07] 第二个要写影响。
[00:40:09] 第三个要写对策或者是例子。
[00:40:13] 第四个要写分论点的回扣，
[00:40:16] 大家同意吧。
[00:40:18] 好了，
[00:40:18] 大家来看一下这个名言警句，
[00:40:21] 你们能不能给老师想一个名言警句？
[00:40:24] 这个名言警句哎，
[00:40:26] 你可以写什么名言警句？
[00:40:28] 狗日新又日新，
[00:40:29] 日日新非常好，
[00:40:31] 这就是我们的名言警句每年。
[00:40:33] 国考，
[00:40:34] 省考都会考和创新有关的话题，
[00:40:37] 如果你能够准备一个和创新有关的名言，
[00:40:41] 警句，
[00:40:41] 老师表示很欣慰。
[00:40:43] 听懂了吗？
[00:40:44] 好了，
[00:40:44] 接着我要说一下，
[00:40:46] 影响我这个要说影响的话，
[00:40:48] 一定要说这个词对谁？
[00:40:51] 有影响吧，
[00:40:51] 我要说的是哪个词？
[00:40:53] 有没有同学能够告诉我，
[00:40:55] 我要说的这个词是不是就是代表？
[00:40:59] 创新的这个词啊。
[00:41:01] 创新的这个词对谁有影响？
[00:41:03] 大家能不能告诉我创新对谁有影响？
[00:41:07] 我问大家一下。
[00:41:09] 创新对于我们政府有没有影响？
[00:41:12] 体现了政府随便想四个字，
[00:41:15] 哪四个字锐意？
[00:41:17] 进取的精神。
[00:41:19] 大家觉得可以不好了，
[00:41:22] 创新对于我们乡村来讲有没有好处也是。
[00:41:27] 破解难题的必由之路，
[00:41:29] 你看啊，
[00:41:30] 随便说随便有破解难题的必由之路也是可以的。
[00:41:35] 好了，
[00:41:36] 那么下面我没有话说到，
[00:41:39] 我就可以能不能加一个？
[00:41:41] 能不能加一个对策？
[00:41:44] 这个对策就是规范的对策，
[00:41:46] 规范的对策就是我们必须做到创新好了，
[00:41:50] 你看我们稍微的把它改写一下，
[00:41:52] 我这个题目都没有给你写。
[00:41:55] 我给你加了一个背景发展新篇章，
[00:41:57] 已经开写好吧，
[00:41:59] 然后呢，
[00:41:59] 接着我们必须做好创新，
[00:42:01] 你看有的同学说老师没有影响，
[00:42:03] 能不能写？
[00:42:04] 没有影响，
[00:42:05] 没有名言警句，
[00:42:06] 你加一个背景句，
[00:42:07] 你再加一个对策，
[00:42:09] 完全是可以的，
[00:42:10] 好了，
[00:42:10] 加完了对策之后没有话说了，
[00:42:13] 我要举例子。
[00:42:14] 好了，
[00:42:14] 举例子，
[00:42:15] 我问大家一下，
[00:42:16] 应该怎么举例子？
[00:42:17] 哪位同学可以告诉我，
[00:42:19] 举例子的话，
[00:42:20] 我们要找到这个创新。
[00:42:23] 举例子就是三句话。
[00:42:25] 举例子的这三句话，
[00:42:28] 第一句话大家一起写，
[00:42:30] 叫主体，
[00:42:31] 第二句话对策，
[00:42:33] 第三句话影响。
[00:42:35] 大家能够听懂吗？
[00:42:36] 这个主体有没有同学能够给老师直接把它给我敲出来？
[00:42:41] 主体是指谁？
[00:42:42] 主体是指的同某？
[00:42:44] 童某，
[00:42:44] 他是驻村工作队队长，
[00:42:47] 那我就直接把它组合起来叫驻村。
[00:42:52] 工作。
[00:42:54] 对队长。
[00:42:57] 同盟一起把它搞定啊，
[00:42:59] 同盟好了，
[00:43:00] 下面他干了一个对策，
[00:43:03] 这个对策大家觉得是在讲什么对策，
[00:43:06] 哪位同学可以告诉我？
[00:43:09] 是不是直接找动词啊？
[00:43:11] 叫摸清村情，
[00:43:12] 你看尽量的原词原句，
[00:43:15] 又稍微把它重新组装。
[00:43:17] 摸清。
[00:43:20] 村情一起把它搞定。
[00:43:23] 好了，
[00:43:24] 接着我们再来看一下，
[00:43:26] 还干了什么事情，
[00:43:28] 他就是确定了思路和方向，
[00:43:31] 这个我们可以把它变成一个对策。
[00:43:35] 确定养殖。
[00:43:43] 养殖什么麻黑鸡？
[00:43:45] 养殖麻黑鸡。
[00:43:49] 的新发展思路。
[00:43:56] 新发展思路。
[00:43:59] 我尽量加一个新进去，
[00:44:01] 这样的话呢，
[00:44:02] 和分论点能够扣得更紧，
[00:44:04] 新发展思路。
[00:44:05] OK，
[00:44:05] 最终产生了什么影响？
[00:44:07] 最终产生影响钱袋子鼓了钱袋子鼓了，
[00:44:11] 有没有同学能够把它给我转化成规范的表述？
[00:44:15] 你看它还是在考你小题转化的能力。
[00:44:18] 叫增加村民收入或者带领村民。
[00:44:24] 致富都是可以的，
[00:44:26] 好了，
[00:44:27] 大家看幸福感和获得感日益增强，
[00:44:31] 你就把它写成。
[00:44:32] 提升提高。
[00:44:35] 催眠。
[00:44:38] 幸福感。
[00:44:43] 和获得感。
[00:44:46] 大家觉得可以不？
[00:44:48] 哎，
[00:44:48] 一起把它搞定啊，
[00:44:50] 获得感好了，
[00:44:51] 这是一个举例子啊，
[00:44:53] 我们也就把它搞定了，
[00:44:55] 大家来看一下。
[00:44:56] 这个是一个主体，
[00:44:57] 这个是这个，
[00:44:59] 不是这个，
[00:45:00] 是一个主体，
[00:45:01] 这个是对策，
[00:45:02] 这个是对策，
[00:45:03] 这个是影响，
[00:45:04] 这个是影响。
[00:45:05] 这些没有一个是超材料，
[00:45:07] 都是根据材料进行了重新的加工和改写，
[00:45:10] 因为有的同学又要写电商带货了。
[00:45:13] 哎呀，
[00:45:13] 我求求你了好吗？
[00:45:15] 你就别再发挥了，
[00:45:16] 行不行？
[00:45:17] 大兄弟，
[00:45:17] 咱们的话呢，
[00:45:18] 就是明确自己是哪个小学毕业的，
[00:45:20] 永远不忘初心，
[00:45:22] 明确自己是哪个中学毕业的也就可以了。
[00:45:25] 好吧，
[00:45:25] 同学们，
[00:45:26] 我都有，
[00:45:26] 我都有点害羞了，
[00:45:28] 然后呢，
[00:45:29] 不敢露脸了，
[00:45:30] 你在这边好家伙还电商发展呢。
[00:45:33] 啊，
[00:45:33] 你把它给我搞定好吧，
[00:45:35] 下面我材料当中的这个例子怎么样？
[00:45:38] 已经举完了的话，
[00:45:39] 我下面没有话说了，
[00:45:41] 但是我又觉得没有文采。
[00:45:43] 我希望在能够其通过材料类比出来社会实际的，
[00:45:49] 我又没有让大家背。
[00:45:51] 这个早的话呢，
[00:45:52] 排班有问题，
[00:45:53] 我问大家一下，
[00:45:54] 可不可以各位从这个地方到这个地方，
[00:45:58] 我就现在问大家一下，
[00:46:00] 让你们背的，
[00:46:01] 你们背了还是没背？
[00:46:03] 背了还是没背，
[00:46:05] 我就问大家一下，
[00:46:06] 背了还是没背？
[00:46:08] 各位涉及到创新的例子啊。
[00:46:12] 你看啊，
[00:46:12] 这个和乡村振兴的创新能不能密切相关？
[00:46:17] 当然是密切相关的。
[00:46:20] 我这些年所有的学生当中。
[00:46:23] 只要能够恰如其分的把这个例子用上去的，
[00:46:26] 就没有没上岸的，
[00:46:27] 只有一个同学来找过我，
[00:46:29] 他说老师，
[00:46:30] 你不是说这个创新我用上去了之后我就能上岸了吗？
[00:46:34] 为什么我今年没上岸，
[00:46:36] 我说不可能啊，
[00:46:37] 我说你那个考试的题目是什么？
[00:46:40] 他说老师我考的题目是叫执法创新。
[00:46:44] 所以呢，
[00:46:45] 我就把这个写上去了，
[00:46:47] 我请问大家下，
[00:46:48] 如果考执法创新，
[00:46:50] 你李忠凯老师的这个例子还能不能用？
[00:46:53] 你们就认真的告诉我。
[00:46:55] 各位你你一定要知道了啊，
[00:46:58] 就是匹配是非常重要的，
[00:47:00] 李忠凯老师呢？
[00:47:02] 你你说成就是为乡村振兴。
[00:47:04] 没有问题，
[00:47:05] 你说就为老百姓服务，
[00:47:07] 也是没有问题，
[00:47:08] 但是执法创新呢，
[00:47:10] 李中凯这个例子，
[00:47:11] 他和他呢，
[00:47:12] 不是完全的搭配，
[00:47:13] 这不是一个领域的。
[00:47:15] 现在听懂了吗？
[00:47:16] 现在听懂了吗？
[00:47:18] 你别给我瞎说，
[00:47:19] 如果你的整个的篇文章都是指论证执法创新，
[00:47:23] 你就别说了，
[00:47:24] 但是如果你。
[00:47:25] 只论证创新，
[00:47:26] 你既可以举执法创新的例子，
[00:47:28] 又可以举就是这种乡村振兴当中我们为老百姓工作的例子，
[00:47:33] 这是没有问题的好吧，
[00:47:34] 例子在书上开头的。
[00:47:36] 课程当中，
[00:47:37] 别着急，
[00:47:38] 好了，
[00:47:38] 最后我这节课强调给大家加一个点评，
[00:47:42] 点评主要点评什么？
[00:47:44] 哪位同学给老师敲掉评论区？
[00:47:47] 点评，
[00:47:47] 包括公文写作的短评在我们的超大杯里面都会给大家讲，
[00:47:53] 一是要点评对策。
[00:47:54] 二是要点评影响。
[00:47:56] 听懂了吗？
[00:47:57] 这个对策一定是点评创新，
[00:48:00] 一定是点评创新，
[00:48:02] 这个影响，
[00:48:03] 那么你随便写就行了。
[00:48:05] 寻找发展的新机遇或者共创美好未来，
[00:48:09] 或者播画美好蓝图。
[00:48:10] 好了，
[00:48:11] 再接着给大家一起讲啊。
[00:48:13] 就是再接着给大家一起讲，
[00:48:16] 最后来一个分论点的回扣，
[00:48:18] 分论点的回扣，
[00:48:20] 你可以增加句子。
[00:48:21] 分类点的回扣，
[00:48:23] 你可以改写句子，
[00:48:25] 分类点的回扣，
[00:48:27] 你可以调换一下顺序。
[00:48:29] 各位增加句子，
[00:48:30] 复兴路上大家觉得可以不？
[00:48:33] 如果不想用复兴路上的话，
[00:48:35] 我还可以写一个进入新时代，
[00:48:37] 大家觉得可以不？
[00:48:40] 如果我不想用进入信息时代的话，
[00:48:43] 我还可以再加一个奋进新征程，
[00:48:45] 大家觉得可以不？
[00:48:47] 奋进新征程，
[00:48:48] 你们觉得可以不完全是没有问题的好吧，
[00:48:52] 接着来讲，
[00:48:53] 我中间能不能加再加一个问题呢？
[00:48:56] 面对成长中的烦恼呢，
[00:48:58] 当然也是没有问题。
[00:49:00] 好吧，
[00:49:00] 接着这个新就是新问题，
[00:49:02] 新契机，
[00:49:03] 然后呢，
[00:49:04] 重新出发，
[00:49:05] 创新方法，
[00:49:05] 实现新发展，
[00:49:07] 随便来那么两句。
[00:49:08] 扣紧它发散一下也就可以了好吧，
[00:49:11] 大家觉得可以过了哈，
[00:49:13] 这一个分论点，
[00:49:14] 大家看它的论证也不难。
[00:49:16] 加了一个背景句，
[00:49:18] 加了一个对策，
[00:49:19] 加了一个例子，
[00:49:21] 加了一个例子，
[00:49:22] 你看也就可以了，
[00:49:24] 最后加了一个点评。
[00:49:26] 然后加了一个分论点的回扣，
[00:49:28] 非常清晰，
[00:49:29] 但是如果没有这个点评，
[00:49:31] 大家觉得能不能成为文章当然是可以的，
